text,is_spam,sentiment
"ntah knpa aneh, dulu saya sering dapet voucer goride sama gocar sekarang dapet tpi gabisa kepake, di voucer ketulis minimum transaksi tpi tiap pesan otomatis lebih 1k dari minimum transaksi iseng aku kurangin jarak perjalanan biar voucer kepake karena anak kuliahan tgl tua plus kerja pluss rantau coba saja apa bisa kepake apa tidak well harganya tidak berubah stuck di harga segitu mau dipasang 100m dari tujuan tetep gada yang berubah giliran dinaikin jaraknya harga juga naik ntahlah",False,negative
bagus up selalu pake gopay,False,positive
"rate tiga dulu sekalian komplain, karena selama pesan pakai gojek, baru pertama kali dapet bahasa yang kurang enak dari pengemudi pas pesan gofood. katanya saya curang motong ongkos kirim. mungkin gojek bisa tambahin fitur rating customer. biar saya juga tau kapan saya pernah merugikan pengemudi gojek. saya tau kalau pengemudi ada kerugian. niatnya mau diganti pake tip gede jadi malas. selama ini dapet pengemudi yang baik kenapa sekarang dapet yang kurang. perasaan kalau pesan yang lain baik-baik saja.",False,negative
"saya turunin ke bintang 1. gopay selalu eror, setiap kali transfer ke bank lambat banget sampai nya berjam jam. tapi kalau pembelian apapun lancar. perbaiki dong.",False,negative
aplikasi sangat membantu apa lagi pas pandemi gini bisa pesan makanan tanpa kontak,False,very_positive
aplikasi sangkat baik,False,positive
mantap.lokasi tidak lari lagi.,False,neutral
dalam pengiriman gofood di peta gojek jarak nya makin jauh karena ambil jalur yang muter padahal ada jalan yang lebih dekat-,False,neutral
sangat membantu dan mempermudah kemana saja,False,very_positive
bingung kenapa saat waktu saya download sudah selesai malah ngulang dari awal lagi trus sudah tak ulang beberapa kali sampe habis 500mb. mohon bantuannya,False,neutral
waktu penjemputan good,False,positive
"hari ini saya melakukan bagus up gopay dengan one klik bca pertama saya bagus up 99.001.00 biaya admin mungkin total rp.100.00, dana di rekening bca saya terpotong tetapi saldo di gopay tidak terisi kedua saya coba lagi bagus up dengan one klik bca juga 101.00 biaya admin, total rp 1.010 sama seperti yang pertama saldo di rekening bca saya terpotong tetapi di saldo gopay tidak terisi, ini ada apa ya tolong dibantu saya juga sudah mengajukan bantuan di aplikasi gojek dan email gojek.",False,positive
oke banget deh promonya semoga lancar and sukses selalu segitu ajah trims,False,positive
sangat membantu disaat mager dan lebih hemat juga drpd ke mall,False,very_positive
sering sekali dapet pengemudi yang asik kayak bg agli,False,positive
ini aplikasi ny knpa yaa? pas sudah login malah tekeluar sendiri. ber ulang kali di download tetap saja tekeluar sendiri. apa gangguan ? tolong di perbaiki yaa,False,negative
"bonus yang tidak bisa digunakan lagi jangan ditampilkan lagi, penipuan tu namanya",False,very_negative
sangat puas dengan aplikasi gojek,False,very_positive
"saat di butuhkan , di situ aplikasi nya erorr , setiap mau transaksi pasti tidak dapat sinyal internet, ini , padahal jelas2 pake internet untuk mengoperasikan aplikasi. di perbaiki lahh , masa sekelas gojek aplikasi nya bgini sih",False,negative
"aplikasi yang sangat membantu bagi penggunanya, terus tingkatkan agar bisa mempermudah pelanggan setianya",False,very_positive
"lebih murah , banyak promosi , lumayan mengurangi beban , makin sukses gojek. lebih banyakin promosi promosi lagi , biar pengguna makin senang atas pencapaian gojek hari ini dan masa yang akan datang.",False,positive
"sangat membantu, ditingkatkan lagi ya pelayanannya. dan lebih banyakin promonya hehee",False,very_positive
tolong dong di kasih pembatalan pas salah klik pickup. sangat merugikan bagi customer kalau harus mengambil pesanan ke lokasi!,False,neutral
suka tapi suka mengecewakan karena pas mau pesan grab deliverinya suka gunta ganti kendaraan,False,very_positive
apk nya berarti trmksh,False,neutral
tolong adakan lagi fitur menghapus riwayat di gojek,False,neutral
adain pembayaran ovo juga,False,neutral
sejauh saya pake aplikasi ini oke banget sih banyak diskon juga.,False,positive
selalu ada masalah soal pembayaran.gopay sering tidak isa pake yaa,False,negative
"aplikasi membantu sekali bagi pelanggan yang sgt membutuhkan kendaraan, belanja, nonton dll fitur nya lengkap",False,positive
"seharusnya ditmbahkan fiture foto makanan untuk resto, makana yang sudah ready diberika ke driver,, apakah sudah sesuai dengan pesanan konsumen,, disini konsumn tidak bisa tlp ke resto apabila ada kekurangan makanan tidak sesuai pesanan, harus ke pusat bantuan,, pusat bantuan harus menyertakan foto makanan,, foto tidak lengkap, susah diproses,,seharusnya dengan ada fitur foto dari resto ,, resto bisa adjust dari mana kesalahannya,, apa dari pihak restodrivekonsumen,, kecewa!",False,very_negative
jujur saya agak kecewa dengan gojek. saya sudah 4x transaksi menggunakan promosi cashback gopay coins tapi setelah saya cek ternyata gopay coins saya tidak bertambah. saya sudah lapor ke customer service tapi hanya dijawab dengan kata kata template.,False,negative
dengan adanya gofood semua jadi lebih mudah tanpa rentang jarak dan waktu,False,positive
"aplikasinya sangat membantu,tapi tlnglah jarak jemput jangan terlalu jauh,kemarin saya pesan khusus penumpang drivernya minta di batalin karena jaraknya terlalu jauh mau tidak mau ya harus saya batalkan",False,positive
pengemudi katanya butuh pesanan ? tapi pesanan pilih pilih,False,neutral
"kalok bisa bang drvernya sering ya ajak ngomong penumpangnya biar penumpang lebih senang saat di antar ke tempat tujuan.,saya juga auka bangt karena harnya terjangkau banget",False,positive
"tiba-tiba akun berubah menjadi tidak terverifikasi dengan alasan ktp tidak sesuai dan tidak terdaftar di dispendukcapil. aneh banget, padahal buka rek bank juga menggunakan ktp tsb dan otomatis data dinyatakan sesuai. bertahun2 pakai aplikasi gojek, tiba2 sangat dikecewakan hari ini.",False,very_negative
adanya aplikasi ini sangat membantu sekali khususnya untuk anak kost yang pulang. untuk gojek nya juga ramah dan bekerja sangat baik.trimakasih,False,very_positive
"aplikasinya sangat membantu saya, tapi sayang para pengemudi yang ada dipontianak yang di lokasi tanjung raya 2 kebanyakan saat saya pesan go send mereka tidak pernah memberikan atau menerima chat saya, mereka tidak pernah ada konfirmasi atau memberi tau saya, saya kesal karena mereka membuat saya menunggu lambat dan tidak konfirmasi sama sekali sampai saya telepon pun tidak diangkat dan alasannya tidak masuk akal, kalau tidak bisa atau sedang sibung mengapa aplikasi nya di aktifkan?",False,very_negative
astagaa nungguin pengemudi lambat banget,False,negative
suka bangat pake gojek karena harga nya murah,False,positive
"jangan sering upgrade, tampilannya berubah2 dan memakan memori yang cukup banyak, agak menyulitkan. tapi tetap terbaik",False,neutral
harus bisa tarik pesan chat misalnya kalau salah ketik atau salah kirim pesan. seperti wa gitu kalau salah ketik atau salah kirim bisa hapus pesan untuk semua orang. biar lebih nyaman. trs di fitur go chat harus bisa di hapus chat yang sudah tidak berlaku. mksdnya chat yang sebelum nya harus bisa di hapus permanen. biar makin oke. mksh.,False,positive
"apk ini sangat membantu bagi yang tidak memiliki kendaraan pribadi,memudahkan mencari ojek tnpa harus keliling",False,positive
kenapa suka keluar keluar sendiri dan biasanya gabisa dibuka,False,positive
"setelah ada update beberapa kali malah makin hancur! mau pesan makanan di resto, tapi buka menunya saja lemott beratt sekali bagaimana mau pilih menu kalau buka menu saja lambat lambat berat! makin kesini makin kesono malah makin makain saja hufftt",False,very_negative
"ribet banget mau tf duit ke akun yang 1nya saja harus upgrade ke gopay plus sudah gitu 1 akun cuman 1 id sudah gabisa tf duit gua hangus duit gua , customer service nya juga cuek parah! so bad gojek! perbaiki lagi biar tidak ribet , gopay nya mau buat pesan goride malah cuma keluar gambar map saja tidak keluar2 menu alamatnya",False,very_negative
"semua aplikasi sangat membantu saya.mudah sekarang mencari transportasi dimanapun.sekalipun di gang kecil.sukses selalu buat karyawan .tapi yang menjengkelkan aplikasi sering update.itu ganggu juga,terakhir saya gunakan gocar,baru kali ini kecewa dengan pengemudi .tapi sih kalau aku pikir.itu pola pikir supir saja.no problem mkn dia lagi stress",False,very_positive
ini kenapa ya pengemudi gamau nrima pesanan karena promosi padahal itu otomatis dari apl . hadeh,False,neutral
"mw kmn mana jadi mudah, tidak perlu cape nunggu angkutan umum, cukup pesan anter duduk manis sampai dehh ke tujuan.",False,neutral
kereenn tidak menyesal upload. bagus bnget. customer service nya ramah dan membantu bangeet. terutama yang di layanan gopay. tengkiyuu brooh.terima kasih a lot.,False,positive
"aku jadi menyesal aktifin pay later di gojek , suka lupa pas pembayaran malah jadi sering pake pay later . nah sekarang pake pay later ada biaya langganan bulanan dan itu mahal banget menurutku 25rb per bulan. buat kantong mahasiswi yaa mahal dong segitu apalagi kalau sudah jatuh tempo masyaallah 2rbhari kena cas nya nyesell",False,negative
"didlm aplikasi ini ada mode hemat,ketika saya mencoba mode hemat estimasi pemesanan pencarian pengemudi 1jam lebih.saat makanan sudah sampai,makanan dingin tidak hangat lagi.jadi intinya mode hemat ini sangat merugikan.",False,positive
"paling cepat,paling hemat,paling komplit,paling membantu,paling berjasa,paling cerdas,paling indonesia. maju terus gojek level mu dunia-akherat",False,very_positive
"login saja dipersulit, tolong ya ,gausah make yang aneh2 ,sudah via kode saja tidak usah make link link tidak jelas ,kamu malah bikin customer eneg kalau login saja dipersulit",False,very_negative
sangat membantu sekali untuk menjalani kehidupan sehari haritolong turunkan harganya untuk pelajar yang berangkat sekolah,False,very_positive
"alhamdulillah sudah bisa login kembali, mungkin harus koordinasi dengan provider jaringan handphone. uang digopay ku sudah kembali utuh, bagus",False,positive
"sudah dibilang.sistem rapelan merugikan sekali. saya terpaksa menunggu sangat lama.karena pembeli pertama sedang keluar dan susah dihubungi driver.setelah 20 menit nungguin pembeli pertama ketemu , baru kemudian nganter pesanan saya. harusnya ada sistem untuk mengirim ke pembeli selanjutnya ketika pembeli pertama ada kendala berat seperti case itu karena tadi saya nanya ke driver.dy tidak bisa ngirim ke saya , karena maps tidak kebuka sblm terkirim yang pertama.padahal saya standby dari awal pesan !",False,very_negative
"lope lope dah drivernya gercep,ramah,aman",False,very_positive
"tolong yaa buat gojek nya, adakan lagi untuk batalkan pesanan, kan susah kalau mau tlp cs nya dulu, kalau siang tidak ada pulsa enak lgsng beli saja pulsa, ini kalau pesan makanan trus pengemudi nya minta batal lah kan gelabakan kalau tidak punya pulsa, tolong di tingkatkan lagi jangan seperti ini.",False,very_negative
"alhamdulillah, selama pakai gojek belum ada kendala apapun, ya hanya saja beberapa pengemudinya ada yang sifatnya membuat kurang nyaman, namun kebanyakan tetap humble terhadap penumpang. mungkin kedepannya seleksi dalam mitra pengemudinya lebih diperhatikan lagi dalam segi berinteraksi. terimakasih",False,very_negative
"kalau sangat tidak terpaksa, tidak akan memggunakan aplikasi ini lagi. ongkir yang sangat mahal jauh berbeda dibanding aplikasi hijau sebelah. bahkan biaya2 tambahannya seperti biaya layanana, biaya penggunaan aplikasi. kan memang aplikasi gojek sudah mengambil untung dari harga makanan yang di aikkan dan dari ongkir. ditambah lagi biaya layanana. bungkus dan lainnya. bahkan pajak. apa2an. makanya dua akun saya tutup semua",False,very_negative
"upgrade nya cepat, semoga selanjutnya tidak ada kendala",False,neutral
tepat sasaran tepat waktu,False,neutral
tidak bisa selfie untuk verifikasi upgrade gojek. setia selfie lngsung keluar. bug tolong segera diperbaiki untuk beberapa seri ponsel.,False,negative
gila saja kalau nge search pengemudi nyantolnya yang jauh jauh,False,neutral
"buat para pemakai jasa gofood tolong di pahami,orderan anda lambat dapat pengemudi bukan di karena kan tidak ada pengemudi tapi gojek mencari pengemudi yang ikut program tarif murah dengan tarif 5rb per 4km walau saat anda pesan ada pengemudi dekat resto itu tapi pengemudi itu tidak ikut program tarif murah tidak bakal pesan jatuh ke pengemudi itu",False,very_negative
aplikasi yang sangat membantu kita semua dalam berbagai hal membantu sesama. semua saling menguntungkan,False,very_positive
aku sudah pakai aplikasi ini sejak lambat banget. tapi layanan nya cukup bagus dan sejauh ini belum ada masalah.,False,neutral
gomart saya dapat voucher promosi belanja murah tapi kenapa harga nya tidak sesuai dengan hari nya malah harga nya normal misal hari minggu minyak harga promosi 34.500 tapi kalau saya mau tambahkan ke keranjang harga nya tidak bisa turun malah tetap 41.00 kenapa ya.,False,negative
terima kasih atas layanan ny,False,neutral
aplikasi yang sangat bekerja maksimal dan drivernya juga sangat cepat dan terpercaya aku suka kinerja aplikasi gojek ini. trimaksih gojek sudah membantu,False,very_positive
"kamu kenapa si di aplikasi manapun selalu muncul tentang iklan gojek, gausah terlalu banyak buat iklan di aplikasi manapun sangat menganggu, lagi pula orang juga tau gojek tanpa harus muncul iklan di aplikasi tertentu.",False,neutral
setiap pesan gofood selalu batal otomatis dengan alasan susah mendapatkan pengemudi .sudah menunggu berjam jam sia sia .tolong diperbaiki sebaiknya sebelum pesanan diproses harus dipastikan dulu kalau pengemudi nya sudah siap ada .kalau kaya gini merugikan penjual dan pembeli .,False,negative
voucher tidak dapat dipakai,False,negative
"kadang fotonya suka gabisa dibuka bagaimana sih, ada tuliaa download tapi dipencet gagal gabisa",False,neutral
"sumpah apk ini bagus banget, dan bermanfaat baget intinya di harus kan banget deh, pake apk ini.",False,positive
harga yang tertera knpa beda dengan harga setelah kita sampai tujuan. mohon di koreksi lagi untuk akurat biaya transportasi nya,False,neutral
awalnya buka aplikasi ditawarin paylater karena belom mengerti jadi aada pilihan sekarang dan lain kali ya lain kali pilihnya sekarang malah tidak bisa paylater nya. jadi bingung.,False,negative
terbaik uda pkek gojek sudah 8th an,False,positive
sebenernya sudah bagus . apalagi kalau ditambah bisa beli tiket atau menyewa penginapan atau hotel kayak grab lebih simple gitu,False,positive
sangat membantu.pengguna aktif lambat tapi belum bsa dapat gunakan pay later,False,positive
trims gojek memang sangat membantu,False,very_positive
"padahal apk error dengan format aplikasi gojek sedang ramai dipakai eh malah di bales sebelum login, pastikan kamu sudah pakai gojek versi terbaru tidak ada kendala pada akun kamu, ya. untuk info lebih lanjut, silakan ke halaman bantuan login di aplikasi dengan cara klik ikon ? pilih tidak bisa masuk ke akun gojek pilih saya mendapatkan notifikasi eror. miko yang mau bukti silahkan mampir ke postingan gojek di tiktok terbaru sudah dikiirm bukti apk error selama 1jam",False,very_negative
aplikasinya bermanfaat mau ke mana mana gampang yang tidak punya motor pengen beli makanan gampang harga praktis dan terjangkau kalau bulan lebaran pulsa tutup tinggal pesan saja di gojek,False,positive
"saya sudah lambat menggunakan transportasi gojek saya nyaman menggunakan transportasi baik goride, mau gocar pelayanan nya sangat nyaman dari mulai driver, walaupun ada beberapa pelayanan pengemudi yang saya dapatkan yang tidak memberikan pelayanan dengan baik selagi tidak fatal saya bisa terima dan maklumi. penanganan komplainan sangat cepat maju terus untuk transportasinya.",False,very_positive
"mantap, lebih baik dari aplikasi sebelah.",False,positive
"sangat bagus dan membantu. saya mau kasih saran kepada pt.gojek indonesia, tolong beri fitur di apk pengemudi terkhusus untuk go-food bahwa makanan sudah dibelidipesan, dan beri fitur di apk customer agar tidak bisa batal orderan. karena saya merasa kasihan kepada pengemudi yang sudah membeli pesanan dengan mahal tetapi sia2 saja. saya rasa ini mewakili individu2 dan driver2 lain atas ketidaknyamanan yang terkadang dibuat oleh oknum yang hanya iseng serta tidak bertanggung jawab",False,neutral
komplaine cs sudah 1 minggu tidak ada respon. hati2 transaksi pakai gopay blanja di toko gagal tapi saldo kepotong sudah complain ke cs tidak ada respon.,False,very_negative
pesan untuk jarak yang sama kenapa bisa naik harga nya ya? pertama cuma 30rban pas yang ke dua kali nya sampe 40rb lebih. ada yang bisa jelaskan?,False,neutral
"cukup memudahkan untuk pergi kemana saja, dan cepat dapat mobilnya, good jobb",False,positive
aduuh kenapa sih posisi drivernya ke gerak gerak mulu sudah ditungguin loh masih saja disitu,False,neutral
nasgor99 rasanya juaraa bikin ketagihan euy,False,neutral
"semakin kesini semakin susah mendapatkan driver, hanya mau terima pesanan tpi tidak mau jemput dan tidak mau batal juga, jadi saya sering batal gara pengemudi dan akun saya juga jadi kena banned gara-gara sering cancel, itu semua ulah pengemudi bukan ulah penumpang.khusus nya wilayah bekasi setu dan skitarnya",False,very_negative
aplikasi pelayanan terbaik terimakasih gojek,False,positive
tolong kasih lebih banyak promosi atau voucher,False,neutral
"trimakasih, mudahkan kami memdapatkan tumpangan terdekat saja drivernya. agar tidak menunggu terlalu lama.",False,negative
"bintang tiga dulu,buat transfer uang lambat banget nyampek nya",False,negative
"bagaimana sih, 3x pesan ujungnya akun saya di block sementara.padahal yang salah ojolny yang nyuruh cancel. paket q jadi tidak bisa dikirim tepat waktu.",False,negative
"multifinance di tambah dong. sperti cs finance, wom finance, dll atau bisa semua bank untuk lanyanan angsuran. sangat membantu aplikasi gojek sekarang. segera diperbarui lagi ya.",False,very_positive
halo gojek melalu komentar ini saya hanya mau minta aplikasi gojek saya supaya jadi plus.hanya cm ganti no tlp apk saya terblokir dan tidak bisa konek dengan akun go partner.tolong biar bisa plus dan konek lagi .,False,negative
"sangat membantu sekali, dan bermanfaat aplg dalam pandemi bgni, dari transportasi, makanan semuanya nyaman tinggal pesan,aplagi gosen sangat membantu sekali tapi ada sedikit masukan dari pribadi saya jika diperkenankan pengemudi diberikan yang dekat2 saja jangan terlalu jauh shg saya tidak menunggu terlalu lambat maksih sebelumnya, tetap dipertahankan, dan sukses selalu aamiin",False,very_positive
"sangat membantu dan selalu memberi diskon, tingkatkan pelayanan yang baik dengan diskon yang terus ditambah ya.",False,very_positive
"saya tidak merasa laporan kterlambatan,tb2 d akun saya muncul laloran rating n kterlambatan.kok bisa pdhal kondisi sbaliknya pengemudi ontime n overall bagus",False,neutral
ada di saat di butuhkan baik pelayanan transportasi maupun makanan . tengah malampun oke .dan cepat tanggap,False,very_positive
bintang 1. aplikasi tidak bisa membatalkan pesanan sangat kecewa tidak dengan grab bisa membatalkan harusya harus sama dengan grab sama sama bisa membatalkan pesanan saya tidak sengaja kepencet pesanan tidak bisa di batalkan sudah di email pihak gojek tidak bisa tolong di perbaikan,False,very_negative
love u promosi gofood,False,positive
pelayanan nya bagus.servis pengemudi nya juga bagus.tapi saya punya kesalahan yang tidak d sengaja sewaktu ngasih bintang.baru 1 bintang sudah hilang.apakah itu akan memengaruhi terhadap drivernya juga.faktor ke tidak sengajaan,False,negative
menyesal banget edit lokasi tujuan harga nya berkali kali lipat.niat nya biar ada salah sama drivertau gitu mending tak batal,False,negative
"banyak diskon nya, suka banget aplikasi ini",False,positive
jek kapan aku di kirimi otp jek!,False,neutral
"aplikasi yang sangat membantu untuk aktivitas sehari hari, lebih di tingkatkan lagi pelayanan nya untuk kedepan dalam hal merespon keluhan costumer. trims sukses terus buat gojek team",False,very_positive
"bagus dan enak sih pake gojek. sudah ada fitur foto di chat belum sih? kalau belom ada pengen banget ada. supaya gampang deskripsiin tempat. kalau sudah ada, aku gatau. wkwkw selamat ya bos nya jadi menteri ehe",False,positive
susah banget setting lokasinya masa tidak ada padahal dulu bisa sudah diaktifkan gps malah tidak sesuai lokasi,False,very_negative
untuk motifasinya perjalanan tetap yang terbaik untuk masyarakat yang membutuhkan dan aman,False,positive
"saya suka sekali dengan gojek yang telah membantu saya dan memudahkan saya dalam memesan makanan, pesan go ride dan gocar juga mudah dan cepat dan baik pelayanannya terima kasih gojek dan terus melakukan inovasi yang berguna untuk indonesia.",False,very_positive
gojeknya tidak mau nganterin apa coba kerja lambat niat gojek tidak sih mending kamu tidak usah kerja,False,very_negative
"sangat bagus dan cukup membantu, tetapi baiknya untuk pembayaran pada gerai alfamart lebih ditingkatkan lagi kwalitas pelayanan untuk pembayarannya, karena sering terkendala komputer restart dll.",False,very_positive
"bayar paylater bisa dicicil tidak? coba buka gojek hingga pelosok min, misalnya kabupaten, min mhn donk jangan hilangkan bonus untuk pengemudi dan pengantaran, apalagi masa covid, bonus tetap ada ya. atau ini karena lagi kebelinger ya para2 diatas. masih ada bug dan buat nge lag aplikasi saat membuka aplikasi, mhn diperbaiki",False,negative
selalu buat hati bersyukur menggunakan apnya dan pelayanannya. semoga tim pelayanan diberi reward sepantasnya ya . dan sekali lagi pake aplikasi ini selalu nyaman dan menyenangkan,False,positive
"untuk applikasinya sangat bagus,, tetapi para pengemudi suka minta di batalkan pesanan atau membatalkan pesanan saya setiap kali saya pesan gocar,, tolong untuk para pengemudi jangan seperti itu,apa kalian mau terima jika kalian di buat seperti itu, karena ketidaknyamanan ini,, saya kasih bintang 1 saja",False,very_positive
"maret kemarin kena tipu cs toko online palsu, sampai nominal 20jtaan, akun gojek d hack padahal otp masuk pun tidak saya kasih. singkatnya saya disuruh bagus up ke akun gojek saya sendiri, dengan nominal yang acak. setelah itu ternyata dari saldo gojek d transfer ke rekening bank penipu. masukan saja. setiap ada transaksi transfer keluar, tolong tambah pengenal sidik jari biar lebih aman.",False,very_negative
aplikasi yang oke komplit n murah,False,positive
"apk ny bagus tpi yng kurang itu tentang pemesanan pengemudi ny,karena selalu dapt pengemudi yang jauh,tpi untuk vitur ny sudah lengkap",False,positive
bagus sekali. banyak membantu untuk bepergian dan bisa pesan makanan,False,positive
"sangat mngecewakan pesan gocar selalu dapat taxi,, orang beralih ke taxi online karena lebih memilih dan nyaman dengan taxi online dibanding taxi konfensional. apa gunanya ada aplikasi ini kalau pesan gocar yang datang taxi. dari segi keramahan dan pelayanan sangat jauh lebih baik pengemudi gocar",False,positive
"tambahin dong fitur misal golearnteacher, jadi saat kita memerlukan guru untuk belajar tinggal pesan saja dari smartphone d mudah dan praktis v go-jek indonesia",False,positive
"dengan gojek sangat membantu sekali tidak ribet jemput di depan pagak sampai tujuan di depan pagar juga, jadi tidak pakai jalan jauh2",False,positive
"kalau gopay latter nya harus di upgrade, ya upgrade nya di akhir bulan dong, gila baru make 5 hari disurug upgradebayar, kena bunga juga 12.00 , pake logika saja kalau apa apa itu, mending kalau mau upgrade di akhir bulan biar sekalian bayar! enak saja.",False,positive
saya sangat senang sekali belajar di kelas ini karena jenis pelatihan nya lengkap dan bisa menambah informasi yang sangat bermanfaat,False,very_positive
"terima kasih gojek telah menemani 2thn terakhir,, masalah pada gopaylayer tidak selesai sampai sekarang sudah 1 bulan di blokir tidak ada kejelasan nya. sudah saat nya uninstall.",False,very_negative
"tiap kali mau bayar, pakai jempol biometrik, dianggap salah pin. tiga kali bayar, pin jadi keblokir, padahal pin benar. perbaikilah sistemnya",False,neutral
memudahkan pengguna. membantu orang,False,positive
"pertahankan pelayanan, apa yang masih kurang. , perbaiki. tingkatkan, trm ksh.",False,negative
kenapa ya saya sudah nunggu lambat lambat kode otp nya tidak ke kirim kirim sudah nunggu lambat itu saya tapi tetep saja tidak ke kirim kode otp nya,False,very_negative
min bagaimana setiap yh bagus up game saya tidak pernah dapet cash back padahal voucher cas back nyh ama saya sudah dipakai kalau ditotal cashback yang belom saya terima sekitar 100k loh min,False,neutral
pertahankan terus pelayannya.agar semua customer merasa aman dan nyaman dalam perjalanannya. bagus,False,very_positive
aplikasinya dapat membantu untuk percepatan pendaftaran akun pra kerja kemarin dan untuk upgrade juga sangat cepat,False,very_positive
"saya banyak batal pesanan go food, karena pengemudi nya jauh bangett. jangan di beku in akun nya. truss kalau mau bayar pay later, tolong bisa di cicil. jangan harus di bayar full sekalian. terlalu berat",False,negative
"akun ku yang lambat tidak bisa di buka kenapa yaa, padahal email-nya masih ada, tapi tidak bisa buka pake email. sudah lapor ke email-nya tapi belum di bales",False,very_negative
bagus tapi. harga ongkos kadang nga masuk akal. jarak nda ada 1km ongkos nya 13rb sudah ngelebihin harga makanannya saja,False,positive
tolong diperbaiki lagi sistemnya ini untuk kota balikpapan setiap saya pesan diatas jam 7 malam susah cari pengemudi kalau dapet pun jauh lokasi drivernya kan kasihan.,False,negative
tepat waktu diantar sampai pas dengan titik lokasi,False,neutral
"gojek makin kesini titik mapsnya makin buruk dan buruk ya, tidak tepat loh. bedanya jauh sekali pastikan kamu memberi ijin lokasi? ya jelas lah saya beri ijin. bodoh banget respon anda",False,very_negative
pelayanannya sudah baik . cuman masih banyak pengemudi yang menolak penumpang . cuman gara gara jarak tempuh . yang dianggapnya terlalu jauh .,False,positive
ngabisin kouta saya saja abdet trus aplikasi tolol,False,negative
aplikasi ini sangat membantu dalam perjalanan saya dan sangat memudahkan kita untuk mencari makanan jika tidak bisa keluar rumah,False,positive
sangat mudah biar banyak pesanan,False,very_positive
