index,text,old_label,new_label,reason
678,bagus dan sangat membantu semoga gojek trus berkembang tapi hanya sedikit saran untuk app nya biar bisa tetap dipakai walaupun blum upgrade ke versi baru kasihan yang blum update versi baru pas mau pake harus update dlu sedangkan upgrade ya kadang suka susah kalau memory hp sudah full atau sinyalnya putus trimakasih,positive,neutral,Mixed sentiment detected
694,sekarang performa gojek makin memburuk untuk klik pesanan saja lamanya bukan main padahal jaringan nya sudah saya pastikan cepet dan sinyal bagus tapi saat mau buka aplikasi dan melakukan pemesanan susah banget minta di perbaiki lagi dong sistemnya biar cepet dan mudah kek dulu terimakasih,positive,neutral,Mixed sentiment detected
725,tolong hapus data saya di go pinjam terimakasih,negative,positive,Thank you message without complaint
754,ribett sekarang klo gofood kalo kepencetsalah alamat gabisa di batal harus telpon call center giliran dah di telpon ditanggapi nya tunggu sebentar lagi di proses tapi lambat banget di proses nya belum lagi dapet pengemudi yang marah ngotot mau ambil pesanan gajelas sudah beberapa kali nelpon call center gitu terus tanggapannya tolong yaa diperbaiki klo males nanggepin ubah fitur nya jangan dipersulit,negative,neutral,Mixed sentiment detected
756,sedikit kecewa sih padahal pada bulan maret ini saya belum melakuakn transaksi apapun dengan pay later tapi gatau kenapa saya di kenai biaya langganan mohon untuk gojek segera diperbaiki karena meski hanya rp itu sedikit merugikan dan mengurangi kepercayaan,negative,neutral,Mixed sentiment detected
758,suka sih awalnya saja tapi makin lambat pesan gofood jadi mahal sekali ongkir dan harga makanannya promosi nya ada sedikit ya paling banyak potongan rb diskon nya hanya rb paling banyak beda waktu pertama coba diskonnya paling banyak rb tolong dong banyakin diskon nya tanpa min belanja juga dan tidak harus pake gopay bagaimana jika yang tidak ada akun bank atau yang lainnya untuk isi gopay seperti saya dan hanya ada uang tunai tolong di maksimal kan lagi ya,positive,neutral,Mixed sentiment detected
765,gojek tarif sudah mahal tetapi tidak diimbangi dengan jarak gojek terdekat konsumen disuruh menunggu sd menit sd menit dengan jarak yang jauh padahal ada urusan mendesak sama sampai sekarang akun saya disuspend kali ya sd sekarang saya tidak bs login tolong cek ada gopay saya tolong gojek diperbaiki klo chat gag bisa bagaimana kita berkomunikasi dengan pengemudi giliran ditelpon pada tidak nyambung semua aplikasi tidak jelas,negative,neutral,Mixed sentiment detected
827,bagus banyak promo banyak vocher juga tapi semakin sering pake semakin mahal itupun jaraknya sama tidak berubah,positive,neutral,Mixed sentiment detected
836,sering banget update nya jadi repot mau pesan gojek buru malah sruh update tidak di update tidak bisa pesan gojek kalo syaa hanya pengguna pergi kerja dan pulang kerja maunya buru tidak mau repot,neutral,negative,"Clear negative pattern, not mixed"
933,kasihan pengemudi sekarang dapat cerita dari pengemudi yang tadi antar saya dari jakarta ke bogor katanya sekarang menu setting tujuan hanya bisa dipakai setelah jam malam akhirnya saya minta diantar kembali dari bogor ke jakarta jam sore tapi tidak pakai aplikasi katanya takut tidak dapat arah pulang karena sudah kemalaman saya rasa driver suka bertindak semaunya karena memang keadaan semakin sulit,negative,neutral,Mixed sentiment detected
1005,sangat puas pelayanannya gojek tapi sayang banyak sopir go bak yang sering batalkan pesanan kalo emang tidak mo ambil pesanan jangan diambil biar konsumen tidak kecewa,positive,neutral,Mixed sentiment detected
1008,sangat membantu pada waktu itu sekarang sering di batal dan di ganti driver dan itu menunggu bisa sampai jam menit dan ajaib aplikasi ada minta di kasih tip,neutral,positive,"Clear positive pattern, not mixed"
1012,ok banget sangat membantu tp untuk maps nya masih kacau banget kasihan untuk yang belum paham tolong diperbaiki makasih,negative,positive,Clear positive pattern detected
1040,mesen gofood jadi lambat yaa soalnya pengemudi nganter pesanan orang lain terus suka tidak mood lagi laper tapi harus nunggu lambat,negative,neutral,Mixed sentiment detected
1139,buruk sekali jarak cuma km rutenya di puter puterin jadi km tarif pun jadi mahal yang seharusnya rb jadi mahal rb lebih bagus grab menurut saya utk saat ini grab konsisten,negative,neutral,Mixed sentiment detected
1143,bagus di pake muda di mengerti dan sangat membantu tapi kenapa klu di upgrade lambat sekali prosenya mohon perhat,positive,neutral,Mixed sentiment detected
1223,maaf sebelumnya saya bisa login aplikasi sudah satu bulan ini saya tidak bisa login tanpa tau sebabnya kenapa mohon untuk ditindaklanjuti saya edit terimakasih sudah membantu untuk login kembali,positive,negative,Clear negative pattern detected
1271,pesanan gofood kalo kita nunggu terlalu lambat tidak bisa di batal sama sekali tidak mikir kepentingan pelanggan kalo live chat cuma mesin yang menjawab sama sekali tidak memberi solusi sampai dengan pihak gojek sendiri yang membatalkan dan yang lebih buruk kita nunggu hingga berjam baru pihak gojek yang batalin mohon di perbaiki ketika outlet tutup tak ada pemberitahuan ke gojek ato tak kunjung mendapat pengemudi hingga berjam soalnya kepentingan pelanggan tidak hanya nunggu gojek dtng,negative,neutral,Mixed sentiment detected
1399,sekarang pengemudi gocar suka banget main cancel klo konfirmasi sih gpp ya kalo sudah nunggu trus main batal bikin jengkel nyari pengemudi bisa menit sendiri makanya tarifnya disesuaikan donk gojeg biar pengemudi senang dan tidak suka main batal penumpang,negative,positive,Clear positive pattern detected
1404,tidak bisa pesan manual di go food,neutral,negative,"Clear negative pattern, not mixed"
1409,ongkosnya sih terjangkau dibandingkan sama yang lain tapi kurang nyaman sama beberapa drivernya sering minta cancel ngerasa kesal sih pas diwaktu waktu yang sangat dibutuhkan malah minta cancel alasannya jaraknya kejauhan kayak tidak profesional gitu kalau pake aplikasi lain nya belum pernah pengemudi minta cancel maaf ini hanya kritik berdasarkan pengalaman saya bukan bermaksud menjelekkan aplikasi ini ya agar kedepannya lebih baik lagi pelayanannya dan drivernya profesional,negative,neutral,Mixed sentiment detected
1421,selama ini bagus dan lancar tapi sayang saya tidak bisa up grade play later dengan alasan sudah pernah dipakai padahal hp dan no saya baru agak kecewa jg sih,positive,neutral,Mixed sentiment detected
1504,gojek makin kesini makin ngaco susah dapat driver lambat banget dapet drivernya sekalinya dapat jarak jemputnya jauh banget padahal ada pengemudi yang dekat tapi tidak nyantol bukannya tambah lebih baik malah makin menurun performanya,negative,neutral,Mixed sentiment detected
1543,alamat sama titik lokasinya tidak pas banget suka salah terus kadang males pake tapi kadang butuh kalo pengen apa apa tolong dong min perbaiki,positive,neutral,Mixed sentiment detected
1553,paling sering pake gojek dari yang lain tapi tolong diperbaiki sistemoption di customer service nya ada bnyak toko yang sebenarnya tutup tapi di apk masih buka mau batalin pesanan susah kasihan drivernya ngabisin waktu tapi respon dari pusat lambat dan susah ayolah yu can du beter dan dis,negative,neutral,Mixed sentiment detected
1578,saya sudah lambat pakai gojek tapi knpa sekarang setiap mau pesen gojek sllu di suruh login padahal akun sudah ada sudah masukan no telp verifikasi nya lambat padahal saya lagi buru sangatt buruk sekali,negative,neutral,Mixed sentiment detected
1591,setelah baca semua ulasan baik dari customer maupun pengemudi sekarang saya sadar aplikasi yang buruk yang membuat pengemudi kena bintang satu komen buruk dan kena suspend atau seringnya customer kehilangan saldo ketika bagus up sudah berhasil saldo ttp nol sebenernya bukan salah pengemudi ataupun customer tapi justru aplikasi nya yang error tapi seringnya malah apliktor menghukum pengemudi dengan sanksi suspend padahal aplikasinya sering error dan bermasalah malah seperti ungkapan maling teriak maling,negative,neutral,Mixed sentiment detected
1607,walaupun kadang terasa mahal dan tidak semua pengemudi memberi layanan yang baik tapi ini aplikasi dari yang awalnya iseng iseng saja tapi sekarang malah suka,positive,neutral,Mixed sentiment detected
1622,untuk yang lain bagus cuman gomart nya jadi tidak lengkap kaya dulu enakan versi lambat bisa pilih toko belanjaanya juga lebih lengkap,negative,neutral,Mixed sentiment detected
1639,aplikasi ini sangat membantu sekali baru proses kerjax cepat sekali pokokx puas sudah lambat pakai aplikasi ini dr tahun smpai skrg tapi kalau bisa fitur vermukx dihilangkan ajah kode otp sudah lumayan,positive,neutral,Mixed sentiment detected
1654,gojek belanja sangat membuat saya marah karena apa ya karena pelayanan nya sangat buruk saya sudah pesan tapi dari kemaren tidak dateng kyk paket dan pembahasan nya pun kurang baik saya sudah pesan tapi tidak di angkat trus dia kasar banget sama saya tolong jangan begitu dengan pelanggan pelanggan adalah raja,negative,neutral,Mixed sentiment detected
1679,halo saya mengalami masalah tidak bisa login hanya berputar spt loading sudah email ke cs sudah ke twitter dan ig jg belum ada respon device samsung m g bantu dong,neutral,negative,"Clear negative pattern, not mixed"
1692,aku suka sekali tapi alangkah baiknya klu di tambah fasilitasnya yaitu pembelian tiket online kereta api lokal dhoho n penataran pasti bgus sekali karena jujur belum ada yang memberukan fasilitas itu n kita klu beli tiket harus datang yang lebih mengecewakan lagi dah jauh datang n lambat banget ngantri seharian ehh tiket habis itu sangat menyita waktu n metugikan rakyat kecil karena hrus di potong gaji hari demi mendapatkan tiket kreta tolong gojek sediakan ya n kerjasama dengan jasa kereta api lokal jatim agar kita rakyat kecil bisa lebih ringan n terbantukan n bs beli lewat online tanpa harus izin n potong gaji seharian makasih gojek,positive,neutral,Mixed sentiment detected
1704,kecewa berat sih belanja tengah malam pake gomart karena ada voucher gratis ongkir pas sampe di lokasi ada beberapa barang yang tidak ada padahal di aplikasi masih ada stock nya kaya di sengaja gitu tidak diadain lalu secara tidak langsung biar voucher gratis ongkit dengan minimal belanja itu tidak kepake alhasil bayar ongkir bengkak wkwkwk sumpah licik tidak lagi lagi saya pake nih aplikasi titik paling kecewa banget ama aplikasi ini malem kalo tidak niat ngasih voucher gausah ngasih,positive,negative,Clear negative pattern detected
1758,semua nya bagus untuk aplikasi nya yang kurang hanya di ojek nya saja yang kadang jemput kelamaan di hubunggi tidak bisa dan sms cuma di baca kesel,positive,neutral,Mixed sentiment detected
1791,pengalaman buruk mesen gocar sampai x di batal pesan pada tidak mau ngambil padahal sudah saya non aktifin promosi vocher dan di ditect ada yang deket mnt cuma kaga mau ngambil tidak sudi download nih apk lebih baik grab lebih menghargai waktu pelanggannya mau harga murah apa tidak juga,negative,neutral,Mixed sentiment detected
1794,buat pt gojek mohon untuk di perbaiki lagi semua ongkir nya karena sangat mahal sekali semenjak mahal saya tidak pernah pake gojek lagi padahal dulu saya suka pake gojek atau gofood tapi sekarang sudah tidak pernah karena mahal ongkir nya dan tidak ada diskon nya mohon untuk di perbaiki ongkos nya karena tidak semua pengguna gojek kalangan ke atas tapi banyak juga yang kalangan menengah ke bawah mohon agar di perbaiki lagi ongkos nya agar banyak yang suka pake gojek klo murah,positive,neutral,Mixed sentiment detected
1808,bagus banget sih soalnya pengemudinya dateng tidak begitu lambat jadi tidak bisa telat dan drivernya juga kalo dateng di dekat daerah penjemput jadi tidak begitu lambat bagus banget,negative,positive,Clear positive pattern detected
1875,aplikasi tidak simpel dan aga membingungkan bagi pengguna baru dan pajaknya mahal banget buat bagus ml saja harga rb jadi rb haduh padahal sudah tertulis cuman rb eh malah jadi segitu yaa tidak wajar saja sii tolong di perbaiki lagi buat pembayaran,negative,neutral,Mixed sentiment detected
1900,weyy kenapa waktu saya mau upgrade ke gopay plus gagal terus padahal semua sudah lengkap tidak blur dan sudah pas fotonya taman jawab dongg,neutral,negative,"Clear negative pattern, not mixed"
1915,servernya buruk mau transfer ke bank ini itu gagal trus tidak recommend untuk kerja freelance bisnis online kaya saya yang sering transfer bank kadang kesal juga jatuhnya kaya uang saya ke tahan solusi di kasih artikel tapi menurut saya itu bukan solusi hanya pengalihan again saya masih pertanyakan kenapa server transfer antar bank nya selalu gagal moga kedepannya makin baik lagi good luck gojek indonesia,negative,neutral,Mixed sentiment detected
2012,buat manajemen gojek kalo laganan voucher emang diskon nya itu yang fair aza diskon rb tp dpt nya cuma rb kalo di hitng kami cuma dpt diskon rb loh pliz kita nih beli voucher juga bayar lo bukan gratis lagi pula hrga makanan juga uda di tambah jadi makasi sblm nya kalo di perbaiki karena jujur kecewa banget apalagi kami ini pekerja sapa sih tidak mau hemat dan tolong kalo tidak brani jgn buat promosi ya sorry kalo ada kata yang salah,positive,neutral,Mixed sentiment detected
2056,saya pesan makanan malam malam karena lapar sudah nunggu lambat hampir jam status pengemudi meluncur ke restoran dikonfirmasi pengemudi ternyata restonya tutup sudah nunggu lambat tapi dapetnya kayak gitu tolong diperbaiki lagi sistemnya kalau emang resto tutup haruanya saya gabisa pesan makanan tapi itu makanan bisa dipesan tapi restonya tutup asu,negative,neutral,Mixed sentiment detected
2126,maaf saya kasih bintang soalnya kalo sudah malam kenapa susah ya dpt pengemudi untuk goodfood perasaan bisa bisa saja kenapa sekarang jadi susah ya sampai malas jdinya pesan di gojek lagi masuk pesanan ke resto tapi stlah itu ada bacaan telat karena tidak dapat pengemudi padahal tidak ada problem mslah pengemudi goodfood sblmnya kenapa sekarang jadi susah ya tolong di perbaiki lagi soalnya saya jadi sulit kalo pesan goodfood di gojek kendalanya gtu trus terima kasih di daerah kalimantan selatan,negative,neutral,Mixed sentiment detected
2155,admin tolong di bantu saya mau buka apk tapi no saya sudah ganti mau signup lagi email nya nyangkut ke no lambat mau update no dalam proses memasukan no baru malah ada masalah terus bagaimana ini,positive,neutral,Mixed sentiment detected
2177,sangat memuaskan pelayanannya orangnya ramah walaupun terkadang lambat jemputnya karena macet,negative,positive,Clear positive pattern detected
2222,bagus tapi saat kalo go food sebagian tidak ada gambar jadi agak buruk milihnya kalo bisa semua pilihan ada gambar dipertingkatkan lagi ya gojek,positive,neutral,Mixed sentiment detected
2294,klw dulu awal mula memang y gojeck sangat baik dlm pelayanan pelanggan klw sekarang sudah jadi aplikasi sampah d mna sulit mendapatkan pengemudi ketika memesan jasa gojeck ketika jarak yang sedikit jauh dng ongkos yang jumlah ny mereka anggap uang kecil mereka akan menolak dng alasan ke jauhan kelamaan nnt menunggu ketika order sekrang sulit dan lama bisa mau pesan bisa kali bahkan lebih tidak akan dapat driver dng alasan tertera pesanan sedang penuh,negative,positive,Clear positive pattern detected
2298,aplikasi ini sudah bagus dan sangat membantu saya yang tidak bisa naik motor jadi lebih mudah untuk bepergian saya termasuk sudah lambat menggunakan jasa transportasi online tapi untuk pertama kali nya dapat perlakuan tidak menyenangkan dari pengemudi nya semoga kejadian yang saya alami pertama dan terakhir untuk pihak dari gojek mohon kedepan nya lebih menseleksi lagi calon pengemudi agar tidak terjadi perlakuan yang demikian terima kasih sukses selalu,positive,neutral,Mixed sentiment detected
2314,kenapa akun gojek saya tidak bisa login disuruh perbarui trus,neutral,negative,"Clear negative pattern, not mixed"
2353,aplikasinya tidak membantu akun saya punya limit gopaylater jt tapi sama sekali tidak bisa digunakan padahal tagihan tidak ada sama sekali percuma masuk kategori anak sultan tapi pelayanan kayak gini kecewa betul sama aplikasi ini kalo emang tidak bisa digunakan ngapain disetujui kenaikan limit sampai jt aneh setelah dibuat laporan dari email tetap saja tidak bisa terselesaikan malah disuruh ganti metode pembayaran kalo gini sih mending hapus akun saja lebih baik,negative,neutral,Mixed sentiment detected
2373,mau buka layanan gofood susahh banget di keterangan server error terus kalau mau buka goride oke go car oke mau buka go food doank ni tunggu berjam jam tidak kebuka apk nya kecewa,neutral,negative,"Clear negative pattern, not mixed"
2402,maaf ya sebelumnyaa terkait hal kalo segala pemesanan sistem cod minta tolong bngt pengemudi harus ada usaha buat ada kembalian deh yaa kalo x oke lah ya gausa pake kembalian tapi lambat lambat tekorr juga kaya misal pembelian uang nya kaya kembaliannya tolong diusahakan ya pak driver karena kita juga lambat lambat tekor kalo kaya gitu byngi kalo keterusan kaya gitu x dah berapa itu fyi aku kalo masih receh oke ini bukan mksd itung an atau bagaimana tapi kaya saling mengerti dong ya,negative,neutral,Mixed sentiment detected
2420,tolong ya harap lebih di perbaiki masa belanja lewat go jek di tokonya tertera jelas kalau diskon tapi kenapa ya d setruk malah tidak diskon bahkan terkadang jauh lebih mahal dari aslinya kenapa ya tidak seduai kalo begini kan kita semua rugi harusnya yang tertulis di gojek harus sesuai sama toko sangat kecewa,negative,neutral,Mixed sentiment detected
2432,hay gojek saya kluar dari akun dan saat ingin masuk lagi tidak bisa login pakai no saya terus pas login pake akun fb pun tidak bisa ada kah solusi untuk saya,neutral,negative,"Clear negative pattern, not mixed"
2433,sebenernya aplikasinya sudah bagus tapi pas saya coba aktifin paylater nya tiap mau bayar ko no conecting terus padahal buka laman gojek yang lain lancar aja itu kenapa ya ka bisa kena denda saya kalo gini terus paylaternya tolong ka perbaiki,positive,neutral,Mixed sentiment detected
2439,perasaan sekarang makin mahal kalo mau beli makanan padahal pake langganan tapi masih mahal aja dulu kalo deket sudah pake gojek plus paling ongkir rb tapi sekarang hampir ribuan padahal deket loh terus yang jualananya juga pake gojek plus tapi masih mahal aja aku kadang tipe yang beli makanan suka kasih tip ke abang goiekna karana sering tidak enak banget walupun tidak banyak juga tapi semenjak pada mahal jarang beli makanan d online lagi,negative,neutral,Mixed sentiment detected
2440,bagus boii bisa bagus up gratis diamond epep ini bisa ya gess pokoknya mantull dehhtapi kenapa pas mau menginstal malah di bilang harus ada salah satu yang di hapus padahal aku sudah hapus semua terus lambat juga nginstal nya tapi gapapa yang penting garugi,positive,neutral,Mixed sentiment detected
2463,lumyan senang pake gojek cuma kadang tarifnya mahal,negative,neutral,Mixed sentiment detected
2486,update terbaru bugnya gila bngt ya saya ni jadi tidak bisa pesan dari universitas borobudur ke stasiun cawang padahal sebelum update lancar bngt,positive,negative,Clear negative pattern detected
2503,suka dengan aplikasi inii sudah pakai selama tahun lebih kira selama saya jualan pesen gojek orang dalam waktu bersamaan juga bisa dah pokoknya tapi tolong dong fitur semua riwayat dikasih lagi dong kaya dulu biar bisa liat riwayat gosend goshop gofood jadi satu hehe sekarang cuma bisa lihat riwayat bagus up gopay buat isi pulsa paket data bayar tagihan saja trimakasih selebihnya saya dan terbantu dengan pelayanan gojek,positive,neutral,Mixed sentiment detected
2510,tolonglah diperbaiki apl nya masak saya pesan kenapa lambat dapat driver pdhl banyak pengemudi d sekitar saya mereka bilang anyep tapi kenapa saya pesan susah,negative,neutral,Mixed sentiment detected
2597,tidak bisa pesan dari jarak jauh,neutral,negative,"Clear negative pattern, not mixed"
2620,terimakasih kalau pesan sll cepat dtg jadi kasih bintang dech tapi barusan saya pake gojek kasih bintang setelah kirim kenapa tampil cmn bintang satu ya apakah ada kesalahan sistem kasihan drivernya kl begitu penilaian baik malah muncul penilaian buruk,positive,neutral,Mixed sentiment detected
2627,sudah menahun pake gojek tapi jujur tidak suka sama apdetan terakhir tampilan utama akun gojeknya bisa dikembaliin kayak dulu lagi tidak min ribet banget soalnya yang sekarang lebih suka yang lama dan pleasee masa go play nya pakai pajak selama ini terakhir bulan lalu saya beli item games mana ada pajak pajakan yang dibeli tidak seberapa tapi pajaknya loh gede banget wooi tolonglah min jaman susah gini jangan ditambah lagi dong susahnya,negative,neutral,Mixed sentiment detected
2640,gila ongkirnya naik jadi k padahal cuman deket ngak ada km sekarang tambah ada biaya pesanan kecil mantap makin haru makin mahal di ongkir,negative,neutral,Mixed sentiment detected
2646,bagus sih apknya membantu tapi ko saya upgrade akun go pay selalu gagal dan lambat sekali tidak ada jawaban atau konfirmasi ya pihak internal mohon dibantu,positive,neutral,Mixed sentiment detected
2670,baguss banget cepet dapet drivernya tapi agak susah tadi buat daftarnya gabisa terus bagaimana y cara daftarnya tapi buat mesen cepat,positive,neutral,Mixed sentiment detected
2709,pesanan suka ke batal sndri kata abang gojeknya gua yang cancelin tapi gua tidak pernah tuh nge batal pesanannya tidak tau deh ya antara aplikasinya yang error atau pelayanan abang gojeknya yang buruk tidak mau terima pesanan trs batal sepihak,negative,neutral,Mixed sentiment detected
2741,nmr hp gojek hangus jadi tidak bisa login,neutral,negative,"Clear negative pattern, not mixed"
2767,sangat bagus dan memuaskan sayang upgrade nya terlalu lambat dan butuh waktu,neutral,positive,"Clear positive pattern, not mixed"
2921,tidak tau heran saja kenapa makin kesini kinerja gojek menurun mau itu drivernya yang telat langgar lalu lintas dan yang paling kesal adalah di keterangannya suka langsung di keep kalau kita sudah di perjalanan sedangkan drivernya sendiri belum berangkat ke tempat konsumen mohon diperhatikan lagi kalau perlu ada fitur pembatalan driver jujur saya agak gedek sudah nunggu lambat padahal lagi buru buru mau di cansel tapi tidak bisa terima kasih mohon diperbaiki ya min,negative,neutral,Mixed sentiment detected
2922,saya suka sekali pesan go food karena jadi tidak repot repot pergi keluar tapi kalau bisa ongkirnya jangan terlalu mahal,positive,neutral,Mixed sentiment detected
