review,rating,sentiment,sentiment_label,label,date,thumbs_up
Harga Sekarang Mahal Unt Gojek dan Gocar nya... Unt Waktu Pesan Gofood Menjebak... Di Muka 15-25 menit... Eh begitu Order 50-60 menit... Padahal Deket...,2,2,negatif,1,2025-01-02 09:59:07,2
"Sebenarnya sudah bagus , tp tolong masa berlaku vocher itu diperbaiki lagi, paling tidak sesuai dengan tgl yang sudah ada , karena saya sering tidak mendapat potongan dari vocher trsbt padahal tanggal berlakunya masih lama , saya sangat kecewa sekali ... Kl hbis ujan lama poll",3,1,sangat_negatif,0,2025-02-28 18:07:51,0
"apa benar Go-Jek akan diakuisisi grab? jika benar berarti Go-Jek dan pemerintah Indonesia bodoh, Go-Jek salah satu aset negara koq dibiarkan diakuisisi perusahaan asing",3,1,sangat_negatif,0,2025-08-31 21:26:30,0
Aplikasi nya tolong yang jelas dikit ya masak ada jalur yang lebih dekat malah di kasih jalur muter jauh kan jadi mahal ongkir nya. Biasa nya cuma 20k masak ini langsung 50k yang bener aja,3,3,netral,2,2025-03-04 17:25:06,0
"sebenarnya aplikasi gojek bagus, cuma kenapa saat aku mau pesan goride dan gocar, kan harus cek lokasi saat ini. Nah, jadi waktu cek lokasi, layarnya putih terus dan ini udah sampai 3 hari. Cara ngatasinnya gimana ya?",2,5,sangat_positif,4,2025-05-12 06:32:38,3
G bisa ngandelin gojek kaya gini KLO kondisi darurat kadang g ada yg mau ambil orderan.,2,2,negatif,1,2025-03-27 09:54:45,0
carii driver sudah nyambung tapiii driverr tidak bergerakk,3,3,netral,2,2025-04-27 12:50:49,0
aplikasi buruk kalau ada masalah sama driver tidak di temukan atau apa apa itu konfirmasi secepatnya ini nggak nunggu ber jam jam tiba tiba di batalin atau ada masalah lain masalahnya bukan sekali dua kali begini tolong lebih di perhatikan lagi kenyamanan pembeli,1,1,sangat_negatif,0,2025-10-20 23:58:42,1
"susah baguss.. tetapi tolong tambahkan opsi galeri di chat bersama driver. jadi tidak hanya sekedar foto lsngsung, tetapi galeri juga ada.. terima kasihh",4,5,sangat_positif,4,2025-06-22 16:55:49,0
Saya pesan di cancel terus,1,1,sangat_negatif,0,2025-09-29 15:28:13,1
Saya menyarankan untuk melakukan verifikasi jika ingin memesan dua ojek karna tanpa verifikasi selalu ke pesan dua ojek sedangkan saya ingin memesan satu,2,2,negatif,1,2025-02-04 07:14:42,2
Ongkir buat gofood nya di luar nalar mana ga pernah dapet potongan ongkir,2,2,negatif,1,2025-01-02 10:22:01,0
"jarak cuma 2,7 KM tapi malah lewat jalan yang jauh sekitar 7 KM dan gabisa pilih jalur padahal jalur terdekat juga jalan yang ramai.",1,1,sangat_negatif,0,2025-09-20 13:56:53,1
aplikasi yang sangat memudahkan untuk transportasi,5,5,sangat_positif,4,2025-10-20 20:01:51,0
Untuk mengatasi akun yang lupa pin nya gimana.kok ga bisa,2,2,negatif,1,2025-03-01 03:07:18,0
"kenapa aq isi pulsa ga masuk2, isi kuota juga ga masuk2 pdhl saldo udh keambil, pke gopay",3,3,netral,2,2025-06-06 17:00:06,0
gak ngerti sama pelayanan gojek gimana apalagi drivernya. nyari driver suka lama banget apalagi habis hujan. gak kaya app ojol sebelah. pernah dapat driver posisi penjemputannya gak terlalu jauh sebenarnya tapi cuma macet tiba tiba di cancel padahal udah pake prioritas sama boost pencarian cepat itu di harga 40k an lebih. sedangkan di app sebelah posisi jemputannya lebih jauh malahan dan itupun pake fitur hemat juga dan drivernya mau. gak pakai lama langsung tancap gas bahkan saya kasih uang tip,2,2,negatif,1,2025-10-02 17:27:54,1
Sangat penting dan mambantu banget,4,4,positif,3,2025-01-05 18:58:04,0
map nya sering salah,2,2,negatif,1,2025-08-15 16:29:53,1
buruk semua mkanan mahal,2,2,negatif,1,2025-10-11 14:42:06,1
"Kenapa di titik koordinat tempat saya gak bisa pakai aplikasi nya y ? kalau titik koordinat nya di majuin dikit depan komplek baru bisa,,,",3,3,netral,2,2025-09-01 19:15:30,0
kenapa drivernya minta bayaran lebih g sesuai aplikasi?,3,3,netral,2,2025-09-13 09:14:50,1
dapet driver selalu yg jauh - jauh,4,4,positif,3,2025-04-29 07:15:31,0
"biaya penanganannya gofood nggak ngotak sih, masa hampir sama sama harga total makanan yang mau dipesan belom ongkirnya juga, trus kalo mau pesen goride atau gocar harganya sering berubah ubah nggak konsisten, mungkin kedepannya ini bisa menjadi evaluasi dan menjadi lebih baik lagi, terimakasih i",3,3,netral,2,2025-06-29 23:23:19,0
"layanan pada umumnya lumayan baik, dan tolong perbaikannya untuk GO-BOX karena saya order terjadwal pada H-1 sewaktu saya cek pada keesokan pagi nya malah orderan yg saya buat tidak ada, sehingga saya membuat order lagi. tetapi saat saya sudah dapat order, driver nya datang 2.",3,1,sangat_negatif,0,2025-09-14 11:31:18,7
"sebenarnya aplikasinya bagus, tapi kurangnya... KENAPAA TIBA TIBA MENCARI DRIVERNYA SENDIRIII tau tau driver gocarnya nyepam halo halo, saya maluuu dan saya hapus aplikasinya karena stress. makasih",4,1,sangat_negatif,0,2024-12-31 21:03:40,0
"gojek suka aneh,kalo ngasih driver suka jauh dari titik jemput,bikin makan waktu kalo lagi buru buru",3,3,netral,2,2025-09-26 06:18:57,1
driver pada ramah...baik yg go bike maupun go car..jd nyaman di perjalanan...,4,4,positif,3,2025-10-24 08:20:30,0
Driver mobil nya terlalu milih milih orderan tolong di perbaiki,3,3,netral,2,2024-12-23 12:11:33,0
"aplikasi erroe, 3 kali gofood, dikonfirmasi ke resto pesanan ga masuk, padahal di aplikasi udah diproses",3,3,netral,2,2024-11-03 21:43:56,0
ga ada fitu buat rating resto gofood ?,2,2,negatif,1,2025-04-11 20:47:50,0
Penggunaan App gak ribet,4,3,netral,2,2025-01-31 11:40:19,0
"Banyakin diskonnya,sama update biar bisa telpon atau chat resto duluan",4,4,positif,3,2025-02-16 22:16:06,0
"tolong dong perbarui motor motor driver nya udah banyak yg gak layak soalnya kendaraan nya buat pergi jauh, saya beberapa kali naek gojek malah mogok di jalan akhirnya saya mutusin lanjutin jalan kaki untung mogok nya udah deket",3,3,netral,2,2025-06-01 13:19:15,0
Cocok untuk mageran seperti saya,4,4,positif,3,2024-11-30 16:47:06,0
"Kalo cri driver lama,,, Mau g mau nunggu . D batalin juga gabisa",2,2,negatif,1,2025-04-04 19:02:03,0
katanya bisa menjangkau semua daerah lama,1,1,sangat_negatif,0,2025-11-04 09:52:39,1
"makin kesini makin ribet, pemesanannya harus menunggu lama , drivernya udah kaya orang banyak duit, orderan dipilah pilih",3,5,sangat_positif,4,2025-04-17 21:47:50,0
"mau order gofood dari jam 7 malem sampe jam 10 malem driver gaada yg nyangkut, parahh",2,1,sangat_negatif,0,2025-11-10 22:26:18,1
udah berapa kali coba login pke wajah kok gk bisa masuk2 ya,2,2,negatif,1,2025-07-29 17:28:36,0
ni gojek udh di setting alamat nya sudah sering pesan tiba tiba berubah sendiri. tolong lah kalo gk ada yang minta pindah alamat jgn di pindahin sendiri,3,3,netral,2,2025-10-29 15:51:59,1
"semenjak update rasa nya harga nya terlalu mahal, saya sepertinya kalau seperti ini terus saya akan pindah ke aplikasi grab soalnya harga nya terlalu mahal tidak seperti biasanya padahal saya sering sekali menggunakan aplikasi GO-JEK",2,2,negatif,1,2025-08-09 18:40:12,0
"jangab sampai gojek di akusisi oleh grab,karena gojek bukan sekedar aplikasi transportasi daring,gojek adalah marwah bangsa indonesia di bidang tekhnologi di bidang transportasi.",4,4,positif,3,2025-06-16 05:39:10,0
Aplikasinya okeylah. Tapi Drivernya ini parkiran 2000 aja Ributnya Ngalahin yg korupai milyaran. Mana klo lg dijakarta Driver Mobilnya nya suka nolak Orderan lagi. Belagu betul,3,3,netral,2,2025-01-25 14:46:48,2
"Pelayanan aduan sangat lemot,, Sekalian aja tanya di sini saya belanja gomart cuma 4 pcs knapa malah katanya melebihi kapasitas driver dalam membawa ya,mau tanya operator langsung lemotnya minta ampun!",3,3,netral,2,2024-12-26 21:52:43,1
Sangat membantu sekali ya jadinya.,4,5,sangat_positif,4,2024-11-27 11:58:23,0
pesan ayamnya paha atas yg datang dada,4,4,positif,3,2025-08-17 16:03:33,0
Bagusss laah overall,4,4,positif,3,2025-03-06 00:24:41,0
"gojek ini gimana sih yang biasanya saya dapet harga 23k ketika saya menggukanan layanan go ride malah sekarang harganya melonjak tinggi jadi 28k, padahal titik jemput dan tujuan nya sama aja kaya biasanya",2,2,negatif,1,2025-07-18 22:02:20,0
Bagus driver nya rata rata ramah semua. Cuman ada beberapa driver yang kurang ramah yang saya temui malah kurang ajar? Lama dapet orderan gocar kalo lagi ujan grimis. Terimakasih atas pelayanannya.,3,3,netral,2,2025-01-30 15:38:50,1
"Aplikasi nya lancar gak ada gangguan, kadang pas buka go food mau pilih resto sering ngelag,tapi semuanya sudah bagus",4,4,positif,3,2024-11-26 15:31:43,1
driver gocarnya pada pemalas ga guna cuma pada main judi slot aja,1,1,sangat_negatif,0,2025-10-01 10:48:34,1
"kok sekarang aku masukin kode voucher goride GORIDEAJA selalu ada tulisan hiks, kayaknya ada error. coba lagi, yuk! bahkan setiap hari selalu begitu kayak ga ada kesempatan buat dapetin voucher nya. lama lama kesel juga kalo begitu terus, aku niatnya buat masukin kode voucher biar dapat murah, ga boros uang jajan malah begini.",2,2,negatif,1,2025-09-08 05:10:09,1
"voucher diskon gofoodnya kadang bisa kepake kadang ga, ngeselin.",1,1,sangat_negatif,0,2025-11-05 19:29:05,1
"Saya pakai udah 2 tahun bagus² aja dan sangat memudahkan untuk berpergian, tetapi, baru kali ini kejadian tiba² bisa kepesan 2 gojek sekaligus dan atas nama saya.. abang gojeknya marah² karena saya ngambil gojek yang satunya lagi, saya juga tidak tau kenapa bisa kepesan 2 gojek, pertamanya saya di cancel oleh abang gojeknya, lalu saya pesen lagi walaupun nunggu agak lama, tapi tiba² ada dua gojek yang telepon saya, tolong perbaiki ya agar tidak ada miskom atau kejadian apa² lagi kedepannya.",4,1,sangat_negatif,0,2025-11-05 19:00:52,0
"Drivernya pada kenapa sih, ngulang pesen sampe 5kali gak ada yg mau ambil orderan gofood ku, padahal sering banget liat driver gojek pada mangkal, sesantai itu drivernya tapi gak ada yg mau ambil orderanku",3,1,sangat_negatif,0,2025-01-03 10:54:36,0
"Kenapa pemilihan rute di arahkan berputar putar dan membuat harga jadi mahal, padahal sebelum nya aplikasi sendiri menunjukan rute yang lebih singkat, sekarang malau harus berputar putar dan membuat harga argo lebih mahal",2,5,sangat_positif,4,2025-09-30 06:11:44,5
gajelas driver asal cancel ajaa,1,1,sangat_negatif,0,2025-09-28 21:46:33,1
"aplikasinya bagus, TPI KLO lagi terdesak cs nya kurang tanggap",4,4,positif,3,2025-07-27 07:56:00,0
"aplikasi pelayanannya sangat jelek, karyawannya sangat kasar dan tidak sopan.",1,1,sangat_negatif,0,2025-10-14 10:19:22,1
Susah baget dapt driver apa pada ga butuh uang lagi ya ni para driver,2,2,negatif,1,2025-01-30 11:57:59,1
"driver nya susah padahal banyak yg dekat, 1 jam order gk dapet² driver",3,3,netral,2,2025-06-20 21:50:54,0
"sering mengalami kendala saat melakukan sesuatu di aplikasi ini, terkadang juga tidak dapat memberikan rating pada kurir atau tidak dapat memberikan tip saat selesai pengantaran",2,2,negatif,1,2025-05-09 17:35:42,1
maksa amat ini apk di bagian pelayanan gofood. saat itu gk jadi mesan tapi belum di tekan utk di pesan dan antar sekarang yaa kan berarti gk membeli bukan berarti membatalkan pesanan saat sudah di pesan... jadi risih jadinya karna itu,3,3,netral,2,2025-08-13 18:10:04,0
"jek, tolong dong smooth de sultan tu jangan dimasukin ke goride comfort. gak ada comfort2nya ege",4,4,positif,3,2025-10-07 15:45:45,0
"Seharusnya ada riport tempat makan agar gojek langsung ambil tindakan, saya tidak terima ada orang jualan makanan basi yang notabenenya bisa di kasuskan karena berbahaya",3,5,sangat_positif,4,2025-01-10 22:29:16,1
Sangat membantu kehidupan sehari- hari,4,5,sangat_positif,4,2024-11-22 12:26:09,0
"Aplikasi makin kesini ,makin ga jelass...",2,2,negatif,1,2025-04-01 21:53:34,0
tolong edukasi para driver terutama gocar nya kalo memang ga mau antar tolong infokan baik2 ke pelanggan jangan didiemin nunggu penumpang yg cancel. ini sudah sangat merugikan waktu kami. sudah nunggu lama harus booking ulang.,2,5,sangat_positif,4,2025-06-10 12:49:18,33
driver lama setiap order mknya lama serba lama,1,1,sangat_negatif,0,2025-10-29 18:20:19,1
"dulu isi pulsa gak masuk, sekarang top up gopay gak masuk tunggu 2 hari kerja, top up gopay bukan untuk tabungan tapi buat transportasi sama isi pulsa, minta tolong yang profesional",1,1,sangat_negatif,0,2025-11-16 12:03:42,11
3x transaksi gopay beli pulsa Tsel sama paket nelfon harian. tiga²nya gak masuk tapi gopay udah kepotong dan tulisan transaksipun berhasil. udah laporin tapi isinya gitu² aja gak membantu samaskli. jadi takut mau transaksi lagi,2,2,negatif,1,2025-10-19 08:42:32,1
"Mohon dibenahi lagi sistemnya. Saya menunggu 15 menit atas gocar yang sudah terpesan, namun ketika mobil sampai gocar yang saya pesan tiba tiba berubah pesanan sehingga saya perlu menunggu lagi. Saya 6x mendapat gojek yang tidak responsif dan bergerak dan akhirnya perlu menunggu 50 menit untuk mendapat tumpangan",2,2,negatif,1,2025-04-09 06:21:06,2
karna murah dan cepat,4,4,positif,3,2025-05-25 19:58:31,0
sejak di perbarui error trs loding lama tiba tiba order udh di cocol menghilang sendri bukan tambh enteng aplikasi tambh berat tolong perbaiki jgn kalin krja duduk doang sama map nya juga kadang menghilang kadang tembok suruh di tabrak,1,1,sangat_negatif,0,2025-09-17 06:33:12,1
Beberapa kali mau cancel susah banget. padahal kita gak mau cancel. terpaksa cancel karena driver nakal. Dan solusi dari gojek hanya lewat web dan tidak ada nomor telpon customer service . kalaupun ada ribeet bgt. Tolong bebenah dong!,2,1,sangat_negatif,0,2025-07-17 20:46:57,1
saya sangat puas dengan layanan gojek,4,5,sangat_positif,4,2024-10-09 10:22:18,0
Paylater gojek pakai admin trs skrg mah. Dlu mah free admin. Makin lama makin mahal admin nya.,2,2,negatif,1,2025-03-26 03:57:48,0
bagus banget aplikasi nyaa,5,5,sangat_positif,4,2025-09-25 15:07:54,0
ngebug review gofood habis tulis ulasan tombol kirimnya di bawahnya ilang,2,2,negatif,1,2025-08-07 14:10:18,0
"sangat mudah digunakan aplikasinya,mksh",5,5,sangat_positif,4,2025-10-27 18:40:20,0
kadang suka error google map nya,4,4,positif,3,2025-05-14 08:42:59,0
aku hapus gak bisa buat download video tik tok,3,1,sangat_negatif,0,2025-02-20 21:36:21,0
"ongkos nya mahal sekarang, ongkir nya juga klo gofood , ada biaya penanganan segala yang biaya mahal banget",3,3,netral,2,2025-07-17 22:19:44,1
driver Gocar di kota cepu sepertinya tidak mau penumpang...alasannya kejauhan biaya tidak sesuai jarak yg ditempuh..trus bagaimana orang sya dapat diskon..kan bukan sya yg menentukan biaya gocarnya..tolong ditertibkan...hari ini sya ditolak 3 driver gocar gara biayanya cuma 10k..aneh..,3,2,negatif,1,2025-06-30 12:34:25,20
cash sering minta lebih divernya,3,3,netral,2,2025-11-07 23:37:42,1
"heran bgt klo mw d pke selalu lg rame selalu lg rame, gmn sih",1,1,sangat_negatif,0,2025-10-16 18:57:34,1
Update Mulu udh di update bntr bntr update lagii,3,3,netral,2,2025-03-09 15:05:22,0
Gabisa Chat Driver???,3,3,netral,2,2025-04-06 13:09:32,0
tepat waktu aman dan nyaman,5,5,sangat_positif,4,2025-11-15 22:10:31,0
"akhir ini untuk nyari ojek lama banget, bahkan ngga dapet. padahal sinyal bagus",2,2,negatif,1,2025-08-20 06:16:22,5
"Awalnya aman-aman aja, tapi ini suka out sendiri ya, padahal udah di update, aku mau kasih rate, malah keluar-keluar sendiri",3,3,netral,2,2025-10-13 13:00:39,2
udah di perbarui tapi tetep aja menu favoritku selalu ada tulisan aplikasi lagi ramai di pake,1,1,sangat_negatif,0,2025-10-10 13:57:40,1
"mempermudah berpergian,, tapi skrng cari driver nya agak susah ,,",4,4,positif,3,2025-04-13 22:36:16,0
"sudah sering memakai layanan go-pay pinjam, bayar juga nggak pernah telat. gimana ini woi malah limit ku dibekukan! giliran lagi butuh modal usaha besar buat lebaran malah kayak gini.",3,2,negatif,1,2025-03-16 08:38:08,28
sangat sangat membantu,5,5,sangat_positif,4,2025-11-17 19:13:15,0
"Bagus sih tpi minta updateee mluu, dikit dikit update sama aja kaya yg sebelah. Mana gabisa dibuka samsek klo blm di update, hadeeeh klo lagi buru buru jdi susah bangt nih",2,2,negatif,1,2025-07-03 08:22:32,0
"perbaiki lg sistem dan regulasi gofoodnya, hampir 4 jam makanan ga dateng dateng, sampe ganti toko pun tetep sama",1,1,sangat_negatif,0,2025-10-23 21:06:48,1
selalu terbantu dengan aplikasi gojek,5,5,sangat_positif,4,2025-10-29 14:27:54,0
Kesel banget sama driver ² sekarang... Ada orderan sering banget dibatalkan... Perlu di disiplinkan driver kalian. Kalo gk niat dari awal gk usah aktif.,3,3,netral,2,2025-11-15 21:04:16,0
"driver gojek ga ada yg beres, evaluasi lagi mitranya",3,3,netral,2,2025-09-08 02:18:40,1
gopay later sudah 3 bulan masih aja di review yg katanya 7 hari. padahal pembayar selalu awal bulan hingga lunas. malah akun dibekukan,2,2,negatif,1,2025-11-08 21:31:33,1
kalau lagi hujan saat lambat mencari driver kalau dapat driver lokasi nya juga jauh belum juga drivernya mau apa enggak,2,2,negatif,1,2025-10-31 19:31:01,1
paket hilang dan laporan tidak di tanggapi,1,1,sangat_negatif,0,2025-09-25 16:55:31,1
"Saran saya kalau sudah di pesan, makanan bisa cek kembali lokasi yang kita berikan, agar tidak terjadi kesalahan penginputan lokasi.",3,3,netral,2,2024-11-17 14:25:36,1
"SAMA SEKALI TIDAK MEMBANTU MALAH MENAMBAH MASALAH, PESANAN LEBIH DARI 60 MENIT PADAHAL RESTO LAGI SEPI DAN MALAH TERJADI PEMBATALAN SEPIHAK! LALU APA KOMPENSASI YANG DI DAPAT USER YANG SUDAH MENUNGGU LAMA BERHARAP MAKANAN SAMPAI SESUAI ESTIMASI? KALAU GA NIAT KASIH OPSI PENGANTARAN TUH GA USAH DI KASIH, MASYARAKAT MEMPENGARUHI CAPITAL GAIN ANDA",1,2,negatif,1,2025-10-21 18:50:06,1
tidak ada fitur live chat,1,1,sangat_negatif,0,2025-11-08 00:45:21,1
Kenapa saya beli pulsa engga bisa? Emang si saldo ngga kepotong tp kan nyebelin,3,3,netral,2,2025-10-07 09:18:23,0
klu mau bales cat nya gak bisa eror terus tolong di perbaharui dong,2,2,negatif,1,2025-01-18 18:25:00,1
"tiba-tiba terjadi pemesanan sendiri, nyusahin costumer dan driver.",3,3,netral,2,2024-11-06 07:01:43,0
"pesen dari set 8 baru dapet jam 7.57 mana titiknya jauh. lebih mahal dr grab. padahal udah ambil langganan 3 bulann.. nyesel sumpah... promo nya serebu aja lagi itupun harganya masih lebih mahal dr grab grab 12.500, gojek masih 16.500",1,1,sangat_negatif,0,2025-10-21 08:14:27,7
Halo kak.. Pada tanggal 3 Desember Saya merubah nomor hp di akun gojek saya..setelah saya ubah terus tiba tiba yang muncul malah akun baru Dan gopay pinjam saya hilang malah disuruh daftar baru,3,3,netral,2,2024-12-07 10:25:52,0
harga lebaran nyekik banget lebih dari rentenir,3,3,netral,2,2025-04-01 13:12:08,0
"Harga di aplikasi tidak sama yang di argo, karena pakai Bluebird jadinya bayar dengan harga argo bukan aplikasi",1,1,sangat_negatif,0,2025-09-24 19:12:17,1
"gojek sekarang semakin mengecewakan, terutama gofood.. saya udah pesan gofood 2x tapi gagal terus.. sudah menunggu sampai 2jam tapi status pesanan tidak berubah sehingga tercancel otomatis.. bayangin 2jam nahan lapar karna pesan gofood yg ga dateng2.. mohon untuk diperbaiki lagi pelayanannya..",2,2,negatif,1,2024-11-28 21:56:59,0
aplikasi sangat bermanfaat,5,5,sangat_positif,4,2025-10-27 12:17:23,0
"sistem lama, mesen makan cari driver aja lama",3,3,netral,2,2024-11-10 20:12:02,0
"Go pinjam nya sangat mengecewakan masa sudah pelunasan dipercepat dari jadwalnya,pas mau pinjam lagi langsung ditolak benar benar kecewa saya",3,1,sangat_negatif,0,2025-01-23 13:09:10,1
Alhamdulillah sudah bantu,4,5,sangat_positif,4,2025-09-28 20:03:25,0
kasih faham lah ke Mitra GO-SEND nya. sekiranya ga mw d ambil bilang dari awal. ini udah nungguin berjam2 eh malah d cancel sama driver nya.,1,1,sangat_negatif,0,2025-11-09 09:38:12,1
always use it any where,5,5,sangat_positif,4,2025-10-11 17:36:14,0
pinjaman GO-PAY lunasi sebelum jatuh tempo pas pinjam lagi di tolak parah auto delete. bunga besar. orang amanah di kecewain parah,1,1,sangat_negatif,0,2025-11-16 15:50:58,1
Karana kurangnya kinerja dari sini,1,1,sangat_negatif,0,2025-09-22 10:11:53,1
baik ramah n on time,5,5,sangat_positif,4,2025-11-11 22:51:19,0
