text,rating,quality_score,pos_score,neg_score,neu_score,sentiment
pelanggan adalah raja. jadi minta tolong chat privacy pelanggan batal maupun sudah di pickup jgn di sebar. apalagi di share di komunitas. kesannya tidak profesional. lambat banyak yang muak sama pelayanan gojek. bahkan saya sendiri bakal pindah ke aplikasi lain yang pelayanan privacy pelanggan terjamin.,1,100.0,0.0,0.6,0.4,negative
"kecewa. saya minta tolong sama saudara buat pesen gojek. memang di fitur tak ada menu gojek bantu minta tolong saja. sama saudara di pesankan go-ride. singkat cerita di batal sama driver. eh malah bukti chat dengan pelanggan di kirim ke grup komunitas dia. sedang saudara saya tau itu di share di grup. sekarang tidak mau lagi pesankan online pake gojek. tidak mau dia di jelekan seperti itu, secara tak sadar mempermalukan pelanggan . klo seperti ini lambat banyak yang kabur pelanggan.",1,100.0,0.0,0.6666666666666666,0.3333333333333333,negative
"banyak alfamart yang selalu menolak pembayaran via go-pay. alesannya selalu error. sering kali pesen gofood, sudah nunggu lebih dari 2 jam tidak ada kabar, hanya aplikasi bilang bisa dicancel . pantesan harga saham elu cuman 60.",1,100.0,0.0,0.6666666666666666,0.3333333333333333,negative
kecewa tidak padat pasti pengemudi nya tidak bergerak seharusnya untuk aplikasi sebesar gojek tidak seperti itu,1,100.0,0.0,0.3333333333333333,0.6666666666666666,negative
"aplikasi tidak jelas, tiba tiba diblokir",1,100.0,0.0,1.0,0.0,negative
aplikasi transportasi yang amat membantu saya,5,100.0,1.0,0.0,0.0,positive
mohon akun gojekku di perbaiki soalnya hari pulang natal pesan gokar rupanya tidak mau gocarnya suruh batal rupanya terus berjalan dan berjalan sampai terus ganti gantian akun gocar yang masuk padahal kami dah sampai rumah jalan kaki pulangnya .karna dah kelamaan.,3,100.0,0.0,0.75,0.25,negative
"aplikasi sangat membantu, ketemu pengemudi ramah, semangat dan sopan.",5,100.0,1.0,0.0,0.0,positive
pengemudi gocar lu pada noh buruk banget et deh,3,100.0,0.0,1.0,0.0,negative
apaan coba lokasinya tidak dapat digunakan,2,100.0,0.0,0.0,1.0,negative
"saya ingin mengusulkan agar gojek menambahkan opsi pembayaran qris. banyak pengguna yang kesulitan ketika saldo gopay habis, sementara pembayaran non-tunai semakin umum digunakan. qris bisa menjadi solusi praktis karena bersifat universal dan sudah didukung hampir semua banke-wallet. dengan menambahkan qris, gojek bisa meningkatkan kenyamanan pengguna dan memberikan lebih banyak pilihan pembayaran tanpa menghilangkan ekosistem gopay. mohon dipertimbangkan untuk update mendatang.",4,100.0,0.0,0.5,0.5,positive
ongkir dr saya 27rb ke pengemudi 5rb serakah amat jek .,1,100.0,0.0,0.0,1.0,negative
"susah dapet driver, sudah nyoba 7 kali masa tidak dapet",1,100.0,0.0,1.0,0.0,negative
apknya sering tidak jalan kalo lagi pesen gofood. map nya tidak jalan. tiba2 pengemudi nya marah2 karena gatau jalan. aneh banget. dah pindah saja ke shopeefood kalo bgni.,1,100.0,0.0,1.0,0.0,negative
semua nya bagus tapi kalo mesan makanan bisa sampe 1 jam belum datang gara gara tidak ada pengemudi keburu laper,3,100.0,0.0,0.5,0.5,neutral
sangat membantu disaat mager pas perut lapar,5,100.0,0.5,0.0,0.5,positive
kenapa kita ingin beri tip melalui apps tapi menunya terdang tdak bisa di akses,5,100.0,0.0,0.0,1.0,positive
"kalo nyariin pengemudi yang niat kek, nyari saja lambat tapi tidak dapet padahal di sekitar lagi rame pada parkir di mapnya, itu notifikasi ke pengemudi tidak masuk apa gimana?, tolong benerin kalo sudah tar ditambah bintangnya, masih tidak di benerin juga yee buseeng dah, itu mitra lu yang tidak niat mah putus ajaa jadi mitranya",3,100.0,0.0,0.25,0.75,neutral
"tidak da otak lu! pesan makanan, 1 jam pengemudi sulit dapet.mau dibatalin, nunggu dulu! buruk lu harga saja lebih mahal",1,100.0,0.0,1.0,0.0,negative
"kalau sudah hujan pasti lumpuh fungsi ini aplikasi, pesan mobil pun susah",1,100.0,0.0,1.0,0.0,negative
"operator tolol, tiap pesan di kasih pengemudi yang jauh jarak jemput nya,,",1,100.0,0.0,1.0,0.0,negative
buruk banget aplikasi dan pelayanannya!,3,100.0,0.0,1.0,0.0,negative
prose laporan ditindak lanjuti lambat,1,100.0,0.0,1.0,0.0,negative
setiap pesan makanan estimasi ongkos yang 50 menit tpi slalu saja smpe 1 jam setengah slalu saja seperti itu maka nya saya males pakai lagi gojek lebih baik pindah ke aplikasi sebelah yang lebih konsisten sama waktu pengiriman,1,100.0,1.0,0.0,0.0,negative
"saya tidak booking ko jln sendiri, tidak kasih tip kenapa ada riwayat kasih tip bukan saya yang pesan tapi ada pesan kacau nih aplikasi",1,100.0,0.0,0.0,1.0,negative
drivernya pada songong klo lagi pesanan rame. pada tidak mau ambil orderan.,1,100.0,0.0,1.0,0.0,negative
saya kasih bintang 1 untuk aplikasi gojek karena pengemudi gocar nya tidak sesuai sop atas nama pak ismuji dengan plat nomor mobil b 2561.saya tadi pick up dari bekasi trans studio mall dengan nominal di apk 85.500 lalu setelah saya di mobil bapak2 sialan itu bilang suruh di batalkan saya masih bingung kenapa di batalkan dengan alasan pemasukan dia tidak sesuai dapatnya kecil hanya 58 ribu. kami sbg pengguna terpotong 85.500. kami tidak tau menau hal yang dia dapatkan.akhirnya saya mengikuti saja,1,100.0,0.0,0.6,0.4,negative
makasi ya gojek.aku terharu masi bisa kirim gofood untuk anakku padahal posisi aku lagi beda kota.gojek terdepan pokonyan,5,100.0,0.0,0.0,1.0,positive
"gojek yang terhormat, mengapa saat pesan pengemudi dipersulit dengan harga yang naik secara tidak masuk akal? dan ya. lokasi dekat area malang tapi motor tidak ada yang nyangkut bisa tidak sih kerja lebih baik lagi ni aplikasi? harga juga jan kek roller coaster duh kalo pas hujan",1,100.0,0.0,0.25,0.75,negative
gojek sekarang kenapa ya saya pesen makan selalu lambat tidak dapet pengemudi terus. saya sudah nunggu 1 jam tetep tidak dapet pengemudi mohon lebih baik lagi kedepan nya.,1,100.0,0.0,0.4,0.6,negative
"aplikasi ojol tidak bisa di andelin, lagi ujan tidak ada yang mau nerima tolol sudah pada kayak kali ya ojol",1,100.0,0.0,0.5,0.5,negative
"aplikasi jelek,ujan dikit susah dapet pengemudi",1,100.0,0.0,1.0,0.0,negative
"dah ah lambat banget, tiap hari pasti batal 2x tuh pesenan tidak gojek tidak gofood, ujan sudah berenti masi ae kaga ada driver. nih kalo malam nunggu sejam, udeh batal pasti, mesen lagi nunggu sejam lagi, batal lagi, besok nih makannya gua. kek bukan solusi nih aplikasi. nih kalo mau mesen makan mending shopee food kali ye",1,100.0,0.0,1.0,0.0,negative
dapet pengemudi saja lambat banget,1,100.0,0.0,1.0,0.0,negative
nunggu deliv lambat sampe 1 jam,1,100.0,0.0,1.0,0.0,negative
buruk susah dapet pengemudi,1,70.0,0.0,1.0,0.0,negative
kalau hujan tidak ada pengemudi yang mau ngambil pada jual mahal,3,100.0,0.0,0.0,1.0,neutral
"susah dapat pengemudi untuk pesan gofood , sudah lambat dapat pengemudi estimasi telatnya hampir 1 jam tidak sesuai estimasi kecewa mohon service nya perbaiki , terus sudah chat cs tidak membantu sama sekali mohon perbaiki sistem nya terima kasih",1,100.0,0.0,0.75,0.25,negative
"dekat dengan jalan raya tapi sangat susah cari pengemudi nya ,sangat buruk",1,100.0,0.0,1.0,0.0,negative
"hujan susah banget dapetnya padahal di aplikasi banyak pengemudi nya entah pengemudi nya entah aplikasi nya bapuk yang tidak respon penawaran banyaklah lagi rame lah, di gedein saja argonya masa tidak ad yang ambil",1,100.0,0.0,1.0,0.0,negative
iklan mengganggu proses pemesanan,5,60.0,0.0,0.0,1.0,positive
greb klo hujan mahal banget harga nya.kaya harga pulang kampung,1,100.0,0.0,0.0,1.0,negative
pesan gocar harga di awal oke tapi setelah jalan berapa menit pengemudi merubah rute dan tarif berubah jadi lewat tol yang tarif tolnya yang mahal .sy tidak mau debat turutin saja maunya pengemudi alhasil nambah ongkosnya 70 rb an .abis itu uninstall aplikasi tidak mau lagi pake gocar,1,100.0,0.0,0.6666666666666666,0.3333333333333333,negative
"paylater ku di blokir katanya ada pengecekan rutin,,padahal bayar tidak pernah telat dan tidak pernah di pake aneh2.tolong lah jangan di blokir kaya gini jadi males njjir",1,100.0,0.0,0.0,1.0,negative
"vipgo utk food kebanyakan syarat,jgn dibeli rugi 20k",1,100.0,0.0,0.0,1.0,negative
min kan saya nunggu gojek nya dateng pas tinggal 1 menit mau nyampe tiba tiba ngestack sampe sekitar 30 menit saya tunggu tiba tiba mulai lagi ke tujuh menit mulai dari ulang,1,100.0,0.0,0.0,1.0,negative
sulit gofood nya tidak sesuai estimasi malah sampe dua jam nunggu dan gahasil trus gabisa di batal pula,1,100.0,0.0,0.0,1.0,negative
bagus aplikasi yang berani tanggung jawab atas kesalahan sengaja maupun tidak,5,100.0,0.0,1.0,0.0,positive
sat set bagus,5,40.0,1.0,0.0,0.0,positive
susah cari pengemudinya,1,70.0,0.0,1.0,0.0,negative
resfon yang baik,5,40.0,1.0,0.0,0.0,positive
membatu saya yang tidak bisa naik motor sendiri dan selalu ada promosi,5,100.0,0.0,0.3333333333333333,0.6666666666666666,positive
kaya kenapa sih kalau hujan tuh susah banget dapet pengemudi untuk gojek atau gofood. males hujan atau bagaimana sih. chat cs juga tidak ada jalan keluarnya. bukannya membantu malah bikin repot.,1,100.0,0.0,0.4,0.6,negative
bagus min!tapi saran saya update jangan kebanyakan update mimiin janagn update terus wkrjfbajw,5,100.0,0.0,1.0,0.0,positive
"saya tidak sengaja pesan, dan sudah sempat tekan pembatalan, namun pesanan tetap berlanjut, dan pembatalan tidak bisa dilakukan, padahal saya sudah meminta bantuan chat consumer, namun sama sekali tidak bisa membantu",1,100.0,0.0,0.5,0.5,negative
"tarif mahal, pengemudi sering mengambil pesanan tapi tidak dapat dihubungi, sehingga merugikan penumpang yang sudah terlanjur menunggu.",1,100.0,0.0,0.0,1.0,negative
"nunggunya lambat bngt ngecewain, padahal buru, galagi deh make gojek, hadeuhh, ibu saya jadi jalan kaki kan ke st",1,100.0,0.0,1.0,0.0,negative
"setiap hujan dan buru buru pasti drivernya pada lambat habistu harganya mahal pula, saya tidak rekomen kalian buat download apk ini",1,100.0,0.0,1.0,0.0,negative
"pesan gosend instan lamanya setengah modar, seharian pesan tidak dapet2, padahal banyak pengemudi pada ngeluh pesanan sepi, banyak potongan. ada apa dengan gojek?",1,100.0,0.0,0.5,0.5,negative
aplikasi eror .saldo minus ngambil dari gojek deposit 2 kali tapi masih ada minusnya,3,100.0,0.0,0.0,1.0,neutral
program beta sudah penuh sayang.,5,100.0,0.0,0.0,1.0,positive
"minimal bisa ada pengaduan sama cs sudah mah sering salah alamat, telat mulu aplikasi tidak guna. mending tidak usah ada fitur pengaduan klo tidak berfungsi lol",1,100.0,0.0,0.5,0.5,negative
"aplikasi gajelas wkwkwk, muter mulu ada 10 menit. giliran di restart mau coba pesen ulang, loading lagi 10 menit. tiba tiba ada notif pengemudi dijalan sampe 3 orang, hadeh aneh aplikasinya lucu wkwkw. jadinya gua dah yang nanggung duit nya, padahal kesalahan elu wkwk",1,100.0,0.0,1.0,0.0,negative
"kenapa ya kalo di aplikasi ini ada komplain langsung di respon cs, tapi kalo di aplikasi gojek pengemudi tidak ada respon? padahal pengemudi jg rugi bensin waktu dengan operasi sistem gojek yang sekarang sering tidak masuk akal. ditambah dulu pernah iklan go food saja yang muncul trus tiba bisa mesen makanan sendiri mana tidak bisa dibatalkan. tidak improve quality apps nya",1,100.0,0.0,0.3333333333333333,0.6666666666666666,negative
tidak bisa batalin pesanan,1,60.0,0.0,0.3333333333333333,0.6666666666666666,negative
"tolong ya aplikasi diperbaiki, untuk go food waktu tiba tidak berkurang padahal sudah prioritas trs maps nya tidak muncul di halaman pemesanan. customer service pada aplikasi tidak jelas dan tidak membantu",1,100.0,0.0,0.8,0.2,negative
"tolong developer,buat gofood yang driverny suka lama2in kl mknn sudah jadi,di ksh sangsi aj.kl pesanan food kan seringny pengemudi mangkal,kdg lagi ngopimain ludo nanggung,orderan sudah jd,testo sudah manggil,g di ambil2,sering nemuin kejadian gtu di holly tebet. ksihan pengemudi food lain yang bener.",5,100.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,positive
"aplikasi jelek. baru juga batal sekali, sudah ada peringatan kebanyakan mencet tombol,, org hp gua kaga ada tombol nya bgimana ini ? gua batal karena tidak dpt dpt, bukan nyepam, tolol !",1,100.0,0.0,0.6666666666666666,0.3333333333333333,negative
kecewa banget pesen tidak food lambat lambat kukira bisa jadi solusi cepat buat pesen makanan sampek nunggu waktu 1 jam .giliran nunggu lambat malah tidak dateng dateng,1,100.0,0.0,0.75,0.25,negative
"kalo emg gaada driverr, kasih pilihan buat batalin dong kenapa harus diperluas cari pengemudi yang ada waktu hampir sejaman nunggu in dpt driver. ngadu ke cs yang ada malah gaada pilihan ttg lamanya dpt pengemudi mending kasih saja pilihan buat batalin makan orang kalo kek gini bukan makan pesenan di gofood percuma ada bantuan cs tapi tidak membantu sama sekali. tolong ditingkatkan kalo terus terusan seperti ini yaa siap siap saja bakal sepi nih aplikasi buruk",1,100.0,0.0,0.5,0.5,negative
lambat sekali untuk menunggu pesanan,1,100.0,0.0,1.0,0.0,negative
terlalu lambat mendapatkan pengemudi jadi saran saya perbanyak yang mau ngambil pesanan customer jngan perbanyak pengemudi nya,1,100.0,0.0,0.5,0.5,negative
"ada no telp ke admin langsung tidak ya , agar saya bisa mendapat penjelasan langsung dan informasi utk case saya ini , dimana saldo sudah terpotong , dengan kondisi saya belum diangkut, ada pesan bahwa sudah sampai tujuan walaupun saya belum diangkut, dan waktu nya pun tidak masuk akal kalau sudah sampai . sampai hr ini setelah minta bantuan ke csr, saldo tsb belum kembali ke saya tapi sudah ada permintaan bintang dari csr bahwa case sudah selesai ,mohon ditanggapi ,terima kasih",2,100.0,0.0,0.25,0.75,negative
cepet dan hemat murah banget,5,100.0,1.0,0.0,0.0,positive
bermanfaat banget sih buat aku yang susah jemput saat sekolah,5,100.0,0.0,1.0,0.0,positive
"permisi ini aplikasinya sudah bagus, tetapi masih ada kekurangannya yaitu bagian metode pembayarannya masih belum lengkap kayak pembayaran via dana maupun transfer yang ada cuma pakai kartu atm. jadi tolong tambahin metode pembayarannya",4,100.0,0.0,0.5,0.5,positive
gopaylater by mab tidak sesuai ketentuan,1,100.0,0.0,0.0,1.0,negative
buruk ini layana instan carr di tokopedia 2 hari tidak ada yang pickup,1,100.0,0.0,1.0,0.0,negative
"mau batal gofood ko gabisa,katanya ada bantuan. tapi dimintain bantuin malah gabisa,hoaxx kecewa sama gofood",1,100.0,0.0,0.6666666666666666,0.3333333333333333,negative
semakin baik kedepannya gojek. mensejahterakan drivernya,1,100.0,1.0,0.0,0.0,negative
"buat pengguna menengah kebawah, banyakin promosi nya atmin",4,100.0,0.0,0.0,1.0,positive
sangat membantu untuk pergi kemana,5,100.0,1.0,0.0,0.0,positive
"baik dan menyenangkan, kondisi kendaraan bersih dan rapi",5,100.0,1.0,0.0,0.0,positive
senang sekali pakai aplikasi ini jadi mudah kmna2,5,100.0,1.0,0.0,0.0,positive
"saya ko aneh sama gojek. kemarin malam saya pesan ke tempat yang sama pake 2 aplikasi dan 2 hp. tapi ko harganya beda. yang aplikasi 1 rp 700, yang aplikasi ke 2 rp 22.00. yang punya saya ko mahal. membagongkan",1,100.0,0.0,0.0,1.0,negative
"susah dapet pengemudi padahal dr maps nya jarak gaterlalu jauh ,",3,100.0,0.0,1.0,0.0,negative
gojek makin ok. terus tingkatin pelayanannya dan perbanyak promonya ya,5,100.0,0.0,0.0,1.0,positive
baik tepat waktu sangat konsisten di jalan.,5,100.0,1.0,0.0,0.0,positive
"jujur saja saya sangat kecewa dengan aplikasi ini, selain driverna pilihlokasi, selalu batalain seenaknya padahal saya sudah nunggulama tibadibatalin gt aja, komen seenaknya yang tidak berdasar, dan kebanyakan tidak bisa baca maps sudah salah malah balik marah kan heran pengemudi skrng. tolong perbaiki lagi demi kenyamanan pelanggan",1,100.0,0.0,0.7,0.3,negative
senang dan gampang cari lokasinya,5,100.0,1.0,0.0,0.0,positive
gojek baik dan ramah,5,70.0,1.0,0.0,0.0,positive
"pengemudi nya ada beberapa yang sikap nya kurang sopan, dia yang salah tapi kita yang kena marah padahal kita juga bayar bukan minta dianterin secara cuma cuma, mungkin lebih diperhatikan lagi untuk pengemudi nya, thanks.",1,100.0,0.0,0.5,0.5,negative
sangat bagus danpuas banget,5,70.0,1.0,0.0,0.0,positive
"saya nungguin nyari pengemudi buat makanan sejam lebih saya nunggu kaga dapet sialan banget,mana kaga ada pilihan batakal heran bat gw, gedeg saya tau tidak",1,100.0,0.0,1.0,0.0,negative
"aplikasi bug, terhadap gopay pinjaman tidak ada metode pembayaran dan tidak ada metode melihat cicilan yang sudah lunas maupun berjalan. mohon perbaiki sistem bug nya secepatnya. karena sangat merugikan konsumen. update versi terbaru malah bikin ribet. balikin ke sistem yang lambat saja",1,100.0,0.0,0.8,0.2,negative
saya tidak bisa meprbarui gojek,5,100.0,0.0,0.3333333333333333,0.6666666666666666,positive
"saya tanya soal gopay coins in app malah kena blokir. kacau. jangan kayak si biru, dono, dong. semena2 tolong buat daftar toko yang bisa menerima go coins masa belanja di minimarket tidak bisa pickup sendiri.",1,100.0,0.0,0.25,0.75,negative
sangat membantu untuk bepergian,5,70.0,1.0,0.0,0.0,positive
senang bisa update lagi.,5,60.0,0.5,0.0,0.5,positive
"lokasi titik selalu beda jauh, jadi kasian sama drivernya",1,100.0,0.0,0.0,1.0,negative
bisa pesan pesan sendiri kenapa yaa padahal tidak pesan gojek kan bikin heran jauh lokasinya lagii,4,100.0,0.0,0.0,1.0,positive
pay later nya tagihan 35an ribu telat sehari denda 50 rb.,5,100.0,0.0,0.0,1.0,positive
sekarang pesan gofood lambat keburu mesan orang mati,1,100.0,0.0,1.0,0.0,negative
sangat memuaskan pengemudi gojeknya dan gosendnya,5,100.0,1.0,0.0,0.0,positive
mantap.maju terus gojek.karya anak bangsa,1,100.0,1.0,0.0,0.0,negative
adaian fitur batalin pesanan dong untuk goofod jadi kalo tidak dapet2 pengemudi bisa di batal,3,100.0,0.0,0.0,1.0,neutral
"kebanyakan pengemudi tidak ramah, marah2 gajelas, main hp saat berkendara, ngebut",2,100.0,0.0,1.0,0.0,negative
buruk banget layanan gofood sekarang. setiap pesan makanan pasti butuh waktu 1 jam lebih.,1,100.0,0.0,1.0,0.0,negative
mudah updatenya dan sukses yaa terima kasih,5,100.0,1.0,0.0,0.0,positive
"dengan layanan go saya sangat terbantu, namun tolong ditingkatkan komunikasi driver, jika tidak bersedia untuk menjemput jangan hanya diam tidak sms atau jarak map tidak jalan, dan tiba-tiba cancel.",4,100.0,0.0,0.5,0.5,positive
"saya pemakai gocar di stasiun pasarturi. awal pesan seperti di paksa paksa tempatnya jauh dari nyaman,, cenderung seperti taxi gelap karena pengemudi tidak berpakaian sebagai mana mestinya,, juga kayak suka nggodain penumpang,, kayak kurang bikin nyaman saja. sepeti tidak niat bikin tenda gojek",1,100.0,0.0,1.0,0.0,negative
sudah bagus up tapi tidak bisa di pilih metode pembayaran gopay nya,1,100.0,0.0,0.5,0.5,negative
"aplikasi harga setiap keluar menu walaupun tujuan nya sama tapi harga nya naik terus buruk tidak jujur aplikasinya, harga seenak nya sendiri. aplikasi yang bisa menjebak pemakai.",1,100.0,0.0,0.6666666666666666,0.3333333333333333,negative
"susah banget dpt pengemudi belakangan ini, mungkin sudah pada bosen kali ya jadi pengemudi",2,100.0,0.0,0.5,0.5,negative
"update kali ini jadi minus, yang jadi minus nya itu pengemudi tracking ny mlh ilang, jadi kita gatau pengemudi ada dimna",2,100.0,0.0,0.0,1.0,negative
kesall. sudah berapa kali tiap. pesan gofood selalu lambat mendapatkan driver. masa ya stengah jam lebih.,4,100.0,0.0,0.6666666666666666,0.3333333333333333,positive
"sekarang estimasi aplikasi tidak akurat, perjalanan 3 menit tapi ditunggu 30 menit tidak sampai2, chat pengemudi katanya ada double order. tambah kecewa dengan pelayanan sekarang",1,100.0,0.0,1.0,0.0,negative
pakai aplikasi lah lambat tapi tidak ada yang mau ambil,1,100.0,0.0,1.0,0.0,negative
banyak pengemudi seenaknya mengcancel order. kita dibuat menunggu sampai gonta ganti pengemudi lebih dari 5x sampai timeout. edan kerja kenapa milih.,2,100.0,0.25,0.25,0.5,negative
oi tolong lah . ini kenapa tidak bisa bisa veritif face nya gagal terus loh,1,100.0,0.0,0.16666666666666666,0.8333333333333334,negative
"pengemudi lu pada kocak, klo apa2 demo tapi kualitas dirinya nga dibenerin.",1,100.0,0.0,0.0,1.0,negative
2 kata sigap cepat,5,40.0,1.0,0.0,0.0,positive
"aelalau tepat baik , cepat . bisa menjaga barang yang d kirim nya dengan baik aman sampai tujuan sesuai harapan.",5,100.0,0.5,0.0,0.5,positive
mudah saat bagus up,5,40.0,1.0,0.0,0.0,positive
"fitur lengkap, sangat bermanfaat dan membantu sekalu",5,100.0,1.0,0.0,0.0,positive
helpfull banget dan tidak perlu ribet,5,100.0,0.0,1.0,0.0,positive
"paling males tuh kalau lagi hujan sinyal nya jelek, alhasil radar dari si pengemudi di aplikasi jadi tidak sinkron sama letak posisi drivernya",1,100.0,0.0,1.0,0.0,negative
"untuk gocar, gofood, gojek, gotrainnya oke bagus cepet juga cara kerjanya, tapi untuk gopay pinjamnya selalu gagal dalam pengajuan",1,100.0,0.6666666666666666,0.0,0.3333333333333333,negative
bagus untuk pergi pergi,5,70.0,1.0,0.0,0.0,positive
ok ok saja semuanya.,5,60.0,0.0,0.0,1.0,positive
"tidak jelas , di bekukan tanpa sepihak",1,100.0,0.0,1.0,0.0,negative
paling nyaman harga hemat,5,70.0,1.0,0.0,0.0,positive
"aplikasinya sudah bagus meski terkadang ada bug di mana lokasi kita berdiri beda dengan yang di aplikasi. ketika aplikasi lagi di kami lagi cari pengemudi dan tidak ketemu, mungkin sebaiknya tambahkan tombol untuk batal di sana. karena walau sudah keluar apk, ternyata pesanan masih diproses padahal pelanggan sudah tidak mau lagi naik gojek. juga, kadang titik jemput suka auto correct padahal sudah diperbaiki berulang kali, terimakasih",1,100.0,0.0,0.625,0.375,negative
"pertama kali make langsung double order, padahal selama saya pake yang sebelah tidak pernah gitu, trus drivwrnya ngambil yang jauh trus padahal ada pangkalan ojek disekitar tempat saya. tolong serverny di perbaiki.",3,100.0,0.0,0.6666666666666666,0.3333333333333333,negative
telpon nya kadang tidak bisa,3,100.0,0.0,0.25,0.75,neutral
kasian pengemudi yang tidak ikut slots akunnya anyep.,1,100.0,0.0,0.0,1.0,negative
seringkali pengemudi tidak mau batal pesan tapi tidak bergerak membiarkan pesan sampai tercancel otomatis. ini sangat merugikan costumer dalam segi waktu tolong ditindak untuk pengemudi modelan begini yang tidak sportif,3,100.0,0.0,0.6666666666666666,0.3333333333333333,negative
pelayanannya sudah kembali maksimal,5,60.0,0.0,0.0,1.0,positive
thanks for all,5,40.0,1.0,0.0,0.0,positive
"terimakasih gojek complain saya di tangani dan di proses dengan cepat, semoga gojek semakin sukses",5,100.0,1.0,0.0,0.0,positive
"mohon diperbaiki, saya nunggu lambat pesan goride hemat karena di aplikasi proses loading cari drivernya lama, setelah saya ubah ke goride reguler dan dapat pengemudi ternyata saat loading di goride hemat drivernya sudah ada dan sedang diperjalanan, ini bagaimana tolong diperbaiki.",4,100.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,positive
saya itu pesen goride comfort. bisa-bisanya kamu kasih motor listrik. smooth. saya benar-benar tidak suka,2,100.0,0.0,0.5,0.5,negative
"kalau saat pesan gofood tetapi pengemudi tidak tersedia atau sulit dpt driver, harus ny customer bs langsung batal orderan, tapi ini customer d paksa nungguin pengemudi n setelah lbh kurang 1jam dulu baru bs d batal pesanan ny, tlng perbaiki la sistem nya, biar customer tidak rugi d wkt cm buat nunggu.",1,100.0,0.0,1.0,0.0,negative
