content,content_clean,score,sentiment
"BANYAK YANG GA RAMAH PLS, AKU KALAU PAKE HELM PUSING TAOI KENAPA MAKSA TERUS BILANG 'kalau kena denda jenengan nggeh seng bayar' MIKIR KOCAK KALAU AKU PINGSAN MAU TANGGUNG JAWAB??","banyak yang ga ramah pls, aku kalau pake helm pusing taoi kenapa maksa terus bilang 'kalau kena denda jenengan nggeh seng bayar' mikir kocak kalau aku pingsan mau tanggung jawab??",2,negative
gofoodnya menyebalkan.. sudah pesan sudah bayar pakai gopay nunggu sampai lama gk dapat driver tapi gk bisa dibatalin.. bisa dibatalin harus nunggu 1 jam.. dah lapar.. mau beli sendiri takutnya dobel dapat driver diujung2..,gofoodnya menyebalkan.. sudah pesan sudah bayar pakai gopay nunggu sampai lama gk dapat driver tapi gk bisa dibatalin.. bisa dibatalin harus nunggu 1 jam.. dah lapar.. mau beli sendiri takutnya dobel dapat driver diujung2..,2,negative
terimakaih banyak sudah membantu mengantar saya pulang ke rumah🙏🥰,terimakaih banyak sudah membantu mengantar saya pulang ke rumah🙏🥰,5,positive
lawak fitur plus untuk gofood tadinya min 30rb skrg naik 40rb,lawak fitur plus untuk gofood tadinya min 30rb skrg naik 40rb,1,negative
"tolong, adain fitur ga ngomong sama driver car 😭 ngga papa ada biaya tambahan, ngga semua orang mau denger ocehan driver (apalagi ngeluh masalah bbm klo jauh, kita semua tau bbm mahal, ngeluhnya sama pemerintah aja plis) -dari user rating 3,6 LOL","tolong, adain fitur ga ngomong sama driver car 😭 ngga papa ada biaya tambahan, ngga semua orang mau denger ocehan driver (apalagi ngeluh masalah bbm klo jauh, kita semua tau bbm mahal, ngeluhnya sama pemerintah aja plis) -dari user rating 3,6 lol",4,positive
"Gak suka banget ada fitur easy tap itu. Kepencet sekali gak ketahuan jadi gabisa dibatalin, mana vouchernya gabisa kepake, jadinya rugiii. Ilangin aja fitur itu, atau gk perbaikin jadi auto kepake voucher","gak suka banget ada fitur easy tap itu. kepencet sekali gak ketahuan jadi gabisa dibatalin, mana vouchernya gabisa kepake, jadinya rugiii. ilangin aja fitur itu, atau gk perbaikin jadi auto kepake voucher",1,negative
On time & hemat,on time & hemat,4,positive
saya ada barang ketinggalan boleh tolong bantu hubungi driver nyaaa,saya ada barang ketinggalan boleh tolong bantu hubungi driver nyaaa,5,positive
"Kok sekarang kendala terus ya, saya nyari driver gk dapet², sampe² harus ke aplikasi sebelah baru bisa pake ojol","kok sekarang kendala terus ya, saya nyari driver gk dapet², sampe² harus ke aplikasi sebelah baru bisa pake ojol",2,negative
driver sangat tidak ramah!!! saat hujan selalu harus nunggu sangat lama. setengah jam lebih enggak dapet dapet.,driver sangat tidak ramah!!! saat hujan selalu harus nunggu sangat lama. setengah jam lebih enggak dapet dapet.,1,negative
Aplikasi terpercaya utk saat ini. Banyakin lgi diskon ny donkkk.. Mksi,aplikasi terpercaya utk saat ini. banyakin lgi diskon ny donkkk.. mksi,4,positive
kenapa kalau hujan tidak ada driver yang mau jemput? takut jadi mermaid semua ya? 😔,kenapa kalau hujan tidak ada driver yang mau jemput? takut jadi mermaid semua ya? 😔,1,negative
baik sekali,baik sekali,5,positive
Aflikasi ini sangan bagus,aflikasi ini sangan bagus,5,positive
semoga semakin berkembang dan sukses,semoga semakin berkembang dan sukses,4,positive
Sekarang kenapa susah sekali mendapatkan driver untuk pemesanan gofood?? (Wilayah Ternate). Tolong di pantau ketersediaan anggota d wilayah tersebut.,sekarang kenapa susah sekali mendapatkan driver untuk pemesanan gofood?? (wilayah ternate). tolong di pantau ketersediaan anggota d wilayah tersebut.,2,negative
"kalau bisa sistem seperti lagi,makin tinggivversi nya makin gak jelas dan akun semakin gagu.","kalau bisa sistem seperti lagi,makin tinggivversi nya makin gak jelas dan akun semakin gagu.",1,negative
Trimakasih bnyak gojek slalu aman dan nyaman,trimakasih bnyak gojek slalu aman dan nyaman,5,positive
sangat membantu,sangat membantu,4,positive
sopir sangat ramah.dan cara mengemudikanya sangat nyaman bgt,sopir sangat ramah.dan cara mengemudikanya sangat nyaman bgt,4,positive
pelayanan cepat,pelayanan cepat,5,positive
aplikasi yg sangat berguna,aplikasi yg sangat berguna,5,positive
kenapa eror trus si setiap mau buka aneh,kenapa eror trus si setiap mau buka aneh,2,negative
"aplikasi ok,,tp cara kerja gopay pinjam yg bermasalah saya di tolak terus...padahal saya udh 3 tahun pakai aplikasi gopay,,, tp tetap juga di tolak.padahal bkan bnyak pinjam,","aplikasi ok,,tp cara kerja gopay pinjam yg bermasalah saya di tolak terus...padahal saya udh 3 tahun pakai aplikasi gopay,,, tp tetap juga di tolak.padahal bkan bnyak pinjam,",2,negative
sangat membantu sekali,sangat membantu sekali,5,positive
"banyak driver bermasalah, emosian dan sering tidak sopan. pembayaran yg mahal dibanding apk lain. saya pakai gojek sudah dua tahun lebih tapi masih banyak driver yg begitu. tadi pagi saya disamperin dan di marah""in karna cancel orderan padahal memang misskom. apk buruk","banyak driver bermasalah, emosian dan sering tidak sopan. pembayaran yg mahal dibanding apk lain. saya pakai gojek sudah dua tahun lebih tapi masih banyak driver yg begitu. tadi pagi saya disamperin dan di marah""in karna cancel orderan padahal memang misskom. apk buruk",1,negative
Kapan Bandung ada gobox van,kapan bandung ada gobox van,2,negative
gimana caranya ganti rating di gojek?,gimana caranya ganti rating di gojek?,5,positive
"belakangan ini tiap kali pesen gofood selalu driver nya minta ongkos parkir, padahal di perinciannya di biaya lain udah jls ada biaya ongkos parkirnya","belakangan ini tiap kali pesen gofood selalu driver nya minta ongkos parkir, padahal di perinciannya di biaya lain udah jls ada biaya ongkos parkirnya",2,negative
selalu cepat mendapat driver.. driver2nya ramah.. harga terjangkau walaupun cari driver tengah malam..,selalu cepat mendapat driver.. driver2nya ramah.. harga terjangkau walaupun cari driver tengah malam..,5,positive
selalu nyaman pakai gojek,selalu nyaman pakai gojek,5,positive
"baru tau kalau ad rating buat penumpang, eh gojek Lo tau ga, gua tuh ga prnh ngasih rating jelek kalau penumpang ga sesuai mau gua, kalau pun ada itu cuma 1 /2 yg udh keterlaluan bgt, kalau sedikit ga benernya gua lebih baik ga kasih rating dripda kasih rating jelek, ini mitra Lo malah seenak jidat kasih rating penumpang, smntra gua sengaja' ga kasih rating supaya gua ga bikin tuh driver jelek ratingnya, bayangin aja naik ojek tuh driver bbrpa kali rem mendadak krna hampir ketabrak kontainer..","baru tau kalau ad rating buat penumpang, eh gojek lo tau ga, gua tuh ga prnh ngasih rating jelek kalau penumpang ga sesuai mau gua, kalau pun ada itu cuma 1 /2 yg udh keterlaluan bgt, kalau sedikit ga benernya gua lebih baik ga kasih rating dripda kasih rating jelek, ini mitra lo malah seenak jidat kasih rating penumpang, smntra gua sengaja' ga kasih rating supaya gua ga bikin tuh driver jelek ratingnya, bayangin aja naik ojek tuh driver bbrpa kali rem mendadak krna hampir ketabrak kontainer..",2,negative
Sangat membantu mempermudah apa yg butuhkan,sangat membantu mempermudah apa yg butuhkan,4,positive
"sering error. Padahal driver sudah di lokasi, malah dibilang masih perjalanan. Aneh banget","sering error. padahal driver sudah di lokasi, malah dibilang masih perjalanan. aneh banget",2,negative
"Driver ojolnya terlalu sombong dan tidak beretika sopan santun ,, meski tidak semua tapi ojol dari daerah timuran menyebalkan sikapnya dan itu membuat tidak nyaman dan risih . Tolong driver ojolnya rada ramah dikit Napa??","driver ojolnya terlalu sombong dan tidak beretika sopan santun ,, meski tidak semua tapi ojol dari daerah timuran menyebalkan sikapnya dan itu membuat tidak nyaman dan risih . tolong driver ojolnya rada ramah dikit napa??",2,negative
"sistem kacau, order go ride sempet batalin driver nya malah 2 2 nya dateng jadi harus bayar double, titik sering ga sesuai, rugi teruz","sistem kacau, order go ride sempet batalin driver nya malah 2 2 nya dateng jadi harus bayar double, titik sering ga sesuai, rugi teruz",2,negative
walopun hujan cepet dpt drivernya,walopun hujan cepet dpt drivernya,5,positive
dari jaman kuliah sampe kerja selalu pake gojek,dari jaman kuliah sampe kerja selalu pake gojek,4,positive
"Kalo cri driver lama,,, Mau g mau nunggu . D batalin juga gabisa","kalo cri driver lama,,, mau g mau nunggu . d batalin juga gabisa",2,negative
bgus harga bersahabat,bgus harga bersahabat,4,positive
"bagi, dan dapat membantu","bagi, dan dapat membantu",5,positive
sangat membantu,sangat membantu,4,positive
Kenapa yah setiap saya pesan grabcar selalu drivernya berganti ganti terus padahal saya sudah tunggu hingga 30 menit dan driver tidak merespon saat saya tanya posisi untuk memastikan GPS saya error atau tidaknya.,kenapa yah setiap saya pesan grabcar selalu drivernya berganti ganti terus padahal saya sudah tunggu hingga 30 menit dan driver tidak merespon saat saya tanya posisi untuk memastikan gps saya error atau tidaknya.,4,positive
- kebanyakan update aplikasi sistem 🙏🙏🙏,- kebanyakan update aplikasi sistem 🙏🙏🙏,1,negative
"sekarang kok lebih mahal yaa, harga makanan 19000 biaya layanan bisa 20000😊","sekarang kok lebih mahal yaa, harga makanan 19000 biaya layanan bisa 20000😊",2,negative
"pilih layanan goride paling hemat, tapi pas di klik harganya naik.ini gimana maksudnya pak nadiem ,,,menjebak sekali aplikasi anda🤨","pilih layanan goride paling hemat, tapi pas di klik harganya naik.ini gimana maksudnya pak nadiem ,,,menjebak sekali aplikasi anda🤨",1,negative
bnyak diskonnya di gojek,bnyak diskonnya di gojek,4,positive
barusan sy top up 50rb dr mbnking Krn urgent ehhh saldo udh terpotong tp knp ga ada masuk ke akun gopay nya... 50rb kecil aja kesel apalagi gede... ihhh nyesel da top up,barusan sy top up 50rb dr mbnking krn urgent ehhh saldo udh terpotong tp knp ga ada masuk ke akun gopay nya... 50rb kecil aja kesel apalagi gede... ihhh nyesel da top up,1,negative
"hilangkan fitur pinjamannya, maka ini akan menjadi aplikasi terbaik di Indonesia bahkan di seluruh dunia","hilangkan fitur pinjamannya, maka ini akan menjadi aplikasi terbaik di indonesia bahkan di seluruh dunia",4,positive
"Tolong diperluas lagi jangkauan area nya.. biar makin setia pakai gojek. Masa g**b aja sampai, ini produk indo kok ga support","tolong diperluas lagi jangkauan area nya.. biar makin setia pakai gojek. masa g**b aja sampai, ini produk indo kok ga support",4,positive
bagus... sangat membantu,bagus... sangat membantu,4,positive
"parah gojek sekarang dan grab,sma aja setiap naik Gocar/grabcar Selalu nolak penumpang yg bawa anak kecil,tolong kalau perlu di tegur lagi driver nya gk mau kotor jng di driver😡😡","parah gojek sekarang dan grab,sma aja setiap naik gocar/grabcar selalu nolak penumpang yg bawa anak kecil,tolong kalau perlu di tegur lagi driver nya gk mau kotor jng di driver😡😡",2,negative
mantap Sangat membantu,mantap sangat membantu,5,positive
jauh banget,jauh banget,1,negative
Pelayanan sistem bagus dan cepat respon nya tetapi terkadang dari aplikasi sendiri ada error,pelayanan sistem bagus dan cepat respon nya tetapi terkadang dari aplikasi sendiri ada error,4,positive
buat kyc susah bngt mana udah topup banyak lagi,buat kyc susah bngt mana udah topup banyak lagi,1,negative
"Iya karena di luar sana masih banyak yang cuma memiliki android di bawah yang di rekomendasikan termasuk saya jadi tolong biar kita semua juga bisa mengakses aplikasi gojek lewat gojek lite kak, terimakasih","iya karena di luar sana masih banyak yang cuma memiliki android di bawah yang di rekomendasikan termasuk saya jadi tolong biar kita semua juga bisa mengakses aplikasi gojek lewat gojek lite kak, terimakasih",4,positive
pliss gojek adain metode pembayaran qrisnya😩,pliss gojek adain metode pembayaran qrisnya😩,5,positive
good aplikasi,good aplikasi,5,positive
nggak bisa pesan di toko lain atau di cabang lain,nggak bisa pesan di toko lain atau di cabang lain,2,negative
Sangat membantu,sangat membantu,4,positive
kenapa kalo gofood lama terus gak gercep yaa,kenapa kalo gofood lama terus gak gercep yaa,5,positive
Alamat saya malah hilang aneh,alamat saya malah hilang aneh,2,negative
"saya sangat kecewa sekali dengan pelayanan aplikasi ini dalam hal pengembalian saldo rekening yang terpotong saat pembelian dibatalkan oleh pihak restoran dan padahal bukan dari pihak saya yang harus menunggu sampai 14 hari kerja untuk menunggu saldo yang terpotong itu dikembalikan. Di sisi lain saya juga ada keperluan yang lainnya juga untuk dibeli tapi karena saldo saya yang dipotong terlalu lama dikembalikan oleh pihak gojek, saya jadinya harus berhutang dengan orang lain terlebih dahulu.","saya sangat kecewa sekali dengan pelayanan aplikasi ini dalam hal pengembalian saldo rekening yang terpotong saat pembelian dibatalkan oleh pihak restoran dan padahal bukan dari pihak saya yang harus menunggu sampai 14 hari kerja untuk menunggu saldo yang terpotong itu dikembalikan. di sisi lain saya juga ada keperluan yang lainnya juga untuk dibeli tapi karena saldo saya yang dipotong terlalu lama dikembalikan oleh pihak gojek, saya jadinya harus berhutang dengan orang lain terlebih dahulu.",1,negative
ok baik bagus,ok baik bagus,5,positive
"dan Yap. aneh. pertama, lemot banget.. padahal sinyal saya bagus. kedua, padahal udah booking driver, tapi di tampilannya di suruh booking lagi. drivernya juga gak sampe2 pula. mau saya batalin takut driver nya udah jalan, ga enak. tapi kalo ga dibatalin kelamaan, saya deh yang telat.","dan yap. aneh. pertama, lemot banget.. padahal sinyal saya bagus. kedua, padahal udah booking driver, tapi di tampilannya di suruh booking lagi. drivernya juga gak sampe2 pula. mau saya batalin takut driver nya udah jalan, ga enak. tapi kalo ga dibatalin kelamaan, saya deh yang telat.",4,positive
ongkir gofood jangan mahal2 dong,ongkir gofood jangan mahal2 dong,4,positive
"GUA TRAUMA PAKE GOJEKK, bagian pengantar makanan nyaa. percuma jir ada diskon gede tapi pas di pake driver nya ngeluhh karena tarif nya kemurahan, trs gua sering pake estimasi yg paling cepet itu yg bayar lebih nyatanya apa? Dateng nya sama ajaa telatt kocakk, pesanan selalu telat mulu melebihi estimasi akhir akhir ini. perbaiki lahh aplikasi nya, ulasan pengguna di liat dong","gua trauma pake gojekk, bagian pengantar makanan nyaa. percuma jir ada diskon gede tapi pas di pake driver nya ngeluhh karena tarif nya kemurahan, trs gua sering pake estimasi yg paling cepet itu yg bayar lebih nyatanya apa? dateng nya sama ajaa telatt kocakk, pesanan selalu telat mulu melebihi estimasi akhir akhir ini. perbaiki lahh aplikasi nya, ulasan pengguna di liat dong",1,negative
"tolong perbaiki lagi saya mau pesan gotransit+goridenya ga bisa mulu keterangan selalu ""coba pakai layanan lain""","tolong perbaiki lagi saya mau pesan gotransit+goridenya ga bisa mulu keterangan selalu ""coba pakai layanan lain""",2,negative
"aplikasi bagus tp sayang suka ada kebijakan GK jelas, pengajuan paylater pemakaian aman gak pernah bayar telat, tp malah di blokir sepihak dg alasan keamanan. Gak usah repot2 naikin limit kalau gk bisa dipakai bro","aplikasi bagus tp sayang suka ada kebijakan gk jelas, pengajuan paylater pemakaian aman gak pernah bayar telat, tp malah di blokir sepihak dg alasan keamanan. gak usah repot2 naikin limit kalau gk bisa dipakai bro",4,positive
cukup membantu311025,cukup membantu311025,5,positive
mahal amat sekarang. fir'aun lu?,mahal amat sekarang. fir'aun lu?,1,negative
