text,sentiment
untuj gopay saja yang saya alami untuk melakukan komplain sangat susah dan tidak jelas arahnya tidak seperti yang diiklankan sangat mudah dan juga sampai sekarang dana saya belum kembali juga dan tidak ada respond dr pihak yang bertanggung jawab alhasil hanya bisa merelakan dana yang hilang dan pada akhirnya memilih untuk uninstall gojek gopay terimakasih,very_negative
diskon hanya bisa dipilih oleh aplikasi sendiri otomatis tidak bisa milih discont yang dimau maaf sekarang beralih aplikasi sebelah tidak pake mahal tidak pakai ribet,negative
perbaiki map mudahkan untuk memasukan alamat terlalu lambat nunggu pengemudi di jam krusial karena posisi pengemudi terlalu jauh,negative
plis gojek saya tidak bisa bayar cmn gara gara e ktp ini saya biasanya bayar pake gopay gabisa loh,neutral
kenapa yaa pada saat pemesanan makanan yang dulu ongkirnya ribu skarang sudah menjadi ribu,neutral
tolong banyakin voucher promosi nya ya thankyou,positive
pesan goofod ongkir nya mahal terkadang lebih mahal ongkirnya dibanding pesan makannya gocard sama gojek mahal tidak ada promonya mohon dikaji ulang untuk tarif ongkir makanan transport angkutan sementara saya kasih bintang dulu ya,very_negative
aplikasi cacat pengaturan bantuannya gaa responsif dan ribet saya mau batalin pesanan malah ganti driver saya tidak sengaja mencet pesan cust care nya sangat buruk,negative
lumayan membantu untuk berpergian simple dan praktis dan yang paling penting hemat untuk dompet,very_positive
alamat pengiriman pada go food sebaiknya seperti go ride dapat menentukan lokasi pengiriman pada peta,neutral
bintang dulu sampai double voucher bisa digunakan lagi habis di update mlh nyesel,neutral
masukan untuk pembayaran paylater seharus nya ada sistem kalau misal nya pembayaran sebisa nya ketika ada saldo gopay untuk pembayaran paylater biar tidak memberat kan pembayaran di akhir masa tenggang tolong respon nya,very_positive
tempat penjemputan berubah setelah saya pesan akibatnya pengemudi meniju tempat yang lain tolong diperbaiki aplikasinya karena terjadi sampai kali jadi membuat waktu terbuang,neutral
sangat senang nyampa tyjuan tepat waktu pengemudi kali ramah dan sabar,positive
awalnya pas saya pakai gojek bagus puas sekali tapi makin kesini tidak ada promosi nya malum saya ajak kuliahan terus juga ngekost mau cari yang hemat,very_positive
go jek ini sangat bagus bisa jalan jalan kemana pun dan kapan pun itu bisa pesan makanan antar jemput dll,positive
gojek menurut saya hemat soalnya untuk promosi biasa banyak dan masa berlakunya lama tapi sedikit saran ya kalau cuaca hujan dll nyari drivernya jangan kelamaan makasih,very_positive
pesanan lambat banget di antar nunggu ampe jam lebih tidak sampe sampe pesanannya mana ongkirnya malah banget lagi makin lambat makin mahal dan di tunggu pesanannya menit lagi tapi dah nunggu hampir jam lebih bener bener aplikasi sampah mana tidak bisa chat resto,very_negative
bugs gabisa lihat detail pesanan goride x pesen tidak datang datang keterangannya terus tiba dalam mnt,very_negative
saat ada promosi go pay cashback nya selalu lancar tidak pernah kasus selama saya menggunakan go pay buat pembayaran di berbagai merchant di surabaya dan di kota batu malang juga semoga go pay selalu bisa eksis dan bersaing dengan aplikasi uang elektronik yang ada di indonesia tercinta ini salam sukses go pay,positive
pengalaman dari kecil belajar krja keras nginjak umur thn sdh tidak mampuh jd pengangguran usaha modal gapunya penyakit banyak,neutral
saya tidak bisa upgrade ke gopay plus sudah chat ke bantuan belum ada respon tolong bantuannya,neutral
tranfer uang status nya masih di proses trus tapi saldo sudah berkurang tolong dong perbaiki min ini kenapa jadi gini,very_negative
happy pastinya pakai aplikasi gojek,very_positive
sudah suka pakai gojek karena murah praktis sudah langganan seminggu ehh bru hari ini naik gojek harganya naik rbu jadi ongkos sudah rbu setara ojek pangkalan pula ktanya baru hri ini naik emng trus kalau naik hrga setara ojek pangkalan males dong mau naik gojek lagi mw beralih ojek online lain aja sorry saran saya jgn lebih mahal dri ojek online lain karena hidup itu saingan klo klian buat hrga lebih mahal gini bsa org smua beralih ke ojek online sebelah,positive
aneh kenapa gopaylater saya jadi di blok setelah melakukan pembayaran sebelum jatoh tempo saya sangat kecewa tau gituh saya telatin bayar nya makin buruk aneh,very_negative
asslkm saya sangat kecewa sudah x saya transaksi lewat gopay saldo sudah di potong namun laporan atau id transaksinya tidak adatidak dikirim kalau begini trus bisa gulung tikar saya sudah minta bantuan via email tapi apa tidak ada tanggapan yang serius pertanyaan nya apa jawaban nya apa tidak jelas banget cs gojek ini,very_negative
kenapa sih setiap aku masuk akun gokek aku tidak bisa terus suka ada kata ups ada masalah apa itu coba kalo mau banyak penggunanya perbaiki sudah saya uninstal saja kalo tidak ada kemajuannya,very_negative
kalau pesan lokasi pengemudi seringnya dapat yang jauh padahal yang terdekat juga ada harap diperbaiki lagi,neutral
saya pelanggan gojek merasa terbantu sekali dengan adanya gojek itu di masa lalu tapi skrng tarif gojek luar biasa membuat pengeluaran malah bertambah pikir sekian kali untuk naik gojek sekarang ini karena tarif nya naik hampir biasanya dengan jarak yang sama saya bayar sekrng harus bayar mungkin akan beralih ke angkutan daring yang lain saja,very_negative
promosi gofood tidak semurah dulu padahal cocok buat anak kos,neutral
tolong diperbaikin lagi fitur go food nya ketika kita mesan makanan harganya sesuai tapi pas makanan uda mau diantar harga naik rb tidak tau apa masalanya tolong diperbaikin,neutral
susah dapet pinjaman gopay pinjam padahal sudah punya akun gopaylater cicil beda jauh sama si orange punya akun paylater daftar pinjaman langsung acc padahal sama sama akun terpilih,negative
terima kasih gojek aplikasi dangat membantu saya untuk tiba ke tempat yang saya tuju dengan aman cepat dan juga murah,very_positive
akhir akhir ini gojek agak sedikit error titik penjemputan sama titik tujuan malah ngawur nggk jelas tolong perbaiki karena saya tiap hari slalu pke gojek klau plg kerja,neutral
meski hujan bisa ttp menikmati makanan favorit berkat gofood,neutral
untuk promosi gofood tidak bisa d gabung trus guna promosi apa biasanya bisa aja tolong ya pemberitahuan dahulu,neutral
kesal banget orang lagi buru buru dikasih pengemudi yang jauh jauhh,negative
jmputan yang jauh samp km,neutral
app nya sudah bagus tapi kalo bisa munculkan fitur bagus up lagi seperti dulu soalnya waktu itu aku mau bagus up di gojek dan sudah tidak ada fiturnya tolong di balas kenapa alasannya dihapus fitur bagus up diamond game seperti free dire pubg dan lainnya dan kalau bisa dimunculkan lagi itu saja yang mau saya sampaikan,very_positive
saja dlu nanti setelah bulan pemakaian aplikasi baru bisa di tambah bintangnya okok,neutral
ini emang aplikasi sampah noted saya penjual customer pesan food itu pengen makan bukan buat koleksi jadi jngn dikasih k pengemudi yang jauh dari resto sampe km dngn jasa kirim yang tidak manusiawi perbudakan by sistem kasihan itu customer keburu sakaratul maut gblok fitur ongkir ekspres itu biar apa koplak kalo resto antri ya ttp antri duit ekspresnya lu makan sendiri gblok,negative
aplikasi bagus dan sangat bermanfaat sangat membantu sekali banyak disc dan promo terima kasih tetaplah meringankan beban kami dengan sering memberi promo semoga jaya selalu gojek indonesia selalu cari tau apa yang kami butuhkan niscaya kami tak akan berpaling darimu,very_positive
dari awal gaada problem terus kemarin trouble sampe hari ini gabisa order di update gabisa ngide di uninstall juga masih gabisa tolongg dibenahi,neutral
perjalan bisa lebih cepat tidak harus nunggu lambat,very_positive
praktis mudah digunakan simple untuk pembayaran mohon untuk lebih diperhatikan lagi pemeliharaan aplikasinya,very_positive
ini kenapa ya ya kenapa aplikasi gojek mu di pake kenapa di pencet malah muncul tulisan gojek terus berhenti di coba gitu terus mohon di perbaiki nanti tambah bintang lagi,neutral
kebanyakan update mau gunakan aplikasi jadi kelamaan updatenya beralih ke apk yang lain kurang greget,neutral
drivernya pada tidak butuh duit tiap dapet pengemudi selalu dioper dicancel kalo tidak gitu kebanyakan minta offline dan tambah ongkos yang tidak aturan lebih dari rb saya paham ini tahun baru tapi mohon pengertiannya juga buat para pengemudi jangan memanfaatkan keadaan,positive
sebelum bagus up masih bisa di pake seperti biasa tapi setelah di bagus up mlh ke kunci suruh buat pin dan konfirmasi nomer hp kenapa harus setelah bagus up baru muncul notifikasi kenapa tidak dari dulu atau sebelumnya suruh buat pin sekarang nomernya sudah tidak dipakai dan suruh konfirm pin buat masuk aplikasi telepon cs malah diarahin suruh buka menu bantuan di aplikasi aplikasinya ke kunci gmna caranya tolong systemnya di perbaiki dengan benar,very_positive
mau verifikasi ktp saja susah banget di kamera jadi gelap banget gambar padahal cahaya terang diingetin juga males mau verif lagi,negative
setelah upgrade harga berubah tiap detik,neutral
direkomendasikan banget tambahan min untuk investasi nya jangan hanya emas saja bila ada reksadana pasar uang akan lebih baik dari yang baik,positive
kenapa si sekarang semua rute gocar harus lewat jalan tol jalan yang hrsnya tidak perlu lewat tol pun di saranin di maps lewat jalan tol tidak semua org punya e money bahkan pengemudi pun sering tidak punya e money dan minta batal klo penumpang jg tidak punya e money dengan alasan beda rute tidak sesuai dengan biayanya tolong jgn disarankan lewat jalan tol trs walaupun biaya lebih mahal gpp karena susah klo penumpang dan pengemudi sama tidak punya e money,very_negative
aplikasi aneh tadi aku mesen pizza sudah sampai tapi tiba dibuatin pesanan lagi padahal pesanan ku sudah sampai jadinya bayar double tolong perbaiki aplikasinya saya bukan masalah sama uangnya tapi kasian drivernya jadinya repot,negative
bagus bagus hebat serba mudah dan murah dan banyak hadiah sangat menguntungkan sukses terus gojek pangandaran,very_positive
gojek sekarang oleng banyak pengemudi yang tidak sesuai profil harga untuk pembayaran tunai dan gopay sama saja sekarang tidak sprti dulu,neutral
aplikasi gojek sangat membantu masyarakat umum sesuai dengan kebutuhan masing bisa menghemat wktu ktka sambil menunggu pesanan mis gofood kita bs melakukan aktifitas yang lain baik dirumah dikantor atau dimana sj good,very_positive
mantapp sangat berguna,positive
susah daftar nyaa setiap masukin nl verifikasi pasti jawabannya expired padahal pas dpt no verifikasi lgsg di masukin butuh gojek sekaraang pleasee fix it,negative
terkadang ada pengemudi yang plat no nya tidak sesuai dengan yang ada di aplikasi,neutral
untuk laporan pengaduan customer terlalu bertele tele dan saya belum ada solusi atas kendala saya yang ditipu pengemudi,very_negative
aplikasi suka error batal pesanan buat rubah pesanan khusus gofood suka error berkali di batal juga tidak bisa ujung nya pesanan sudah masuk tidak bisa di cancel buat drivernya juga kadang susah dihubungi hedueh emang bikin kesal,very_negative
bagus mempermudah dan mempercepat transfortasi perjalanan,positive
koq abis di update kemaren sekarang aplikasi ngebug keluar sendiri pas di buka dan selalu ada notif aplikasi berhenti,negative
kenapa sering butuh pembaharuan yaa kalo memory msh ada sich tidak begitu tapi kalo memory mepet,neutral
bagus banget apk nya tapi kenapa tiba lokasi saya saat saya gofood malah jadi ngawur lokasi saya ya aneh banget sih tolong ya,very_positive
alhamdulillah selama ini membantu sekali dalam urusan apapun semoga yang mengganggu pada aplikasi bisa di perbaiki dan semakin canggih lagi thank youu,positive
waktu penjemputan cepat dan tepat antar juga cepat dan tepat bagus bangan gkjek,very_positive
muter terus bukanya sekarang lama,negative
banyak perubahan yang bikin tidak nyaman,negative
tiba gopay saya diblokir sudah tlpn cs pun tidak bisa di banding email menu bantuan jg tidak ada solusi nya ttp gagal banding,negative
foto menu makanan di go food tidak lengkap yang ada fotonya cuma sedikit jadi mau pesen agak ragu dan belum bisa bayar pakai qris,negative
saya penggunan gojek tapi knpa setiap mau pesan go food sllu ada ket aktifkan lokasi padahal lokasi sudah aktif dan buat pesan go ride saja bisa knpa go food susahh,very_negative
aku antar dan pulang,very_positive
mohon maaf ya aku sdikit komplen sya pengguna ojekk online inigojek jika mau batal harus ad alasannya llu knpa buat pengemudi yang seenaknya batal tanpa ad pemberitahuan beberapa kali saya ad kperluan mendesak order sudah dpt driver tp seenaknya pengemudi batal pesanan sya mohon donk jngn bgtu kalau mau batal at tdak menerima pesanan shrusnya jngn di ambil paling tidak ad etika ad alasan kenapa di cancel,very_negative
sangat membantu dan aman mudah cepat dan saya sangat mendukung aplikasi gojeg,very_positive
saya sangat kecewa dengan gojek jarak tempuh cuma km semalam saya cek tarif hari ini pesan tarifnya malah meroket apaan ini bisa robek saku saya ditanya ma pengemudi ngak tau jwabannya naikkan harga dikira lah dan mohon penjelasannya ttg ini karena saya bukan sekali ini saja akan memakai jasa transpor online,negative
saya yang melaporkan bahwa ada penipuan mengatasnamakan gojek akan memberikan hadiah uang sebesar rp malah akun gopay saya yang dikunci dan tidak bisa menggunakan aplikasi gojek saya sudah menelpon sebanyak kali dengan jawaban tunggu kali jam sampai kali saya telf dengan waktu selama minggu dan sampai sekarang tidak ada jawaban yang memuaskan terlihat jelas bahwa aplikasi gojek tidak profesional dengan mengatasi masalah customer,negative
versi os tidak support lagi,very_negative
untuk paylater nya terlalu lma untuk mereview akun yang notabenya pembayaran lancar percuma saldo banyak klo tidak bisa di gunakan paylater nya,neutral
saya mau login tidak bisa karena kode otp nya tidak masuk disuruh harus beli pulsa dulu sedangkan saya lagi tidak punya uang mohon bantuannya min,neutral
kinerja custemer service nya lambat sudah konfirmasi x kenapa akun saya di suspend padahal cuma pake vocer potohongan harga gocar ribu setelah pake eh di suspend gojek tidak ngerti lagi ni aplikasi kalo ada kesalahan ya jangan di tampilkan itu promosi potongan mana saldo gopay nya tidak bisa di apain rugi dah bagus up mohon di selesaikan secepatnya,very_negative
aplikasi terburuk gopay saya di blokir karena main suit dan mengajukan banding tidak di kembalikan akun saya sungguh aplikasi terburuk sudah email sudah telpon hingga habis pulsa jawaban tak pernah mengenakan di klik bantuan d aplikasi jawabany seperti robot sungguh buruk sekali gojek ini lebih says beralih ke grab masih banyak ojek online lain yang lebih baik dari pada gojek sungguh saya kecewa sekali dengan gojek tidak di rekomendasikan,negative
makin kesini harga nya makin tidak wajar jarak waktu tempat saya ke tujuan cuman menit harga nya k an sekarang padahal dulu bisa k an saja,neutral
aman nyaman pokok nya ok,very_positive
dicancel terus sama drivernya tidak jelas,negative
sampai saat ini saya masih nyaman menggunakan aplikasi ini dan merasa sangat terbantu sekali dan saya sebagai pelangan dan konsumen puas dengan pelayanan dan fitur yang ada di aplikasi terima kasih telah membantu saya,very_positive
tolong dintindak lanjuti saya ingin mengupgrade go pay namun terkendala pada proses foto selfie dengan memegang ktp kendalanya adalah ketika saya menekan tombol untuk mengambil selfie aplikasi tidak bisa merespon dan kembali menuju halaman instruksi selfie bersama ktp setelah berulang ditekan pun tetap sama device xiaomi redmi note android pie,neutral
paylater ya aneh beberapa hari lalu bikin malu katanya bisa bayar di merchant eh sampe di kasir tidak bisa mana cuma di kasih limit k nagihnya tidak sopan pake bilang tidak tau diri yaudah sekalian saja gausah di bayar kalau mau sini ke rumah saya bayar cash x lipat saya liat di papan sbux dan chatime ada flyernya bisa malah cash back eh sampe kasir tidak bisa coba ya alloh jahat deh tidak bisanya karena memang tidak bisa pakai paylater alhasil tidak jadi pake paylater pake cash ampun bikin malu,very_negative
mempersulit pengemudi gaya sok kapitalis padahal iblis sok pahlawan,very_negative
aih memang harus di upgrade terus ya bagus sih jadi ada yang baru tapi jangan kudu upgrade terus geh kasih yang penyimpanan nya tak banyak seperti saya dan ketika lagi butuh aplikasi ini malahan tak bisa tak tegakah mungkin bukan hanya saya tapi lihat yang lainnya juga harap dengarkan kami terimakasih,positive
mau login error melulu tapi tidak ada penjelasan error gimana mau upgrade gopay kamera mental mulu disuruh pindah device oke saya coba di hp lain tapi pas mau narik ke bank saldo jadi rp respon cs tidak solutif,very_negative
iklannya burik lagi make bbvpn ada iklan ginian harus kali mencet tombol kali nya mana abis itu iklan lagi dan lebih parahnya lagi setiap kali mencet tombol keluar iklan jadi setiap kali mencet tombol di bbvpn keluar iklan yang dimana harus pencet tombol kali kali,very_negative
makin kesini makin aneh dan tidak jelas akun sudah dipake lama tiba semua diskon resto tidak ada tinggal diskon ongkir sudah chat dan tlp cs sampe tekor pulsa jawabannya cuman akun anda tidak ada masalah lalu tidak ada solusi buat apa ada cs wooyy abisin pulsa,negative
setelah update jadi lebih jelek tidak bisa menggabungkan promo bahkan voucher yang promosi yang tadinya masih ada beberapa kali lagi jadi hilang semua,very_negative
tolong perbaiki masalah pada jaringan gojek setiap kali sa chat pengendaranya selalu tertanda centang atw tidak trrkirim lalu pengendara chat saya juga tidak terbaca oleh sy sering sekali trjdi miss komunikasi karena hal ini tolong di perbaiki lah,positive
sayang log in lagi ke akun go jek sangat sulit bila kita ganti hp baru kita disuruh verifikasi muka kita sudah dapat cahaya yang cukup untuk foto verifikasi dengan cara foto selfi data diri kita juga sudah kita teliti serta kita pastikan sudah akurat tapi kita tetap masih sangat sulit untuk log in dengan alasan data diri anda berbeda tolong perhatian pihak manajemen go jek indonesia,negative
mau order tapi klo pas hujan susah banget nyantol drivernya min klo hujan petir kan otomatis hp d off kan takutnya kesamber petir kasihan jg drivernya saran saja deh min klo bs nyari pengemudi yang dkat dr restonya aja mksh,negative
pelayanan terbaik makin baik kesopanan pengemudi dijln lebih utama untuk keselamatan gojek makin ok,very_positive
mahal banget dibanding apk lain sampe selisih diatas ribuan mana voucher juga jarang paling cuma potongan k,negative
tolong donk pihak gojek bikin aplikasi gojek untuk smartphone huawei yang pakai harmony os tanpa google sudah bln ini tidak bisa pesan go ride karena aplikasi gojek tidak mendukung huawei terbaru terpaksa dah bln terakhir naik grab ride dulu saban hari juga untuk pesan makanan jadi pindah dulu ke grab gara ini aja soalnya grab sudah ada untuk harmony os nya huawei sekalas gojek harusnya sudah bisa di semua os masa ya orang it nya gojek kalah sama grab,negative
kesal selalu minta lokasi padahal sudah di aktifin sudah kebaca juga sudah ada tulisan alamatnya tapi masa keluar terus,negative
tidak jelas biasanya aku pp kerja dan ini pas mau cepat cepat pulang malah tidak bisa pesan gojek karena lokasi tidak terdeteksi,neutral
mentang pake promosi diskon yang gede resto cuma km saja gaada yang mau ambil sudah di klik berkali tetep bilangannya resto sepi driver silakan ganti ke resto lain percuma saya kan pengen makan dari resto itu malah disuruh ganti resto lain,very_positive
dengan adanya transportasi online sangat membantu bagi yang malas berkendara sendiri dan tidak tahu persis jalan atau alamat yang akan dituju tapi sangat disayangkan ada beberapa kali dalam seminggu ini menemukan pengemudi gocar yang menurut saya tidak membantu tidak ramah bahkan berbicara nada tinggi karena tidak menemukan lokasi yang akan dituju intinya kenyamaan pelanggan saat diperjalanan juga perlu terimakasih,very_negative
kecewa banget susah banget cri pengemudi buruk smph kesal,very_negative
suda lambat sekali pakai gojek tapi kecewa berat sama go pulsa nya saldo gopay terpotong tapi pulsa tetap tidak masuk sudah ke pengaduan tapi hasilnya nihil,negative
kenapa sih sekarang gojek suka lemot,neutral
sangat bagus sangat banyak fungsi gojek sekarang ini thanks ya developer buat apk kek gini semoga tembus juta donlot ya ayo donlot guys,positive
buruk banget sih masa belum semenit pesen tidak bisa di cancel kan saya mau ubah alamat sudah chat sama cs tidak ada solusi heran bagaimana kalau ada anak yang tidak sengaja kepencet atau orang tua yang salah tombol batal tetap harus ada dong namanya juga human error akan selalu ada kalau resto pengemudi bisa batal masa customer tidak boleh makin buruk saja aplikasi gojek inget ya aplikasi sejenis sudah makin banyak kalau kaya gini terus lama ditinggalin konsumen loh baru deh sadar nerima kritikan,very_negative
keluhan pengemudi tidak di dengar keluhan customer di cuekin customer service nya busuk,very_negative
sering eror mau pesan hang mulu,negative
