review,rating,sentiment,sentiment_label,date,thumbs_up
"pelayanan cs lama, sistem ga jelas dan aneh. pake gocar beda dengan tarif awal. udah komplain tapi ga jelas",1,1,sangat_negatif,2025-11-06 20:58:31,1
"Buat mpek-mpek bahannya ikan tongkol, sungguh nikmat dimakan saat hangat Aplikasi gojek memang jempol, aksesnya cepat dan banyak manfaat.",5,5,sangat_positif,2025-11-01 06:45:40,0
"kok baru banyak nomor saya, padahal percobaan instal loh",3,3,netral,2025-05-30 14:53:30,0
gojek kok jadi berat ya apk nya...semenjak ganti logo,5,5,sangat_positif,2025-10-20 12:23:19,0
"jeg, kamu kok sekarang pelit bangt buat kasih promo sih, padahal dulu kamu dermawan bangt",2,2,negatif,2025-05-24 17:17:14,0
"saya turunin bintangnya, beberapa kali naik gocar akhir-akhir ini, hampir tiap drivernya menumpahkan keluhan menjadi mitra gojek krn pendapatan menjadi lebih kecil dari sebelumnya, sehingga menurunkan kepada saya khususnya. Apalagi terlalu lama mendapatkan driver krn mereka memilih-milih mengantarkan dengan berbagai alasan menyarankan saya utk mencari lain. Saya masih berikan bintang 3 krn masih bisa diandalkan utk transaksi naik kereta.",3,3,netral,2025-02-28 01:06:33,15
Unt gofood penyelesaian laporaya jelek,3,3,netral,2024-11-15 19:18:56,0
voucher goride gofood nya di perbanyak seperti ERA jaman Nadiem makariem ya jek kaya grab rajin bakar uang ... gojek masa takut .. malu aplikasi ank bbangsa tp takut perbyk promo khusus CS .. jaman Nadiem makariem THE BEST ... jaman DORA blangsak ..,5,5,sangat_positif,2025-10-26 21:07:42,0
"2 hari berturut turut aku pesan gocar hemat, selalu ngga jalan drivernya. aku chat tidak pernah balas, akhirnya aku ganti ke gocar biasa. Tapi sama aja, lama.",2,2,negatif,2025-10-04 09:05:54,1
"Harga di aplikasi tidak sama yang di argo, karena pakai Bluebird jadinya bayar dengan harga argo bukan aplikasi",1,1,sangat_negatif,2025-09-24 19:12:17,1
terus tingkatkan pelayanan kepada pelanggan,4,4,positif,2025-04-06 11:21:10,0
"sangat disayangkan makin kesini angka kecelakaan para pengguna mau itu driver or cs opang banyak karna semakin yg menyerang hingga bandung cedera serius,terutama daerah menyebabkan hal ini menyebabkan trauma dan takut utk menggunakan transportasi online.utk itu mohon bantuannya agar memberskan masalah ini supaya kita bisa merasa aman dan nyaman ketika menggunakan transportasi online",2,2,negatif,2024-12-24 22:38:14,0
baik bgt hujan hujan tetep tepat waktu mksh semoga sehat selalu,5,5,sangat_positif,2025-10-25 00:52:29,0
"untuk kesekian x nya pesan gofood smpe berkali2 di cancel, ujung2 nya pesanan batal, padahal udh nunggu lama, muak bgt saya sm layanan gofood ini, hapus aja mending go food ny dr gojek, gak guna!",1,1,sangat_negatif,2025-10-18 14:09:18,2
masa waktu sebelum klik pesan voucher uda dipake pas uda dipesan voucher tidak terpakai,2,2,negatif,2025-03-22 21:26:26,0
Kalau panggil Pak Haji tapi pak aja,3,3,netral,2024-11-25 11:13:19,0
"driver nya selalu jauh, apk nya tidak merespon keluhan dari pelanggan 1",1,1,sangat_negatif,2025-09-23 07:05:36,1
pesanan sering banget telat dan karena tidak mendapatkan driver. padahal sudah menunggu berjam-jam,2,2,negatif,2025-03-26 15:40:38,0
"saat susah mendapat driver kita susah membatalkan pesanan untuk ganti resto, harus menunggu lama sekali pembatalan otomatis, cs sama sekali tidak membatu perbaiki !",3,3,netral,2025-04-03 21:39:42,1
"pesanan dibatalkan, ada driver",4,4,positif,2025-10-13 19:38:44,2
Knpa skrng ada double order.. Pengiriman makanan jdi lama krna driver harus antar 2 orderan dan kami harus menunggu lama sampai makanan sdh dingin baru driver sampai Orderan di resto menunggu lama mencari driver padahal ada driver yg dekat di resto..,2,2,negatif,2025-03-08 23:03:06,1
"Lagi pilih makanan ketika sudah ok dan masukin kode promo terus mau pesan, dan cekout, tiba 2 diskon lsg hilang, beralih ke aplikasi sebelah aman diskon tidak hilang tiba2 sampai tiba makanan... Tolong diperbaiki...",2,2,negatif,2024-11-24 11:40:19,13
"Manteb gojek sukses selalu, memuaskan pelanggan, semoga makin perkembang ni aplikasi, tidak berat di ui .",5,5,sangat_positif,2025-09-28 05:43:41,6
saldo terpotong saat pesanan di batalkan dan saldo tidak di kembalikan!!,1,1,sangat_negatif,2025-10-06 08:42:14,1
harganya tidak masuk akal sangat kemahalan dan tidak ada promo padahal jarak dari lokasi ke tempat tujuan dekat. beda dengan apk sebelah,3,3,netral,2025-09-11 16:53:07,2
memudahkan perjalanan ke manapun.,4,4,positif,2025-06-06 13:38:58,0
percuma pake tambahan uang biar pesanan cepet sampe express lah segala macem gatau nya sama aja kaya regulernya atau hemat,4,4,positif,2025-06-28 20:48:26,1
klo byr ok tp bener bertransaksi,3,3,netral,2025-10-16 23:27:28,1
complicated masuk aplikasi..,2,2,negatif,2025-05-17 22:46:29,0
"sayaa baru ajaa menggunakan nya untuk order makanan, sayaa memesan 2 menu makanan di resto, dan pesanan nya sudah sampe, masaaa ke order lagi pesanan yg sama dan total harga yang sama dengan pesanan yg awal, padahal saya pas terima orderan yang pertama engga buka hp lagi jd otomatis saya engga memesan lagi yang sama jg,trs di daftar chat gojek pun jg engga ada chat gojek dari abng yg ngater pertamaa, jd di daftar chat gojek saya cuma adaaa chat masuk saya dengan abng yg ngater ke duaa..",3,3,netral,2025-02-09 22:58:10,3
"saya suka pkai gojek banyak promonya dan diskon klau bisa promo dan diskon nya lebih besar lagi ya, tapi paylater ny susah untuk di aktifkan",4,4,positif,2025-10-07 09:02:00,0
"senang gojek, supirnya ramah dan kendaraannya prima. pokoknya ok banget.",5,5,sangat_positif,2025-10-02 21:33:48,0
"TOLONG KE DRIVERNYA LEBIH SOPAN DIGUNAKAN ETIKANYA. ATAU DIA PREMAN??? BACA INSTRUKSI DAN DETAIL YANG UDAH DI KASIH SAMA PELANGGAN, BUKANNYA SPAM CHAT DAN NANYA NANYA TITIK LOKASI. HADEUH KOCAK TUJUAN FAMILY RASA, DAN MALAH DIEM DI RISA RASA SAMPE KE UJUNG DUNIA JUGA GA KETEMU. MAKANYA DIBACA YANG BENER WOYY, BENER BENER EMOSI JIWA DIBUAT SAMA DRIVER-DRIVER GOJEK.",2,2,negatif,2025-02-01 20:45:50,1
gomart dapet driver jauh2 semua?mana lama diprosesnya apalagi semenjak update,1,1,sangat_negatif,2025-10-07 14:35:47,1
"driver go food ga bisa di pantau jarak dan sulit dihubungi, sering di ghosting driver lalu dicancel",2,2,negatif,2025-03-29 20:43:16,0
kenapa tidak bisa di update?,4,4,positif,2025-08-10 11:36:32,0
ADUHH min iklannya berisik banget ya kaya omongan tetangga yang sangat MENGGANGGU.,3,3,netral,2024-11-23 21:52:11,0
"kenapa saya tidak bisa masuk gojek, dibilang perlu pembaharuan, sudah saya perbarui tetap juga gak bisa,",3,3,netral,2025-07-23 20:05:41,0
Titik antar GoFood di saya sama pengantar gak sesuai. Agak kegeser dikit. Notifikasi dari driver juga udah gak pernah nongol lagi di notification bar,4,4,positif,2025-09-17 20:54:10,2
karyawan nya tolong di tegur lagi. kalau sudah malam jarang ada yang mau terima pesanan. di cancel semua. mending pakai aplikasi sebelah,2,2,negatif,2025-03-30 19:35:10,0
bikin saya makin telat sama lokasi jauh banget,2,2,negatif,2025-07-08 05:33:03,0
Kenapa ya setiap kali pesanan go-food saya selalu susah dapat driver kadang makanan itu telat sejam lebih. Banyak driver yg ga mau ambil..padahal jarak paling jauh 3 - 4 kilo.. dan pada milih² driver sekarang kalau ambil orderan...sangat kecewa sekali rasanya...kdang sudah sejam zonk..,1,1,sangat_negatif,2024-12-05 12:47:49,0
"pelayanan lelet cepetan shopefood, diskon juga banyak shopefood",2,2,negatif,2024-11-27 09:40:28,0
"Aplikasi mudah di retas masuk hati jika ada kesulitan service di IG nge dm. Apa lagi jika customer , akun gopay nya. Dan Jgn simpan uang di akun gopay . Mudah di retas",1,1,sangat_negatif,2025-10-22 15:38:32,4
"Aplikasi kocak, udah mulai ga waras harganya, harga ongkir dan layanan 2x lipat dari barang wkwkw",2,2,negatif,2025-01-01 19:04:19,0
kasih faham lah ke Mitra GO-SEND nya. sekiranya ga mw d ambil bilang dari awal. ini udah nungguin berjam2 eh malah d cancel sama driver nya.,1,1,sangat_negatif,2025-11-09 09:38:12,1
Ga ada angin gak ada hujan Gopaylater di dan di buka lagi hadehh,2,2,negatif,2024-12-22 16:34:47,0
Sekarang gojek ko kutang memuaskan ya. Padahal driver banyak tapi buat psen.kecewa.tolong tingkatin lagi biar gak berpindah ke apk lain. Kan drivernya juga nungguin ordran tapi sistemnya ganguan gini,3,3,netral,2025-02-12 12:38:00,1
"senang ada gopay, semua jadi lancar .. kualitas nya harus di tingkat kembali ya..utk ketepatan waktunya.. terimakasih",5,5,sangat_positif,2025-09-21 09:40:44,0
masa pesan 2 minuman aja suruh nunggu spai sejam. gara gara susah dapat driver. pembeli adalah raja jangan merajakan penjual. di cancel kok takut penjual rugi. aneh.. aplikasi tidak ada pembeli mana jalan. makanya kalau driver belum dapet mending penjual jangan di beri order. kaya begini nyusahin pembeli. mau belikan tamu malah suruh nunggu sampe sejam kan kocak. tamu saya sampe dah pulang. mending pakai shopee food. aja kalau susah driver 10 menit dah auto cancel.. di gojek malah sejam lawak...,1,1,sangat_negatif,2025-11-10 18:16:29,2
apk buruk sekli mask kastemr ada yang terdekat ngambil deriver jauh mana saya nungu sampk 30 menit di kencel sama deriver nya,1,1,sangat_negatif,2025-10-31 19:56:35,1
"Pelayanan aduan sangat lemot,, gomart aja tanya di sini saya belanja Sekalian cuma 4 pcs knapa malah katanya melebihi kapasitas driver dalam langsung ya,mau tanya operator membawa lemotnya minta ampun!",3,3,netral,2024-12-26 21:52:43,1
membantu sekali dan pelayanan driver nya ramah,4,4,positif,2025-07-06 17:41:23,0
good install worth app to,5,5,sangat_positif,2025-11-10 23:41:12,0
"aplikasi nya kalau kondisi cuaca hujan susah nyari drivernya kadang dapetnya jauh terus , sampe gak hujan mendung masih susah nyari nya",3,3,netral,2025-10-30 18:36:04,1
"gak mau lagi ah pesen makanan di gojek. review ulasan para pembeli nya ga ada foto-foto nya kayak di Shopee ga ada, aku sampe ketipu sama bakmi seafood 99 Pandega marta. aku beli kangkung ayam karena banyak yg beli. eh pas nyampe ayamnya abu-abu, mungkin tiren ya? takut woi. padahal rating warungnya 4.8 tapi kok diginiin ya sama mereka. pokoknya ayam yg ku beli itu warnanya abu-abu. aku gatau itu bagus apa engga pokoknya aku kecewa besar. mana udah kemakan berapa biji ayamnya",2,2,negatif,2025-06-07 21:36:36,0
"makin kesini makin ga benar ,, banyak2 biar pada enak dari pihak manapun,,",2,2,negatif,2025-08-22 14:18:25,1
"manteb bgt pelayanan csnya, pengembalian dana akibat kelalaian driver prosesnya cepat.",5,5,sangat_positif,2025-10-17 08:59:36,0
"kenapa kalo buat buka chat itu susah banget, jengkel poll",3,3,netral,2025-04-13 12:57:20,0
Uhuy lebih murah dprd sebelah,3,3,netral,2025-02-17 15:14:52,0
"cs nya komplain program komputer, jadi gak puas kalau mau ada dan ai komplain",3,3,netral,2025-09-16 23:29:01,1
Lo mahal banget si harga nya,4,4,positif,2024-10-10 08:09:02,0
Klo hujan suka naikan harga se enaknya,3,3,netral,2025-02-08 15:03:56,0
"kaga jelas bgt , masa pembayaran tanpa pin, tiba2 aja pesan go car tolong tambahkan PIN di setiap transaksi GOJEK.",1,1,sangat_negatif,2025-10-30 20:47:06,1
eror mulu ni gojek gajelas,2,2,negatif,2025-10-06 16:25:15,2
dan susah pengiriman makin diskon,4,4,positif,2025-05-06 22:48:46,0
muter nya busettt driver nya padahal Deket jemput muterrr setengah abad,1,1,sangat_negatif,2025-11-02 23:00:06,1
gila banget kl hujan naik harganya sampe 130,1,1,sangat_negatif,2025-10-29 17:33:57,1
Pelayanan baik tepat waktu hanya klo musim hujan susah mendapatkan gojek,4,4,positif,2024-12-19 04:41:56,0
"semua baik, cuma paket saya hilang pakai gosend . pihak cs tidak membantu",1,1,sangat_negatif,2025-09-23 14:15:10,1
biaya dan tarif gojek sekarang semakin mahal. utk pelayanan jangan hanya membebankan kepada perusahaan harus lbh memperhatikan driver dan customer. jangan mau ambil untung besar. mohon utk kota2 atau wilayah kampus harga lebih murah banding,3,3,netral,2025-11-21 11:13:06,1
driver sekarang pada belagu,2,2,negatif,2025-04-04 11:58:52,0
payah Lemot lemot jadi,2,2,negatif,2024-12-20 18:59:25,0
"tlg dong aktifin fitur dmna kita bsa lebih dulu chat restonya, kalo ga resto yg duluan kita ga bisa chat, sdgkan resto kdg pesanan udh telat sampai 2 jam ga hubungi kita apa apa, dibatalin jg ga bisa, akhirnya terpaksa dtg k resto langsung dan restonya blg ga dpt driver, tp nasib pembeli gmn, org dah lapar 2 jam nunggu",2,2,negatif,2025-04-08 11:49:19,1
dari jaman kuliah sampe kerja selalu pake gojek,4,4,positif,2025-08-05 06:55:22,0
membantu sy dlm setiap perjalan,5,5,sangat_positif,2025-11-14 08:07:18,0
Kenapa skrg susah bgt dapat drivernya ya?,4,4,positif,2024-11-01 17:37:05,0
knp si driver salalu bilang cuma di byr 5ribu kalo ambil food. secara saya bayar 15ribu.pt gojek skrg beda y.makan keringet driver jdi penjilat di negara sendiri. udh ga punya hati. tlg y kemblikan sistem lama.lebih manusiawi. kecewa sama pt.gojek skrg. kasian driver di jln panas ke hujana mending pindah ke greb food. ga tega lihat driver gojek. sedih saya denger ny gojek ga manusiawi skrg. kejam skrg gojek tolong hilang kan sistem slot food n paket reguler semua rata. lebih manusiawi,1,1,sangat_negatif,2025-09-30 18:19:53,2
"good, banyakin promonya ya",5,5,sangat_positif,2025-09-29 12:26:01,0
nyari goride nya lamaa bangettt,2,2,negatif,2025-08-17 06:43:34,1
maaf kasih hanya segini. Karena tidak ada pilihan untuk paket sudah diterima walaupun ojek masih berjalan. kebanyakan pilihan tidak ada yg setara malah lebih tinggi ke konsumen. tolong gojek berikan permasalahan tentang paket di terima dan keadaan yg menguntungkan gojek disaat mengantar di semua keadaan untuk menguntungkan pihak ojek dengan setara dengan customer. tolong berikan perubahan untuk para ojek jangan hanya customer,2,2,negatif,2025-07-24 13:47:27,0
biasa aja..semoga ada bonus buat para driver..,3,3,netral,2025-07-31 21:34:35,0
"Tolong Peringatkan kepada seluruh driver gojek supaya tidak memberi harapan palsu dijam² orang berangkat kerja dipagi hari,,soalnya saya sudah hampir telat 3x gara² driver yang saya dapatkan malah menerima orderan lalu tidak ada kontak samsek malah dibatalkan setalah nunggu 30 menit lebih,saya tau mereka kerja cari rejeki,kita juga sama tolong pengertiannya,engga harus kita yang terus pengertian,semoga kita saling memberi feedback secara positif antara driver dan penumpang..",5,5,sangat_positif,2025-10-10 04:49:14,0
"ya murahin bagus, lagi wkwkwk",5,5,sangat_positif,2025-10-24 08:48:20,0
Kok bisa harga sudah dpt driver dan sudah sampai di tujuan tapi aplikasi dengan order driver lain otomatis lokasi antar jemput yg sama?lalu kenapa riwayat driver sebelumnya tidak ada?Padahal driver sebelumnya minta ongkos tambahan 15k dari saya di aplikasi.Sudah saya screenshot juga nopol chatnya di aplikasi ini.Saya tetap mau bayar ongkos tambahan yg diminta driver krn memang lagi buru2.,3,3,netral,2025-03-12 16:43:30,0
gofood sekarang sering kali TELAT lambat dan Sering Cancel pesanan. Tolong Sistemnya diperbaiki. kok makin kelamaan makin Mundur pelayanannya.,1,1,sangat_negatif,2025-11-02 21:18:14,1
Gocarnya banyak yang cancel gajelas,3,3,netral,2024-12-05 18:52:32,0
sangat membantu disaat mager,5,5,sangat_positif,2025-11-03 19:17:59,0
sngat mmbntu bnget dech,5,5,sangat_positif,2025-10-19 18:45:02,0
tidak usah diadakan grab hemat kalau nyatanya supirnya gak ada yg mau terima jika ongkosnya terlalu murah.. capek menunggu tiba ditolak.. dan banyak yg gak mau terima,4,4,positif,2024-10-26 14:47:22,1
sering di kasih driver yg jauh dari lokasi. mohon di tingkatkan lagi ya kedepannya.,4,4,positif,2025-09-15 09:27:24,1
MANA KATANYA KALO BELI ATAS 10.000 DAPAT CHASBACK 90 TAPI KOK GK DAPET DAPET,4,4,positif,2024-10-30 22:47:25,0
"Tolong jangan nyusahin driver sudah orderan nunggu ber jam2 sih penumpang nunggu driver sampai ke n argo tidak sesuai 5KM driver tolong hilangkan biaya pelayanan dan penanganan GOJEK di CUSTOMER driver jadi beban semua argo turun,BBM naik kasihan driver dengan argo minim jemput jauh habisin bensin driver tolong dengerin keluhan driver...",2,2,negatif,2025-01-07 08:44:11,0
senang sekali bisa terbantu disaat genting alias perut kosong,5,5,sangat_positif,2025-10-12 22:33:12,1
"sulit mendapatkan gojek. gojek yg suka cancel, ngebut-ngebutan, ngasih helm bau dan basah, ga ngajak ngomong, tetep saya kasih rating 4 5, ini malah saya yang di kasih rating rendah, wkwk. mempersulit buat saya pulang sekolah dapat gojek.",2,2,negatif,2024-11-22 16:42:47,1
pengajuan lagi susah padahal. sudah pelunasan lebih awal. kl. cepat bintang 5.,4,4,positif,2025-10-13 12:44:32,2
"tolonggg untuk pihakk gojek yang indah berseri, tolong yaa masa ngga bisa saya isi secara spesifik alamat saya.. kek masa gara gara hp saya android terbatas banget cuma bisa isi 4 kata... ayolahh tolonglahh masa ngga bisa si",3,3,netral,2025-10-17 14:43:53,1
"bodoh lagi nih gojek nungguin dari tadi 1 jam masih pencarian udah sabar banget terus gua coba batalin terus order lagi pasang diskonnya belum di ternyata , mau ajukin malah ga bisa ngerampok apa gimana dah, besok besok gua ga bakalan go food banget",1,1,sangat_negatif,2025-11-05 18:07:05,1
syang bgt pdhl dulu sering pake aplikasi ini tp skrng udh jrng krna tarifnya nya terlalu mahaal.. pling make cuma buat gofood doang..,2,2,negatif,2025-04-29 14:11:12,0
"susah cari driver , membuat harus menunggu lama, memuak kan",1,1,sangat_negatif,2025-11-01 23:29:23,2
"Alhamdulillah, selalu dipertemukan dengan driver yang baik. Mudah-mudahan selalu dipertemukan dengan driver yang baik. Ini sangat membantu sekali. Terima kasih, GOCAR GOJEK.",5,5,sangat_positif,2025-10-16 16:02:23,0
sesuai tukang pokok gojek dan amanah nya nya,5,5,sangat_positif,2025-11-18 12:31:16,0
Alamat yang di tuju tiba² berubah. Saya sendiri belum pernah ke alamat tersebut,2,2,negatif,2024-11-23 15:12:52,0
sebel banget skrng ga jelas drivernya ga dikasih apa gimana ya pesen makan udah berapa kali susah banget kyanya para driver nemu alamatnya. padahal sebelumnya gampang2 aja,2,2,negatif,2025-04-12 14:36:00,0
mohon maaf atas ketidaknyamanan mohon maaf transaksi gagal masuk karena saya sudah menunggu lama untuk transaksi masuk atau keluar,3,3,netral,2025-08-04 15:36:04,0
supaya bisa memilih sepeda motor sesuai tinggi badan dan keadaan tubuh,3,3,netral,2025-10-02 13:35:38,1
"harga makanan di gofood udah mahal²,paling rata² makanan termurah nyentuh 50k untuk 1 menu.ga kayak dulu makanan semua terjangkau ada yang 20k-40k per menu nya,ya kalau invlasi kayak gini sih lemot laun bakal males mesen makanan",1,1,sangat_negatif,2025-10-27 22:40:07,2
Baru ini top up macet...,4,4,positif,2024-11-05 14:37:34,0
"Diaktifkan, notifikasi muncul terus. Kalau tidak diaktifkan, status orderan tidak terpantau.. Bisa kan mengirimkan tidak penting",4,4,positif,2025-01-30 20:58:47,3
lama nerima SMS ketika bayar pajak,1,1,sangat_negatif,2025-10-03 16:48:59,1
"gojek oh gojek ... akun baik saja ... tpi kenapa sudah 4 hari ini saya tak kau beri orderan sama sekali... start jam 6 sampai malam jm 10 , gak kau kasih sama sekali",1,1,sangat_negatif,2025-10-26 07:48:15,1
"membantu sekali,di saat saat situasi urgent, makasih gojek",5,5,sangat_positif,2025-09-30 17:14:55,0
"biaya penanganan dan pengiriman di gofood ga masuk akal, bisa nambah 100k",2,2,negatif,2025-04-01 21:16:17,0
"alhamdulillah selalu dpt driver yg sopan dan sabar, trs nggak pernah nunggu lama, pasti tangkas datangnya terimakasih gojek sangat membantu saat dibutuhkan",5,5,sangat_positif,2025-11-07 20:08:32,0
tetap bejalan mengikutin aturan,5,5,sangat_positif,2025-09-23 06:46:56,0
tarifnya ngga kira - kira. 12000 ke 13000 langsung ke 24000 .untuk anak sangat memberatkan,4,4,positif,2025-04-17 06:56:04,0
"gojek ku knp ya, kok ga ada notif muncul kalau keluar dari aplikasi masa harus stay buka aplikasi ga enak banget. Kan setiap pesen makanan paling kan 30menitan masak sudah 30 menit itu harus buka aplikasi gojek terus ga ada notif pas di chat driver kan jadi ga tau padahal kasian tentang notif dalam saya ijinkan semua pengaturan drivernya nunggu lama tolong dibantu",2,2,negatif,2025-02-15 16:22:13,1
Harus Di Stabilkan sesuai Perintah Pusat Dan Pengalaman Yang Potensial Dan Mengemudi Paham Jalan Dan Ahli Dalam Semua Kondisi Yang Sedang Beraktivasi Di Jalankannya Penting Inti Agar Di Jauh kan Dari Keluhan Yang Fatal Dan Non Fatal Di Pengguna Dan Pemakai Aplikasi Ini Salam Semangat Lurus Saja Secara Naluri Kita,5,5,sangat_positif,2025-10-10 22:55:15,0
"Harus di perbaikin lagi ini maps nya panggil mobil di maps kluar nya motor, panggil motor di maps keluarny mobil",3,3,netral,2025-03-13 06:07:58,0
pantes suka susah dapet driver atau gofood. jatah driver dapet kecil banget mana mau mreka ambil. firaun bener gojek ambil porsi. tolong kurangi lah admin klean ke driver,1,1,sangat_negatif,2025-10-22 18:35:37,1
mahal padahal jarak dekat,1,1,sangat_negatif,2025-10-25 15:59:33,1
"order mobil lama banget dateng nya, ada dll. menunggu, angin lah, ada yang nganter orang dulu lah, yang bikin saya kesal untuk isi apalagi saya lagi terburu",3,3,netral,2024-12-19 12:34:18,0
Drivernya menolak trus. Tolong beri teguran itu,2,2,negatif,2025-11-18 22:15:04,1
"kenapaa yahh, tiapp udah lelet ditinggalin, aplikasinya minta diperbaharui teruss",3,3,netral,2025-03-20 20:03:15,0
app mudah dimengerti,5,5,sangat_positif,2025-11-11 14:48:00,0
driver² kurang di arahan terkadang terdapat beberapa driver yang ogah ogahan menjalankan seharusnya mau bagaimanapun sudah terjun di lapangan kerja ya harus terima konsekuensinya,3,3,netral,2025-04-11 02:35:26,0
Opsi gofood nya jelek sekali sangat harus menunggu sangat lama baru mendapatkan driver pengantaran gofood,1,1,sangat_negatif,2025-11-02 17:17:27,5
"jarang ada promo yang reguler, sayang sekali",4,4,positif,2025-02-01 18:38:41,0
pemesanan ngga batalin bisa,2,2,negatif,2025-06-17 23:35:55,0
"ini terakhir kali aku pake aplikasi ini,bener mengecewakan sangat buruk sekali",1,1,sangat_negatif,2025-11-22 23:05:50,0
skrng buruk banget msa saya cma mau liat makanan di gofood tiba² kepesan dan ngk bisa dibatalin,1,1,sangat_negatif,2025-09-22 15:38:32,1
"Saya Sangat GoCar Hemat, tapi setelah dapat driver Prioritas. berubah jadi GoCar otomatis Ongkosnya jadi jauh lebih mahal, dari Rp24.000 jadi Rp43.000. Ini sudah saya alami 2 kali. pesan merugikan dan mengecewakan. Mohon Gojek perbaiki sistemnya supaya tidak menipu pelanggan.",2,2,negatif,2025-09-13 19:16:09,4
"TOLONG DONG PERBAIKI MAP NYA,SETIAP KALI ORDER DAPAT DRIVER NYA JAUH BANGET DARI TOKO ATAU RESTONYA, TOLOONG DOONG DIPERHATIKAN",3,3,netral,2025-01-25 17:56:24,1
"saya ga bisa menghubungi cs, dan komplen pun ribet, bahkan laporan saya di tolak, respon lama, galeri g bisa di buka dri app, makanan saya kurang satu saya komplen malah g di terima, chat cs malah g ada solusi, kek bukan manusia yg bales. belanja 120rb sia2 aja, buang2 duit. auto uninstal dah. padahal saya dah sering gunain app ini tapi sekali nya ada masalah malah g dapat solusi. nyebelin.",2,2,negatif,2025-03-27 00:12:19,21
gojek Pe ak. error terus. di install ulang juga gak bisa,1,1,sangat_negatif,2025-10-20 07:48:32,2
"sekarang live tracking paket kiriman dari tokopedia nggak bisa dilacak, dikasi link tapi nggak",2,2,negatif,2025-07-21 15:12:20,2
keren cuma akun saya mahal kemahalan g kaya KK saya apakah ada masalah dengan akun saya,5,5,sangat_positif,2025-11-02 18:59:23,0
"plis bet ini mah, bisa gaa kalo iklan tuh tandanya gausah bgt, kan kaga malah masuk apknya, lgi seru seru nonton jadi gamood",2,2,negatif,2025-01-20 18:04:07,1
lumayan lah aplikasi ini,4,4,positif,2025-06-23 16:56:39,0
"kdng bagus kdng gimana gtu, tapi okee",4,4,positif,2025-04-07 16:02:57,0
"tolong untuk aplikasinya agar lebih dioptimalkan, karena untuk membuka ke menu seperti gocar atau gofood cukup berat.",2,2,negatif,2025-07-22 20:18:32,1
yaa gitu anjayyy pokok e sekian heheheh,5,5,sangat_positif,2025-10-29 15:22:48,0
alamat lengkap akurat kurang,4,4,positif,2025-07-02 16:29:38,0
"Lagi butuh cepet kenapa driver yang nyangkut jauh2, lamaan nunggu drivernya sama perjalanannya Sampai 3 kali cancel baru dapet driver yang deket",2,2,negatif,2025-03-22 18:29:42,0
kesel banget sering cancel sepihak ga ada konfirmasi dulu warning utk driver area Cirebon !,1,1,sangat_negatif,2025-10-07 14:10:07,1
"SATU HARI 2X TRANSAKSI GAGAL DI HARI YG SAMA DAN SALDO DLL. KEMANA. RESPON SANGAT LAMBAT DAN BERBELIT BELIT, TIDAK ADA KE NTAH SALDO AKAN KEMBALI. SANGAT PAYAH UNTUK SEKELAS APK GOPAY UNTUK MEMRESPON PERMASALAHAN INI. UNTUK GOPAY UANG SEGITU TIDAK ADA ARTI KALO UNTUK RAKYAT KECIL UANG SEGITU SANGAT BERATI UNTUK BAYAR PENGOBATAN PASTIAN",1,1,sangat_negatif,2025-11-18 11:47:17,1
