original_index,text,current_label,reason,confidence,pos_keywords,neg_keywords,suggested_label,notes
14306,aplikasinya kurang oke karena kita tidak bisa tau sudah sampe mana mobil tidak bergerak masih dijalan itu saja tolong diperbaiki kalau mau sukses malah lebih bagus provider lain kalau seperti ini terus,negative,Labeled NEGATIVE but has 4 positive keywords vs 1 negative,high,4,1,,
15093,bagus tapi tolong kasih fitur dimana customer biisa memblokir pengemudi gojek yang mengecewakan pelayanan yang tidak baik supaya tidak mendapatkan pengemudi yang sama di pesanan selanjutnya terima kasih,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
16296,mantap murah meriah tapi akhir ini nopember kurang bagus ditambah tidak ada aplikasi percakapan antara pengemudi pengguna musti sms tapi kadang provider kurang cepat kirim jadi sering salah batal,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
16722,sejak ada dua cara pencarian pengemudi cepat dan biasa kami kurang puas karena kalau yang pencarian biasa sangat lambat untuk itu saya sarankan jangan pakai pilihan cukup satu saja sukses selalu,negative,Labeled NEGATIVE but has 3 positive keywords vs 1 negative,high,3,1,,
17584,min tolong diperbaiki untuk masalah metode pembelian dengan gopay e book di google play book sudah beberapa kali ini tidak bisa transaksi dengan go pay min mohon secepatnya diperbaiki terima kasih,negative,Labeled NEGATIVE but has 3 positive keywords vs 1 negative,high,3,1,,
17615,setiap kali bayar menggunakan gopay di alfamart sikap kasir seperti tidak ramah pernah satu kali saya transaksi ditolak dengan alasan takut transaksi gagal kenapa begitu ya sebaliknya kalau saya transaksi di prima freshmarket kasirnya tetap memberikan pelayanan terbaiknya,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
18535,mohon maaf tolong untuk yang terkait untuk di benahi lg sy kurang puas atas pelayanan gojek di sebabkan saya pesan gojek tapi kendaraan yang buat operasional tidak pas dengan motor yang saya pesan tolong di perbaiki lagi drifernya jangan suka menyerobot lampu merah karena membahayakan semuanya pengguna jalan ada pengemudi gojek yang ngeyel mau menang sendiri tidak mau ikuti saran pelanggan mohon untuk jemputan di usaahakan tepat waktu terima kasih,negative,Labeled NEGATIVE but has 4 positive keywords vs 1 negative,high,4,1,,
18835,makasihh ya aplikasi nya sangat bermanfaat jika ada suatu kendala error itu mungkin di karena kan jaringan tidak stabil makannya positif thinking saja buat temen yang suka error atau bug ketika aplikasi berjalan aku belum pernah ngalamin error paling bug dikit kalo jaringan kurang bagus,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
18842,saat saya upgrade gopay plus id saya sudah terpakai padahal saya sama sekali belum upgrade gopay plus mau lapor cs saja lambat balasnya di aplikasinya jg tidak ada nomor kontak cs hanya ada email dan balasannya kurang memuaskan saat ini apa harus serba cepat tapi menghubungi cs saja sulit tolong perbaiki lagi agar pelanggan tidak beralih pada apk lain,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
19510,pelayanan gojek sudah tidak bagus saya pesan gofood jam ke resto yang jam dan penyajian nya cepat masa jam saya baru dapat driver tolong perhatian nya ke pada pihak aplikasi gojek tolong pelayanan diperbaiki lagi tks,negative,Labeled NEGATIVE but has 3 positive keywords vs 1 negative,high,3,1,,
20400,sekarang aplikasi suka eror tiba tiba padahal lagi butuh butuhnya pengemudi bua nganter kerja pas dicariin pengemudi pasti dpt yang titiknya jauh padahal yang d sekitar jg ada bnyak pagi ini akun saya d bekukan karena trlalu banyak batal order saya batal pun itu karena saking butuhnya driver tapi aplikasinya eror trs alhasil akun saya yang kena mohon d perbaiki lagi kualitas layanannya jgn sampai merugikan pihak user ataupun driver terimakasih,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
299,tolong ya pt gojek yang terhormat kalo ngasih voucher gofood tuh jangan pake istilah minimal pembelian kembali lah seperti peraturan lama tidak ada batasan berapapun yang dibeli bisa pakai voucher sudah susah dapetin voucher malah ada syarat minimal pembelian alaahh,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
372,pesan gofood di perbaiki agar mudah batalin pesan bagi customer dan juga driver gk sengaja pesan tidak bisa batalin terpaksa bayar jadi ya tidak mau beli tolong gofood ya dipermudah batalin pesan gofood jika salah pesansalah alamat jadi mudah,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
733,halo min jadi saya kan pernah langganan gitu di app drama terus saya dah tidak terlalu suka nonton jadi saya apus dn langganan juga mau habis terus tbb saya dapet notif gopay hmm kayak langganan lagi tapi saya tidak langganan atau kek bayar gituu jadi hmm saldo kyk bs d balikin tdk atau itu emang kesalahan saya yang malah menghapus tapi belum batal kan langganan trimakasih min moga d jawab,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
758,suka sih awalnya saja tapi makin lambat pesan gofood jadi mahal sekali ongkir dan harga makanannya promosi nya ada sedikit ya paling banyak potongan rb diskon nya hanya rb paling banyak beda waktu pertama coba diskonnya paling banyak rb tolong dong banyakin diskon nya tanpa min belanja juga dan tidak harus pake gopay bagaimana jika yang tidak ada akun bank atau yang lainnya untuk isi gopay seperti saya dan hanya ada uang tunai tolong di maksimal kan lagi ya,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
1005,sangat puas pelayanannya gojek tapi sayang banyak sopir go bak yang sering batalkan pesanan kalo emang tidak mo ambil pesanan jangan diambil biar konsumen tidak kecewa,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
1292,penjual yang lebih sering pake gosend di aplikasi ini jujur agak kecewa diskon gosend diubah jadi cashback apalagi cashback dalam bentuk gopay coins yang tidak bisa dicairkan ke rekening bank agak kecewa dan memilih buat tidak pake gosend lagi karena sekarang jadi rugi,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
1421,selama ini bagus dan lancar tapi sayang saya tidak bisa up grade play later dengan alasan sudah pernah dipakai padahal hp dan no saya baru agak kecewa jg sih,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
1448,aplikasi lambat baru proses selama pakai gojek tidak pernah dapat diskon go car go food padahal sangat aktif menggunakan nya di banding yang jarang pakai tapi selalu dapat diskon,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
1736,untuk go food tlg sih pihak gojek bner di pilih yang bisa masuk jualan di go food bner disaring jgn asal kdg ada yang jualan tapi cuma jual gambar pas beli buruk dah tlg lah yang jualan kasih gambar yang memang asli jualanya apa adanya aja jadi pembeli tidak kecewa jadi mls pesan di go food kebanyakan jual gambar yg jual asal an asal dapet duit dan untung banyak tlg pihak gojek di respon unek saya ini,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
1763,selamat sore go jek dulu saya penguna akun go jek tetapi no hp sudah tidak aktif dan email saya sudah terdaftar dan susah untuk masuk kembali dengan no hp baru mohon arahannya untuk dapat mengaktifkan kembali akun go jek saya terimakasih,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
2151,klo bisa go jek ride jgn pake atribut kasian yang ada daerah opang malah susah nyarinya saya barusan dapet gojek pake atribut daerah saya ada opangnya saya sih tidak takut karena ada jalan lain yang aman tapi gojek nya bilang di mau nya sampe pangkalan takut padahal sebelumnya jalan tersebut aman tapi kata gojek nya daerah ini mah tidak bisa masuk saya bilang ya sudah tapi sebenarnya saya kecewa karena naik opang sampai rumah harus bayar lagi padahal dari pangkalan sampai rumah saya itu sudah deket tolong yaa,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
2302,suka lambat posisi maaih jauh suka diambil akhirnya kelamaan trs dibatalin sedangkan peelu cepet,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
2367,lagi pilih pesanan tiba tiba pesan sendiri dan parahnya tidak bisa dibatalkan klo di grabfood masih bisa di batalin klo belum lama tanya cs pelayanannya buruk,positive,Labeled POSITIVE but has 5 negative keywords vs 0 positive,high,0,5,,
2646,bagus sih apknya membantu tapi ko saya upgrade akun go pay selalu gagal dan lambat sekali tidak ada jawaban atau konfirmasi ya pihak internal mohon dibantu,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
2972,apknya mudah di gunakan dan tidak ada bug yang membuat pengguna kesusahan cuman tolong pihak gojek membuat histori chat untuk pengemudi yang membatalkan pesanan karena terkadang ada chat yang tidak sempat di baca,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
3333,di update baru bukan nya tambah mudah baca aplikasinya malah tambah susah membingungkan toling di benahi lagi tatanan aplikasi nya se simpel mungkin agar kita yang menggunakan nya pun tidak malas karena keribetan itu,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
3493,gojek ko sekarang jadi aga kurang berkualitas saya mau masuk aplikasi saja loading nya lama sekalinya masuk melihat saldo go pay nya loading juga tolong lebih diperbaiki kedepannya supaya yang sudah memakai aplikasi ini tidak kecewa terimakasih,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
3709,ngasih promosi voucher sih gilaan banget tapi para pengemudi tidak mw pick up ditungguin lambat tidak dtg di chat tidak dibls pesan saya batalin x karena pengemudi no respon uda pake tarif sewajarnya aja jadi untuk dpt drivernya mudah,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
4464,maaf sblmnnya saya suka kesal degan gofood makanan kfc memilih menu sesuai aplikasi selalu habis dan tidak ada kenapa di aplikasi tersebut di buatkan tidak ada saja biar tidak ribet,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
4474,sering tidak mendapatkan voucher cashback padahal sudah belanja banyak dan berkali kali diatas rb percuma mengharapkan cashback yang tidak pasti server sering error dan sibuk terus menerus tidak dapat mengambil voucher yang di tawarkan semoga kedepannya bisa lebih baik dan tidak mengecewakan terutama untuk layanan gopay,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
4858,halo kak ini maaf banget ya aku kasih bintang satu soalnya bener capek dan trouble berhari hari awalnya senang banget pake go jek trus trouble gabisa apply voucher smpek hari dan seterusnya padahal apply voucher biar bisa dapat harga murah tulisan halaman voucher selalu server padat merayap berhari complain di dm jawabannya template terus tpi trouble nya tetap sama alhasil harus pake akun orang lain buat mesen go jek diperbaiki deh apk nya error kenapa tidak satu dua kali,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
4941,gopay later kenapa tidak bisa dipakai pesan gofood katanya lebih mudah sudah hari ini tidak bisa dipakai error mulu ah terlanjur update tapi mengecewakan kenapa malah tidak lebih bagus dari findaya sih maaf bintang saya kurangi kalau gopay later sudah berfungsi dengan baik saya kembalikan lagi bintang,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
5029,saya punya pengalaman naik gocar yang kurang mengenakan ketika kami memakai promosi hemat yang sudah aplikasi sediakan malah kami yang di remehkan oleh oknum pengemudi gocar bahkan sampai menghina kami yang memakai promosi hemat tsb padahal customer tidak tau menau soal harga tapi customer yang malah d salahkan semoga bisa lebih d perbaiki terutama oknum pengemudi spt itu sangat menggangu dan bikin kesal selama di perjalanan,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
5301,saya bayar gojek plus biar dapat promo tapi malah tidak dapat promosi potongan makanan tidak semua resto potongan ongkir kagi suami yang tidak ikut gojek plus malah biasa dapat promosi potongan makanannya ada apa nih rugi jadinya beli paket mahal untuk bulan,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
5313,gopay saya di blokir padahal saya tidak melakukan kesalahan dan isinya k tidak ada kelanjutannya padahal itu uang buat kebutuhan saya dan saya jadikan gopay supaya mudah transfer dan memesan makan dengan mudah mohon pihak gojek di tidak lajutin itu uang tiba tiba tidak bisa dipakai k mohon bantuannya kami sebagai costumer merasa kecewa dengan adanya kejadian ini mohon gopay saya terbuka,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
5397,semakin lambat apl ini semakin mahal dan tidak mendapatkan voucher untuk go ride tolong beri diskon seperti dulu diskon sekolah karena saya sangat membutuhkan diskon untuk pp dari sekolah ke rumah harga yang di patok terlalu mahal tidak seperti dulu yang murah tolong di beri voucher diskon dan permurah dan permudah mendapatkan voucher untuk go ride,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
5858,maaf bintang dulu saya kecewa sudah dua bulan saya tidak mendapatkan voucher cashback maksimal rp di level sultan saya sudah laporkan masalahnya tapi sampai sekarang belum ada solusinya cs di aplikasi gojek tidak ada tanggapan selama berbulan bulan saya kecewa tidak pernah mendapatkan voucher cashback untuk level sultan,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
5996,sangat mengecewakan habis bagus up ribu besoknya saldo terblokir dan tidak dapat di gunakan kembali sudah lapor sanan sini tetap tidak bisa sudah datang ke kantor cabang banjarmasin katanya tidak bisa membantu customer tapi kalau pengemudi bisa di bantu untuk yang baru mau pakai aplikasi berhatilah kalau bisa pake grab saja karna jelas dan bisa di pertanggung jawabkan dan jika ada kendala responya cepat dan bisa di selesaikan tidak seperti gojek saya merasa di rugikan,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
6073,saya sudah th pake aplikasi gojek mulai dari onkir rb per km sekarang sudah semakin berkembang sudah naik jadi rb sdh ada paylater limit rb sangat bagus dan membantu saat kepepet td siang saya bagus up pulsa tsel rb pulsa tidak masuk tapi saldo pay later terpotong sdgkan bukti transaksi tidak ada lwt email pun tak ada selama th baru kali ini kecewa sama gojek,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
6191,halo gojek untuk gofood dengan kendala tidak dapat driver durasi jam terlalu lambat untuk kami customer membatalkan pesanan kalian pikir nunggu sejam buat dapat driver belum buatnya ngantarnya bisa sampai atau jam keburu asam lambung atau pingsan ya kalau pengemudi tidak batal pesanan harus nunggu lagi,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
6377,sumpah ini aplikasi keren lo harus cobain apalagi yang gamau ribet sana sini pesennya juga mudah dan tidak lama dan saya juga suka dapet diskon yang ngebantu saya banget pokoknya cobain aja,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
6688,sudah langganan dari lambat aplikasi ini tapi akhir akhir ini gabisa gabung voucher dan ongkir sama biaya aplikasi nya makin naik jadi agak males makin murah tidak mahal ya,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
6752,saya senang dengan aplikasi gojek krena menguntungkan bisa dapt berpergian dengan ongkos murah selagi dapat memesan makanan terimakasih telah menyiapkan apk gojek karena bagi masyarakat jg tidak kesusahan berpergian dengan angkot yang ongkos nya lumaya mahal terimakasih,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
6762,promosi bohongan cs lambat jangan pake gojek mau untung malah rugi transaksi di jadi id katanya ada cashback pas bayar cashback tidak masuk voucher cashback padahal sudah dipakai kata cs tidak sesuai snk aplikasi gatcha,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
6813,cukup membantu dalam segala hal kepuasan pelanggan bukan dari segi aplikasi namun dari segi sang driver terimakasih gojek selama saya pesan tidak pernah mengecewakan,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
6977,hapuskan posko aman tidak guna itu posko aman kasihan pengemudi yang akun nya terdaftar di kota besar yang sudah terpaksa kembali ke kampung karena pandemi jadi tidak bisa cari nafkah karena tidak bisa on bid di kampungnya dikarenakan tidak bisa di semprot karena tidak ada posko aman ini kasus yang saudara saya alami saat hujan pesanan tidak dapat driver giliran dapat pengemudi posisinya jauh kan kasihan drivernya salah alamat tidak bisa diedit alamatnya beda kyk apk sebelah ongkos mahal,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
7017,menu nya mending versi lambat tidak susah tidak ribet sekarang kalo mau pesanorder susah ribet nyari nya tolong lebih di permudah lagi ajah,positive,Labeled POSITIVE but has 4 negative keywords vs 0 positive,high,0,4,,
7293,aplikasi cukup baik namun pada bagian layanan go shop banyak pengemudi yang membatalkan pesanan sehingga kesannya belum ada atensi lebih pada customer mungkin bisa jauh lebih ditegaskan kepada pengemudi agar jauh lebih berkomitmen pada layanan customer sehingga tidak memunculkan kesan buruk seolah olah pengemudi tidak mau mengambil pesanan karena alasan personal untuk sekarang bintang dulu semoga dievaluasi dan lebih baik,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
7382,bagus si pengemudi nya banyak jadi dimanapun itu pasti ada gojek dan juga tepat waktu tapi suka tiba tiba ke pesen driver terus pas waktu di batalin ada yang maki maki saya karena dibatalin padahal waktu aku lihat pengemudi nya tidak maju selama menit terus aku pesen lagi dan pengemudi yang ku batalin sama yang ku pesen malah datang barengan habis itu pengemudi yang ku batalin maki maki aku pake kata kata yang kurang sopan,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
7466,kecewa dengan aplikasi gopay yang bls sistem terus sudah melakukan laporan eh malah di teruskan ke email harus ada cs langsung biar bisa dengar keluhan kita seperti aplikasi yang lain sudah kirim x foto makanan dan kirim bukti pembayaran dll saya kira sudah n d proses ternyata belum msih d lnjut d email msih d mnta syrat yang sama mslhnya ftonya tidak k save d hp kan sudah saya lampiran fto mkanan saat mmbuat laporan msa tidak msuk mending byar tunai tidak ribet,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
7617,saya kecewa dengan drivernya setiap pesan selalu chat banyak kalo belum samperin gojeknya padahal sudah jelas jelas di depannya mana bawel banget drivernya sampe mau batalin pesanan saya dan pergi begitu saja meskipun promosi juga harusnya hargai penumpangnya memang tidak semua pengemudi tapi ada salah satu pengemudi drivernya cowo masih muda tidak bisa saya sebutkan namanya jadi maklum lah ya tidak sabaran,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
7620,tidak lagi lagi sumpah kesalahan terbesar saya percaya dengan ini gara gojek saya harus pesen kereta lagi nunggu jam di stasiun karena ketinggalan kereta mending aplikasi indrive lebih cepat dan murah kelemahan aplikasi lambat dapet ojek sekali dapet di ghosting,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
7722,map nya tolong dibenerin tidak sesuai arahannya customer maupun drivernya jadi sering bermasalah saya sering di batal secara sepihak karena problem ini over all drivernya bagus gercep dan aplikasinya sudah bagus tapi klo tidak didukung dengan system yang bagus akan rusak juga terima kasih,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
8207,kalo lagi ujan server suka error kalo soal pencarian pengemudi tidak ada batas waktu jadi kaya di kasih harapan palsu susah banget kalo mau pesen pas ujan padahal dlu pas jadi satunya ojek online msih bagus bagus saja sekarang bikin berpaling,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
8269,saya tidak sengaja pesan gofood pas mau dibatalin kan harus laporkan masalah setiap kali mau input nomor pesan selalu balik ke halaman riwayat tolong di perbaiki,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
8371,says thanks buat gojek sangat bermanfaat dan terbantu dengan adanya aplikasi ojol ini sesuai dengan motto nya selalu ada jalan tapi ada sedikit ketidaknyamanan kala bertemu pengemudi gocar yang bertingkah beberapa kali saya disuruh pengemudi untuk batal saat pengemudi tiba menjemput saya alasan nya karena tarif terlalu murah mereka merasa rugi karena ada potongan tarif lagi dari gojek bukan urusan kami sebagai konsumen tapi kami dipaksa untuk batal alias bayar tunai offline,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
8524,buat pin point alamat susah dipinpoint selalu rmh si a atau lpk enak yang dulu alamat bisa ditulis lengkap hampir di batal pengemudi car karena alamatnya cuma nama daerah apalagi namanya banyak daerah yang pakai padahal itu pinpoint rumah saran tambahin menu edit ulasan dong suka ada yang belum di ulasain dimenu makannya tapi tidak bisa di edit,positive,Labeled POSITIVE but has 4 negative keywords vs 1 positive,high,1,4,,
8737,min kenapa sekarang aplikasi gojek makin buruk sih mau pesan makanan digofood gax ada voucher gratis ongkir cashbacknya menyesal banget nih aku sudah download sudah isi saldo e money ternyata tidak sesuai keinginan malah mahal banget lagi sekarang gojek sudah tidak kaya dulu lagi yang banyak voucher cashback potongan harga makin kesini jadi makin burik ajh nih aplikasi,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
8767,aplikasi yang sangat membantu mau bayar ini itu tidak peke ribet tidak pake lama mau transfer ke bank jg biaya adminnya murah dan lancar aplikasi yang sangat direkomendasikan,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
9515,dulu pernah coba yang sebelah karena lbih murah masa antar pesanan tidak punya kembalian trus uangnya kita dikembalikan lagi gmw nukarin pas kita bilangin didepan ada warung mas eh malah dia bilang gmw beli sesuatukah mbak takutnya tukang warungnya gmw klw cuma nukar lah itu kan kerjaannya dia kesal lah auto uninstall balik lagi ke gojek ongkir agak mahal dikit sih cuma pelayanan ok dan orgnya ramahgercep nyaman pake gojek,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
9809,sudah lambat bngt pakai gojek baguss lancar pakai gojek aplikasi nya simple tidak ribet ditambah lagi ada paylater nya bisa untuk kondisi mendesak naikin limit paylater nya aku lagi donk hehehe over all good thanks gojek successfully always,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
9838,bad biasanya drivernya yang chat duluan baru pelanggan nya yang balas chat saya dpt pengemudi tapi tidak chat trs tiba dibatalkan tnpa konfirmasi terlebih dhlu sekarang saya yang chat duluan tpi chat saya tidak dibales sudah nunggu lambat tetap saja tidak ada kejelasndriver nya tidak gerak padahal tidak macet samsek dll,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
10226,tolong gofood di cek lagi banyak pedagang nakal harga sering tidak sesuai aplikasi alasan ada kenaikan tapi setelh sekian lambat harga tetap saja tidak di gantikecewa dengan ayam bakar abu abu serpong dan kl bisa gofood untuk tiap resto nya bs di beri keterangan rating nya biar kmi tidak kecewa app sebelah lbh meyakin kan,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
10542,mengecewakan ngadain promodiskon untuk bagus up game online pas saya dah isi saldo ribu mau bagus up di coda shop malah gabisa kalo emang tidak niat bikin promosi mending tidak usah biar user go pay tidak kecewa,positive,Labeled POSITIVE but has 3 negative keywords vs 1 positive,high,1,3,,
10971,saya pelanggan lambat gojek akhir saya malas pakai gojek karena tiap saya klaim vocer dan di keterangan berhasil dan siap pakai malah di menu voucher saya sama sekali tidak terlihat ada voucher parahnya lg banyak teman saya dapat voucher gofood tapi akun saya sama sekali tidak pernah dapat voucher gofood di menu nya pun tidak terlihat diskon sd berapa nya dan setelah cek out pun tidak ada kolom vouchernya paarahh sekali kalau begini terus menerus mungkin saya akan memilih uninstall,positive,Labeled POSITIVE but has 3 negative keywords vs 0 positive,high,0,3,,
11479,saya pengguna lambat gosend dengan aktivitas kirim barang setiap hari mohon kiranya agar aplikasi gojek bisa lebih di permudah fiturnya di riwayat pesanan yang sudah selesai terkirim agar bisa di pesan kembali tanpa perlu mengetik ulang alamat kembali tidak perlu kembali ke menu favorit agar lebih cepat dan simple karena alamat favorit hanya bisa menyimpan alamat saja sedangkan pengguna seperti saya banyak sekali alamat yang harus di kirim dalam setiap hari mohon di perbaiki,positive,Labeled POSITIVE but has 3 negative keywords vs 2 positive,high,2,3,,
11717,aplikasi bagus selama saya pakai saya tidak pernah ada masalah sama drivernya terlalu sopan semuanya cuman ada keluhan fitur super partner gofood saya tahu jika fitur itu mempercepat pemesanan kita tapi tidak ada kepastian bagi kita pemesan jika makanan bisa dibeli karena kadang kadang resto tidak accept pesanan kita entah lagi ramai atau tutup yang mana biasa kita batal pesan makan karena resto tutup jadi batal pesan karena tidak di accept kalau cara biasa kn ada kepastian walaupun lambat,positive,Labeled POSITIVE but has 4 negative keywords vs 2 positive,high,2,4,,
