index,text,old_label,new_label,confidence,reason
69,terima kasih gojek dengan aplikasi ini saya merasa sangat terbantu drivernya yang ramah dan sopan melihat kegigihan mere...,positive,neutral,medium,Neutral (score:-1.3)
72,jelas sangat membantu,positive,negative,medium,Negative (score:-2.6)
75,simpel dan ekonomis sangat membantu dimanapun dan kapanpun dibutuhkan,positive,negative,medium,Negative (score:-2.6)
77,kenapa mau masuk akun dengan nomor yang sudah terdaftar kenapa susah amat kode otp nya tidak nongol padahal nomor di pas...,negative,neutral,medium,Neutral (score:1.3)
82,biaya admin dan layanan untuk gopaypinjamnya lumayan tinggi,neutral,positive,medium,Positive (score:2.0)
89,banyak pengemudi nolak ketika kita pake go pay ada bbrapa yang nerima tapi setelah kita tumpangi kendaraannya kata merek...,neutral,positive,high,Strong positive (score:4.0)
93,bagus dn sangat membantu bagi pengguna dlm menunjangmempermudah dlm segala hal chususnya dlm pembayaran non tunai dn ala...,positive,neutral,medium,Neutral (score:1.3)
96,maaf saya kasih bintang karena setiap saya mau check out selalu ditolak padahal limit saya banyak pembayaran bagus tidak...,negative,positive,medium,Positive (score:3.0)
105,sangat membantu kondisi susah tempat parkir mobil saat laper tapi mager tinggal pesan gofood mendadak pulsa ponsel koson...,positive,neutral,high,"Mixed sentiment (pos:1, neg:1)"
109,kejadian serupa sering terjadi pengemudi tidak mau mengambil trip yang jauh dan banyak beralasan hanya mengambil trip ya...,negative,neutral,high,"Mixed sentiment (pos:2, neg:2)"
127,tolong beri bonus atau cara bagaimana solusi yang baik bagi kostumer sama driverx biar sama sama menguntungkan buat goje...,positive,negative,medium,Negative (score:-3.0)
129,buruk akh mahal ongkir mending beli mixue beli makan dtg langsung saja guys praktis murah tinggal bagi rezeki ke tukang ...,positive,negative,medium,Negative (score:-3.0)
133,harga penangan ongkir lebih mahal dari harga makanan ya kali mau dipake alasannya biar banyak pengemudi yang nerima baga...,negative,positive,medium,Positive (score:2.0)
134,sebenernya aplikasinya bagus sayang banget akhir ini saya sering banget di tolak pengemudi,negative,positive,medium,Positive (score:3.9)
135,pertama pakai harganya sedikit mahal lah dibandingkan apk lain niatnya langganan hari biar lebih hemat dikit malah tamba...,negative,positive,high,Strong positive (score:4.8)
138,saya pengguna lambat gojek dan setiap hari menggunakan gojek tapi tidak pernah dapat promo terimakasih,neutral,negative,medium,Negative (score:-2.0)
139,tidak bisa aktifasi gojek plusnya mentang mentang kamera depan aku buruk agak burem jadi gagal mulu mau pake kamera bela...,negative,neutral,medium,Neutral (score:-1.0)
144,aplikasi buruk tidak ada kesalahan malah di blokir akun niat make aplikasi kalo lagi di butuhkan malah begini mending pi...,negative,neutral,medium,Neutral (score:0.0)
148,sangat cepat gojek,positive,negative,medium,Negative (score:-2.6)
154,setiap jam pulang kantor harga naik tidak jadi masalah tetapi mohon prioritaskan kami para penumpang agar tidak menunggu...,negative,positive,high,Strong positive (score:5.0)
157,pesen gofood kalau ada masalah dalam status tidak berunah tidak bisa ngechat kendala kita atau hub resto chat cs pake te...,negative,positive,medium,Positive (score:3.0)
165,setelah diperbarui kenapa jadi lambat ya aplikasinya terus sering keluar sendiri tolong dong perbaiki masa tampilan bagu...,negative,neutral,high,"Mixed sentiment (pos:1, neg:2)"
169,masa saya pesen mknan harga nya k bru ongkir k trus saya jg pake vocer yang hrg k trus jg ada tambahan nasi harusny saya...,negative,positive,high,Strong positive (score:7.8)
172,sedikit masukan buat gojek waktu saya beli makan notifikasi dari abang gojeknya tidak masuk sudah lambat banget nungguny...,negative,positive,medium,Positive (score:2.6)
177,kalo hujan jarang ada yang mau ambil kadang mahal kadang murah,neutral,negative,medium,Negative (score:-2.0)
179,harga promosi nya tidak sesuai lebih mahal,negative,positive,medium,Positive (score:2.0)
181,yang bilang aplikasi ini bermasalah maaf anda salah besar aplikasi ini sangat membantu dan luar biasa cepat proses trans...,positive,neutral,medium,Neutral (score:0.0)
183,nyaman sih tapi kalau bisa untuk pihak go jek bisa kerja sama dengan bengkel bengkel agar pengemudi lebih mudah mengetah...,positive,neutral,high,"Mixed sentiment (pos:1, neg:1)"
188,sangat membantu sekali apalagi disaat penting waktu butuh kendaraan pengendaranya pun saya rasa cukup sopan,positive,negative,medium,Negative (score:-3.2)
190,sangat senang dengan adanya aplikasi ini jadi dapat mudah menjangkau daerah mana pun,positive,neutral,medium,Neutral (score:-1.3)
192,saya ngerasa ui nya terlalu padat elemen visualnya banyak jadi ruang geraknya sempit tidak jarang saya salah pencet gara...,positive,negative,medium,Negative (score:-2.0)
197,bagus aplikasinya tapi sayangnya terlalu lambat cari pengemudi mungkin bisa diperbaiki,positive,neutral,high,"Mixed sentiment (pos:1, neg:1)"
204,agak kecewa ketika pesan gocar si pengemudi gocar menyuruh saya untuk membatalkan pesanan dengan alasan titik penjemputa...,negative,positive,medium,Positive (score:2.0)
205,kalau hujan sulit sekali mencari driver biasanya langsung tercancel padahal apps harus nya ada utk membantu di saat urge...,negative,neutral,medium,Neutral (score:0.0)
209,aplikasinya oke namun maaf akun saya tiba tiba tidak ada promonya sama sekali saat saya meminta kejelasan di costumer se...,negative,positive,medium,Positive (score:2.6)
210,sukses ya tapi jangan naik tarifnya nanti tidak suka orang pesan go jek karena berubah ubah tarif terimakasih selamat da...,negative,neutral,high,"Mixed sentiment (pos:1, neg:1)"
216,sangat membantu bila pergi tampa bawa kendaraan pesan makanan terutama bayar dengan gopay,positive,negative,medium,Negative (score:-2.6)
217,sekarang puas lagi limit paylater dinaikin padahal sempet kecewa karena diturunin padahal tidak pernah telat byr jg tapi...,negative,neutral,high,"Mixed sentiment (pos:1, neg:1)"
221,halo gojek mau komplain ini setiap pemasangan promosi tulisan pakai ny kadang tidak muncul jadi di refresh dulu trus kad...,neutral,negative,high,Strong negative (score:-5.0)
223,masih bingung bagaimana cara yang pas buat pesen gojek agar tidak salah alamat tempat tujuan soalnya masih belum begitu ...,neutral,positive,medium,Positive (score:3.2)
225,aplikasi yang sangat buruk sangat menyusahkan kostumer verifikasi susah tidak ada layanan yang nyesuain pada model hp pa...,negative,positive,high,Strong positive (score:5.2)
229,yang salah siapa sih saya apa pengemudi gojek nya kali pesanan goshop saya dibatalin oleh pengemudi yang berbeda alasany...,negative,neutral,medium,Neutral (score:-1.0)
233,terimakasih aplikasi go jek khusus nya go pay yang sudah banyak membantu saya melakukan transaksi transfer dsb dengan mu...,positive,negative,medium,Negative (score:-2.0)
239,fitur bagus up selalu eror tolong dong di perbaiki,neutral,positive,medium,Positive (score:3.0)
240,tolong donk ditingkatkan kwalitas aplikasinya hari saya ini sekali pesan dapat jemputan dari pengemudi yang beda kenapa ...,neutral,negative,medium,Negative (score:-3.9)
246,pakbuk admin kenapa sekarang pesanan susah dan banyak pengemudi yang tidak ke deteksi lokasi nya lalu untuk versi trus n...,neutral,negative,medium,Negative (score:-2.0)
247,aplikasi ini sangat membantu tp biaya adm klo bagus up lebih mhal dari aplikasi lain trus ada biaya layanan juga klo yan...,positive,neutral,medium,Neutral (score:1.3)
250,saya update aplikasi gojek beberapa hari yang lalu setelah di update selalu error app nya suka keluar sendiri bahkan saa...,negative,neutral,medium,Neutral (score:0.0)
256,mengecewakan saya bagus up gopay tapi tidak terisi saya sudah tunggu seharian tetapi tidak masuk padahal nomor sudah ben...,negative,neutral,high,"Mixed sentiment (pos:1, neg:1)"
260,sepertinya ucapan terima kasih saja tidaklah cukup ini benar benar mengubah cara saya mengelola perjalanan dan kebutuhan...,positive,negative,medium,Negative (score:-3.9)
265,sangat membantu dengan cashback nya dan yang penting kalau belanja d tokped cashback nya gilaan bagus,positive,neutral,medium,Neutral (score:1.3)
268,gojek sangat membantu mobilitas masyarakat dengan semua pelayanan yang dimiliki semoga kedepan gojek bisa terintegrasi d...,positive,negative,medium,Negative (score:-2.6)
269,satu aplikasi dengan banyak kemudahan dan fitur pendukung dalam pemenuhan harian pembelanjaan pembayaran membeli barang ...,positive,negative,high,Strong negative (score:-7.8)
270,keren dan sangat membantu terimakasih gojek,positive,neutral,medium,Neutral (score:-1.3)
272,aplikasinya sangat membantu mengantar saya dalam perjalanan bisnis mudah dalam pengoperasian aplikasinya,positive,neutral,medium,Neutral (score:0.0)
284,untuk sejauh ini semuanya baik pelayanannya jga ramah tapi untuk gocar kadang dapet supirnya aga jutek dan kadang dapet ...,positive,neutral,high,"Mixed sentiment (pos:1, neg:1)"
288,sangat buruk transfer antar bank sangat lambat status transfer masih menunggu bukannya di proses sangat buruk complain k...,negative,positive,high,Strong positive (score:6.5)
290,semenjak naik versi aplikasi goshop chatnya sering kali lemot tulisan disambungkan tp mohon para it yang mumpuni solusin...,neutral,negative,high,Strong negative (score:-5.2)
294,tolong tambahkan promosi yang banyak dan potongan harga yang lumayan dan turunkan ongkir,neutral,negative,medium,Negative (score:-2.0)
295,aplikasi ini sangat mudah untuk di gunakan semua ada di dalam dari transfer lebih mudah isi pulsa dan token masih lengka...,positive,neutral,medium,Neutral (score:0.0)
299,tolong ya pt gojek yang terhormat kalo ngasih voucher gofood tuh jangan pake istilah minimal pembelian kembali lah seper...,positive,negative,high,Strong negative (score:-4.0)
301,aplikasi ini sangat membantu perjalanan saya apalagi disaat saya butuh cepat dan ada keperluan yang mendadak pokoknya sa...,positive,neutral,medium,Neutral (score:0.0)
306,kemana semua promonya kak gofood nya jadi mahal banget,neutral,negative,medium,Negative (score:-2.6)
308,sudah bagus tolong di pertahankan hanya punya saran custemer gojek yang sudah lama lebih di perhatikan misalnya kasih vo...,positive,negative,medium,Negative (score:-3.0)
309,lumayan tidak kena macet alhamdulillah puas,neutral,positive,high,Strong positive (score:7.0)
317,gojek sangat membantu masyarakat terima kasih,positive,negative,medium,Negative (score:-2.6)
319,kemana mana jadi lebih gampang,positive,neutral,medium,Neutral (score:1.0)
320,gojek aplikasi ribet kalau bagus up gampang banget giliran mau bayar verifikasi ktp pas verifikasi ditolak terus alasan ...,negative,positive,high,Strong positive (score:9.5)
321,kali ini gojek ngasih banyak promosi lagi gojek emang mantap klu ngasih promosi ngak tanggung tanggung sukses terus ya,positive,neutral,medium,Neutral (score:0.0)
325,sekarang gpsnya suka ngaco dapat ordernya lambat dan jaih posisi drivernya,neutral,positive,high,Strong positive (score:4.0)
329,tambah gila ini aplikasi sudah beberapa doble pesan an dan tidak bsa di batal pa lagi nemu pengemudi yang sok tidak mau ...,negative,positive,high,Strong positive (score:4.0)
332,saya sangat senang sekali bisa memakai aplikasi ini karena sangat terbantu dalam hal transformasi bagi kami masyarakat p...,positive,negative,high,Strong negative (score:-4.8)
338,gojek kenapa sekarang tidak bisa di buka ya berkali hapus aplikasi dan instal ulang berkali juga tapi hasilnya ttp sama ...,neutral,positive,medium,Positive (score:3.0)
343,versi lawas lebih mudah finding address yang sekarang ribet bikin pengemudi nyasar vermuk biar aman ktnye,positive,neutral,medium,Neutral (score:0.0)
345,tolonglah buat para customer gojek bijaklah dalam memberi rating jangan kesalahan dari resto tapi kasih bintang buruk ke...,positive,negative,high,Strong negative (score:-7.0)
347,kenapa ada rute yang tdak sesuai di area jayapura pertama karena perbaikan jalan sedangkan perbaikan jalan sudah selesai...,negative,positive,medium,Positive (score:2.0)
349,sekarang semenjak ada peraturan tarif baru per juli gojek tambah mehong bosku buat aku yang masih pelajar lumayan nguras...,neutral,positive,medium,Positive (score:2.0)
358,saya sangat kecewa dengan apk ini soalnya saya sudah pake go pay k untuk bagus up dm free fire tapi tidak terkirimi diam...,neutral,positive,high,Strong positive (score:7.8)
363,mapnya kayaknya harus di benerin lagi biar drivernya liatt tuu lokasi pengantaran bukan malah nurut titik di mapnya yang...,negative,neutral,medium,Neutral (score:0.0)
365,pesan gofood pake layanan express biar tepat waktu tapi sudah jam keterangannya masih mencari driver realita di lapangan...,negative,neutral,high,"Mixed sentiment (pos:2, neg:2)"
368,sudah bagus namun untuk pelayanannya lebih ditingkatkan lagi agar pelanggan merasa nyaman,positive,neutral,high,"Mixed sentiment (pos:1, neg:1)"
370,aplilasi yang sangat memebantu penggunya mudah dan praktis dipahami semoga kedepannya lebih baik dan berkembang,positive,negative,medium,Negative (score:-3.9)
372,pesan gofood di perbaiki agar mudah batalin pesan bagi customer dan juga driver gk sengaja pesan tidak bisa batalin terp...,positive,neutral,medium,Neutral (score:0.0)
377,pake grabcar hemat biasanya nunggu lambat,neutral,negative,medium,Negative (score:-2.0)
383,sangat membantu tp kalau sudah musim hujan susah dan bahkan ndk pernah ad yang ambil orderan,neutral,negative,high,Strong negative (score:-5.2)
397,tgl juli jam saya tidak pesan go food tapi ada pesanan sehingga gopay saya di potong dan tidak dapat di cancel baik dari...,negative,positive,medium,Positive (score:3.0)
398,pas mau pembayaran mau cepat selalu muncul notif yah internetnya mati padahal sinyal internet ada diubah ke wifi juga sa...,positive,negative,medium,Negative (score:-3.0)
404,saya pesan gomart barang yang saya beli tidak ada saya batal mau pilih barang yang lain cuman beda merek padahal hargany...,negative,neutral,high,"Mixed sentiment (pos:1, neg:1)"
411,sayangnya untuk buka rekening jago belum bisa terverivikasi selalu gagal upgred ke goplus juga selalu gagal,negative,neutral,high,"Mixed sentiment (pos:1, neg:1)"
443,saya sangat suka dengan aplikasi ini selain mudah dan murah saya sering dapat voucher yang menarik,positive,neutral,medium,Neutral (score:0.0)
451,aplikasi sangat membantu tapi mohon untuk fixer lokasi gps nya solanya sering salah tempat makasihh,positive,negative,medium,Negative (score:-2.6)
455,maaf nih di tinggal bentar ngelag gabisa dipencet apa apa beres pesen makanojek kenapa tuh,neutral,positive,medium,Positive (score:2.0)
463,sangat membantu tapi kadang harga yang berubah ubah semakin tinggi dan ketelitian pesanan sehingga kadang pesanan yang d...,positive,neutral,high,"Mixed sentiment (pos:1, neg:1)"
466,telat bayar pylater menit denda ny k tidak ngotak padahal transaksi cuma k denda ny k tidak ngotak banget bukan ny memba...,negative,neutral,high,"Mixed sentiment (pos:1, neg:2)"
472,ini metode pembayaran va bca kenapa tidak ada ya aneh mau bagus up gopay jadi susah,negative,neutral,medium,Neutral (score:1.0)
479,awalnya saya suka pakai aplikasi ini tapi kenap gopay saya berkurang jauh sekali padahal seingat saya saya hanya beli ko...,negative,neutral,high,"Mixed sentiment (pos:1, neg:1)"
482,saya kasih bintang satu alasannya adalah karena aplikasi ini sangat lah menggangu memang kinerja aplikasi ini bagus tapi...,negative,positive,medium,Positive (score:3.9)
484,saran nih untuk gofood klo bisa diupgrade jadi bisa kasih ulasan makanan dr resto yang dibeli dan ulasannya bisa dilihat...,negative,positive,medium,Positive (score:3.0)
485,kalau mau pesen makanan lebih enak dsini karena kalau kita tidak tau menu nya fotonya lengkap di apk ini kalau apk sebel...,negative,neutral,medium,Neutral (score:-1.0)
496,jaringan gojek sering error bisa dobel datang pengemudi padahal tidak pesan orang lambat mendapatkan driver lokasi penge...,negative,positive,high,Strong positive (score:7.0)
505,sangat membantu efektif dan efisien,positive,neutral,medium,Neutral (score:0.0)
507,terima kasih gojek sudah membantu sekali dan banyak diskon nya bisa kemana mana juga bisa membantu banget banyak potonga...,positive,neutral,medium,Neutral (score:0.0)
508,aplikasi gojek ini sangat membantu untuk keseharianku sepanjang hari dan bagus banget kesininya tuh semakin bercanggih,positive,neutral,medium,Neutral (score:1.6)
512,love you gojekk gopayy tokpeedd promo diskon voucher cashback nya tidak kalengan nyataah dan luarr biasahh saranku sihh ...,positive,negative,medium,Negative (score:-3.0)
513,apk nya bagus tapi masih bingung knpa kalau pakai gotransit penjemputan ahir langsung aktif pas pesan penjemputan awal j...,negative,neutral,high,"Mixed sentiment (pos:1, neg:1)"
525,sangat berguna untuk berpergian dan memesan makanan yang lezat tanpa harus keluar rumah cuman satu yang kurang tolong ta...,positive,neutral,medium,Neutral (score:-1.3)
527,alangkah baiknya pihak gojek melakukan kontrol kelayakan kendaraan yang digunakan pengemudi secara rutin beberapa kali m...,positive,neutral,medium,Neutral (score:-1.0)
528,maps yang di kasi oleh sistem di buat jauh pdhal ada jalan yang lebih dekat jarak makin jauh harganya pun jadi mahal,negative,positive,medium,Positive (score:2.0)
552,sekarang pake gojek mahal pake biaya layanan tidak sperti aplikasi lain yang lebih murah bukankah costumer itu banyak da...,negative,neutral,medium,Neutral (score:0.0)
556,saya pesan gojek selalu saja dapat pengemudi yang jauh jadi gojek sekarang tidak kayak dahulu yang terdekat mudahan goje...,negative,positive,medium,Positive (score:2.0)
558,sangat bagus dan membantu dan mohon untuk upgrade di percepat dan untuk insintif perakerja saya mohon di lancarkan,positive,negative,high,Strong negative (score:-6.5)
563,ongkir terlalu mahal diskon ongkir juga dikit,neutral,negative,medium,Negative (score:-2.0)
566,sangat mudah sekali cepat dan ramah dengan penumpang,positive,negative,medium,Negative (score:-3.2)
570,kenapa ada yah tukang gojek yang tidak pake atribut lengkap kaya jacket helm flat nya juga beda pas di tanya katanya itu...,positive,negative,medium,Negative (score:-2.6)
571,dari dulu sering pakai untuk nnton konser reggae ya namnya merantau tidak punya kndaraan hihihihi dan ketika di kampung ...,positive,neutral,medium,Neutral (score:-1.3)
574,aplikasi ini sangatlah bagus luar biasa dan sigma,positive,negative,medium,Negative (score:-3.9)
577,saya ada bagus up rbu hari yang lalu dan sampai sekarang saldo nya tidak masuk saya chat cs nya d suruh minta bukti foto...,negative,positive,high,Strong positive (score:6.0)
585,aplikasi gojek sebelumnya ada dan biasa sebelumnya saya kirim pk gosend dan bayar cash pas saya lagi butuh cepet kirim d...,negative,neutral,medium,Neutral (score:1.6)
588,sumpah ya ongkir buat makanan tu tidak ngotak bgt kalau tempat deket pun tidak kurang juga tu ongkir bayangin makanan ya...,negative,positive,medium,Positive (score:3.0)
593,alhamdulillah aplikasi ini sangat membantu saya memudahkan pelayanan nya tingkatkan terus sukses sllu,positive,neutral,medium,Neutral (score:1.3)
594,transfer gopay ke bank bri nga masuk dah d email katanya sukses di lihat d rekening nga ada yang masuk mohon perbaiki la...,negative,positive,medium,Positive (score:3.0)
601,app baguss sangat membantu thanks ya,positive,negative,high,Strong negative (score:-5.2)
602,sangat membantu dalam kebutuhan di perjalanan untuk bepergian,positive,negative,medium,Negative (score:-2.6)
605,sudah baik tapi kalau bisa pada kendaraan nya dikasih keterangan motor nya apa agar mudah mencarinya,positive,neutral,high,"Mixed sentiment (pos:1, neg:1)"
609,sangat membantu dan memudahkan dalam perjalanan,positive,negative,medium,Negative (score:-2.6)
623,akun saya tidak dpt vocher terus akun org dapet lah saya pakai sudah lambat dari pertma gojek rilis harusnya pengguna se...,negative,neutral,medium,Neutral (score:0.0)
626,biaya pemesanan terlalu mahal promo nya min pembelian tinggi dan potongan tidak maximal,neutral,negative,medium,Negative (score:-2.0)
627,kenapa sekarang susah sekali mencari drivernya pesan goride sampai ulang ulang tidak ketemu juga pesan gofood dicancel t...,negative,neutral,high,"Mixed sentiment (pos:1, neg:1)"
630,aplikasinya bagus bs mempercepat apa yang diinginkan tapi yang sangat tidak baik kelakuan gojek sekarang ngawur selalu s...,positive,negative,medium,Negative (score:-2.6)
637,aplikasi sangat buruk dan tidak mau menerima komplain saya pemilik akun baru dapet voucher gofood pas dipake menu vocern...,negative,positive,high,Strong positive (score:9.6)
645,saya kasih bintang satu sangat kecewa bngt masak mau gofood lokasi deket dan jauh ongkr nya mahal banget tolong diperbai...,negative,neutral,medium,Neutral (score:1.6)
646,harap tolong mohon di siplinkan pengemudi yang nakal yang nolak pesanan dengan bermacam alasan terkhusus untk kota batam...,neutral,positive,medium,Positive (score:2.0)
653,bisa tidak ya booking pengemudi tuh yang sudah ready kadang aneh dapetnya yang jauh dari titik jemput sudah jauh lambat ...,negative,neutral,medium,Neutral (score:0.0)
654,senang sekali dengan ada go jek dan go car sangat membantu walaupun bukan berada di kota sendiri,positive,neutral,medium,Neutral (score:1.6)
673,lumayan sudah update gampamh isi token dan pulsanya,neutral,positive,medium,Positive (score:2.0)
675,saya senang memakai aplikasi gojek,negative,positive,medium,Positive (score:3.0)
678,bagus dan sangat membantu semoga gojek trus berkembang tapi hanya sedikit saran untuk app nya biar bisa tetap dipakai wa...,positive,neutral,high,"Mixed sentiment (pos:2, neg:2)"
684,dear gojek yang terhormat tolong perbarui sistem akun apk gojek pengemudi khusus gofood agar bs geser sampai resto walau...,negative,positive,medium,Positive (score:2.6)
687,bagus up lambat tidak masuk di komplain baru d proses kontak no hp sudah sesuai ya tidak ada yang salah sistemnya saja y...,negative,neutral,medium,Neutral (score:1.0)
689,saya selaku pengguna gojek dari lambat merasa kecewa saya selalu dapat notifikasi voucher gomart tapi setelah di klik me...,neutral,negative,high,Strong negative (score:-5.0)
690,aplikasi yang sangat membantu tapi untuk go food kebanyakan bungkusnya pake styrofoam yang susah diurai mungkin mending ...,positive,negative,high,Strong negative (score:-6.4)
692,enak bs pake yang instan cuma tlg dong klu pengemudi nya sudah nggk aktp lbh baik di matiin aplikasi nya sering bnget su...,negative,neutral,high,"Mixed sentiment (pos:1, neg:1)"
698,tolong donk kenapa akun saya terblokir bacaan nya ada transaksi yang tidak wajar sedangkan tidak pernah merasa ada trans...,negative,neutral,medium,Neutral (score:1.3)
703,aplikasi sangat membantu dan mempermudah saya dalam perjalanan beli makanan dan kirim barang lebih baik lagi buat kedepa...,positive,neutral,medium,Neutral (score:1.3)
705,pada axioo windroid gje ada update otomatis tapi aplikasi gofood tidak berjalan normal aplikasi minta enable location pa...,positive,negative,medium,Negative (score:-2.0)
714,update mulu ah memori nya gampang penuh,positive,neutral,medium,Neutral (score:1.0)
722,sangat efisien membantu,positive,negative,high,Strong negative (score:-5.2)
733,halo min jadi saya kan pernah langganan gitu di app drama terus saya dah tidak terlalu suka nonton jadi saya apus dn lan...,positive,neutral,high,"Mixed sentiment (pos:1, neg:1)"
738,aplikasi ini sangat membantu apa lagi saya suka kuliner tinggal gofood pilih dech menunya apa,positive,neutral,medium,Neutral (score:0.0)
741,kenapa pas diperbaruhin tidak bisa terus coba di uninstall dan di install lagi gabisa juga padahal sangat membantu dan d...,positive,negative,medium,Negative (score:-2.6)
745,sangat tidak memuaskan untuk soal money pelayanan dll tolong diberi cs gojek secara live agat bisa mengadu lebih cepat d...,positive,negative,high,Strong negative (score:-6.5)
751,mau kirim saldo ke nomor teman saja butuh konfirmasi jam dan saya sangat kecewa karena pelayanannya sangat lambat,negative,positive,high,Strong positive (score:6.5)
758,suka sih awalnya saja tapi makin lambat pesan gofood jadi mahal sekali ongkir dan harga makanannya promosi nya ada sedik...,positive,negative,medium,Negative (score:-3.2)
779,sangat mulita aplikasi ini ikut peran serta didalam e wallet prakerja sebagai alat pembayaran tetapi mempersulit disetia...,negative,positive,medium,Positive (score:2.6)
785,kenapa promosi pengguna lambat tidak sebesar pengguna baru dpt voucher dr gofood seharusnya pengguna setia lbh diberikan...,neutral,negative,medium,Negative (score:-2.6)
793,pengalaman seru bersama gojek terutama gofoodnya trims gojek de ara keppeng pokoknya mah smoga sukses slalu,positive,negative,high,Strong negative (score:-4.0)
794,harganya tidak masuk akal sangat mahal dan tidak ada promosi padahal jarak dari lokasi ke tempat tujuan dekat beda denga...,negative,positive,medium,Positive (score:2.6)
797,dngn saya sklwrga dapat memesan makanan dan minuman di slh stu restoran yang terdftar di aplikasi go jek lalu pilih bera...,positive,negative,medium,Negative (score:-2.0)
799,kenapa setiap pesan selalu jadi dobel padahal saya hanya pesan satu kali ngeklik juga cuma satu kali tapi kenapa langsun...,negative,neutral,high,"Mixed sentiment (pos:1, neg:1)"
800,sangat membantu ketika lagi kelaparan terus pesan gojek deh terus membantu juga kalau mau lagi beli voucher game pakai g...,positive,neutral,medium,Neutral (score:0.0)
807,sangat membantu dlm transportasi terima kasih atas pelayanannya semoga ke depan lebih oke lg,positive,neutral,medium,Neutral (score:0.0)
815,kurang bagus di bagian notifikasinya biasanya ada notif anda punya voucher blablabal padahal tidak ada lagi karena sudah...,negative,positive,medium,Positive (score:2.0)
818,pengemasan sangat bagus di berikan es kirstal di dalam kemasan sehingga membuat kesegaran makanan tidak berkurang serta ...,positive,neutral,medium,Neutral (score:0.0)
819,setiap kali memesan rute yang dipilih adalah rute yang paling jauh menyebabkan ongkos menjadi mahal dan jarang ada promo,neutral,negative,medium,Negative (score:-2.6)
820,ini kenapa ya tidak bisa transfer ke bank masa pin gagal gagal terus padahal pin jg sudah bener katane salah bagaimana s...,negative,positive,medium,Positive (score:3.0)
825,lumayan saja deh semoga lebih baik lgg kedpnnya tarifnya sangad cocok untuk kantong saya jadi saya lebih suka apl ini,positive,neutral,medium,Neutral (score:1.0)
827,bagus banyak promo banyak vocher juga tapi semakin sering pake semakin mahal itupun jaraknya sama tidak berubah,positive,neutral,high,"Mixed sentiment (pos:1, neg:1)"
833,sering nge lag gatauu kenapa pas buka lokasi,neutral,negative,medium,Negative (score:-2.0)
844,aplikasi yang sangat membantu pioner dalam transportasi online aplikasi karya anak bangsa terbaik mantaf,positive,neutral,medium,Neutral (score:1.3)
848,dear pt gi note bahwa utk pengiriman produk gosend reguler dengan kurir gokilatsameday sebaiknya sbelum user mengklik pe...,positive,neutral,medium,Neutral (score:-1.0)
852,aduh kenapa ya gojek pesen gojek atau gocar tau otomatis pesan pdhal belum jg saya klik pas pesan malah lemot tiba ngeha...,negative,neutral,medium,Neutral (score:0.0)
853,sebenarnya saya pelanggan setia gojek baik gokar atau gofood sygnya sekarang semuanya terlalu mahal jadi saya lbh banyak...,positive,negative,high,Strong negative (score:-7.0)
855,saya masih sering mendapat pengemudi yang lokasinya jaug dari tempat saya padahal banyak pengemudi di dekat lokasi saya ...,positive,negative,high,Strong negative (score:-5.2)
